省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
广西壮族自治区,珠江流域,垒亭,04-01 04:00,Ⅰ,18.6,7.91,8.97,369.7,3.3,0.83,0.025,0.010,1.66,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-01 12:00,Ⅰ,19.8,7.96,9.08,379.4,6.3,0.84,0.025,0.010,1.75,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-01 12:00,Ⅰ,19.8,7.96,9.08,379.4,6.3,0.84,0.025,0.010,1.75,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-01 16:00,Ⅰ,20.1,7.96,8.89,382.1,8.7,0.75,0.025,0.010,1.71,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-01 20:00,Ⅰ,19.3,7.94,8.89,375.2,6.1,0.71,0.025,0.010,1.73,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-01 20:00,Ⅰ,19.3,7.94,8.89,375.2,6.1,0.71,0.025,0.010,1.73,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-02 04:00,Ⅰ,19.0,7.95,9.02,374.1,3.8,0.73,0.025,0.011,1.67,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-02 08:00,Ⅰ,18.9,7.94,9.08,373.8,4.6,0.90,0.025,0.011,1.72,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-02 12:00,Ⅰ,19.3,7.96,9.13,377.1,4.4,0.92,0.025,0.010,1.72,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-02 16:00,Ⅰ,19.4,7.96,9.12,378.2,4.5,0.77,0.025,0.011,1.69,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-02 20:00,Ⅰ,19.2,7.96,9.08,376.0,5.3,0.75,0.025,0.011,1.73,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-02 20:00,Ⅰ,19.2,7.96,9.08,376.0,5.3,0.75,0.025,0.011,1.73,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-03 04:00,Ⅰ,19.0,7.97,9.13,374.2,3.5,0.87,0.025,0.011,1.81,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-03 08:00,Ⅰ,19.0,7.98,9.24,374.2,4.1,0.98,0.025,0.011,1.72,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-03 12:00,Ⅰ,19.0,7.98,9.34,373.9,4.0,0.89,0.025,0.010,1.68,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-03 16:00,Ⅰ,18.9,7.99,9.34,373.9,5.0,0.85,0.025,0.011,1.72,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-03 20:00,Ⅰ,18.7,7.98,9.45,372.9,4.3,0.85,0.025,0.010,1.72,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-03 20:00,Ⅰ,18.7,7.98,9.45,372.9,4.3,0.85,0.025,0.010,1.72,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-04 04:00,*,18.5,7.99,9.30,371.1,4.4,--,--,--,--,*,*,维护
广西壮族自治区,珠江流域,垒亭,04-04 04:00,Ⅰ,18.5,7.99,9.30,371.1,4.4,0.95,0.025,0.010,1.72,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-04 12:00,Ⅰ,18.6,7.97,9.18,374.5,4.9,0.92,0.025,0.011,1.75,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-04 16:00,Ⅰ,18.4,7.97,9.18,371.1,4.0,0.81,0.025,0.010,1.75,*,*,正常
广西壮族自治区,珠江流域,垒亭,04-04 20:00,Ⅰ,18.2,7.98,9.18,368.8,4.4,0.82,0.025,0.010,1.73,*,*,正常
