省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
广西壮族自治区,珠江流域,平畲,04-01 04:00,Ⅰ,22.5,7.58,8.72,322.0,3.7,1.97,0.025,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-01 12:00,Ⅰ,23.2,7.54,11.47,328.2,6.0,1.85,0.025,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-01 12:00,Ⅰ,23.2,7.54,11.47,328.2,6.0,1.85,0.025,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-01 16:00,Ⅱ,23.9,7.77,12.27,333.9,6.7,2.14,0.025,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-01 20:00,Ⅰ,23.4,7.84,11.53,332.6,4.4,1.97,0.025,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-01 20:00,Ⅰ,23.4,7.84,11.53,332.6,4.4,1.97,0.025,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-02 04:00,Ⅱ,23.1,7.47,9.35,323.9,3.1,2.18,0.025,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-02 08:00,Ⅱ,23.1,7.51,8.90,324.8,4.3,2.06,0.025,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-02 12:00,Ⅱ,23.7,7.62,11.80,330.0,7.2,2.07,0.030,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-02 16:00,Ⅱ,23.8,7.69,11.75,329.4,6.3,2.18,0.025,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-02 20:00,Ⅰ,23.5,7.72,11.71,334.8,4.9,1.96,0.025,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-02 20:00,Ⅰ,23.5,7.72,11.71,334.8,4.9,1.96,0.025,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-03 04:00,Ⅱ,23.1,7.41,10.93,324.5,4.7,2.03,0.025,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-03 08:00,Ⅱ,23.0,7.33,10.40,325.0,4.4,2.17,0.025,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-03 12:00,Ⅱ,23.4,7.88,6.97,328.5,8.0,1.32,0.110,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-03 16:00,Ⅱ,23.1,7.82,6.36,325.5,5.4,1.41,0.025,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-03 20:00,Ⅱ,22.9,7.82,6.82,324.5,5.3,1.17,0.025,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-03 20:00,Ⅱ,22.9,7.82,6.82,324.5,5.3,1.17,0.025,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-04 04:00,Ⅲ,22.6,7.80,5.76,322.2,3.4,1.16,0.060,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-04 08:00,Ⅱ,22.6,7.94,6.15,326.7,2.1,1.13,0.050,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-04 12:00,Ⅱ,22.5,7.89,7.14,325.1,5.1,1.26,0.060,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-04 16:00,Ⅱ,22.3,7.94,7.43,324.0,3.3,1.04,0.040,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-04 20:00,Ⅱ,22.0,7.84,7.17,320.3,3.9,1.36,0.050,*,*,*,*,正常
广西壮族自治区,珠江流域,平畲,04-04 20:00,Ⅱ,22.0,7.84,7.17,320.3,3.9,1.36,0.050,*,*,*,*,正常
