省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
广西壮族自治区,珠江流域,水库出水口,04-01 08:00,Ⅰ,21.4,7.60,8.82,49.6,1.6,1.23,0.025,0.010,0.67,*,*,正常
广西壮族自治区,珠江流域,水库出水口,04-01 12:00,Ⅰ,21.7,7.94,9.06,50.9,2.1,1.40,0.025,0.009,0.68,*,*,正常
广西壮族自治区,珠江流域,水库出水口,04-01 16:00,Ⅰ,22.0,8.22,9.33,49.9,1.9,1.40,0.025,0.009,0.68,*,*,正常
广西壮族自治区,珠江流域,水库出水口,04-01 20:00,Ⅰ,21.8,8.30,9.32,49.0,1.7,1.28,0.025,0.011,0.66,*,*,正常
广西壮族自治区,珠江流域,水库出水口,04-02 00:00,Ⅰ,20.9,8.49,9.84,51.0,2.2,1.21,0.025,0.010,0.65,*,*,正常
广西壮族自治区,珠江流域,水库出水口,04-02 00:00,Ⅰ,20.9,8.49,9.84,51.0,2.2,1.21,0.025,0.010,0.65,*,*,正常
广西壮族自治区,珠江流域,水库出水口,04-02 08:00,Ⅰ,20.5,7.99,9.22,48.9,1.7,1.39,0.025,0.009,0.65,*,*,正常
广西壮族自治区,珠江流域,水库出水口,04-02 12:00,Ⅰ,20.4,7.90,9.45,49.4,1.7,1.58,0.025,0.008,0.65,*,*,正常
广西壮族自治区,珠江流域,水库出水口,04-02 16:00,Ⅰ,20.3,8.41,9.78,50.2,2.0,1.36,0.025,0.010,0.67,*,*,正常
广西壮族自治区,珠江流域,水库出水口,04-02 20:00,Ⅰ,20.2,8.53,9.90,50.0,2.0,1.36,0.025,0.009,0.69,*,*,正常
广西壮族自治区,珠江流域,水库出水口,04-03 00:00,Ⅰ,20.1,8.37,9.71,49.9,2.0,1.43,0.025,0.009,0.71,*,*,正常
广西壮族自治区,珠江流域,水库出水口,04-03 00:00,Ⅰ,20.1,8.37,9.71,49.9,2.0,1.43,0.025,0.009,0.71,*,*,正常
广西壮族自治区,珠江流域,水库出水口,04-03 08:00,*,19.7,8.21,9.64,49.4,1.9,--,0.025,0.010,0.70,*,*,维护
广西壮族自治区,珠江流域,水库出水口,04-03 12:00,*,19.8,8.27,9.65,50.3,1.9,--,0.025,0.011,0.70,*,*,维护
广西壮族自治区,珠江流域,水库出水口,04-03 16:00,*,19.7,8.45,9.86,50.2,2.0,--,0.025,0.009,0.70,*,*,维护
广西壮族自治区,珠江流域,水库出水口,04-03 20:00,*,19.5,8.27,9.58,50.9,1.9,--,0.025,0.009,0.71,*,*,维护
广西壮族自治区,珠江流域,水库出水口,04-04 00:00,*,19.2,8.31,9.70,49.2,2.0,--,0.025,0.010,0.70,*,*,维护
广西壮族自治区,珠江流域,水库出水口,04-04 00:00,*,19.2,8.31,9.70,49.2,2.0,--,0.025,0.010,0.70,*,*,维护
广西壮族自治区,珠江流域,水库出水口,04-04 04:00,*,19.1,8.29,9.62,49.9,2.1,--,0.025,0.009,0.70,*,*,维护
广西壮族自治区,珠江流域,水库出水口,04-04 08:00,*,18.9,8.06,9.44,49.7,1.8,--,0.025,0.009,0.70,*,*,维护
广西壮族自治区,珠江流域,水库出水口,04-04 12:00,Ⅰ,18.9,7.97,9.45,49.8,1.8,0.81,0.025,0.009,0.71,*,*,正常
广西壮族自治区,珠江流域,水库出水口,04-04 16:00,Ⅰ,18.8,7.76,9.23,49.2,1.8,0.82,0.025,0.009,0.70,*,*,正常
广西壮族自治区,珠江流域,水库出水口,04-04 20:00,Ⅰ,18.7,8.24,9.58,49.4,2.2,0.93,0.025,0.009,0.72,*,*,正常
广西壮族自治区,珠江流域,水库出水口,04-05 00:00,Ⅰ,18.6,7.53,9.09,49.0,1.4,0.93,0.025,0.009,0.72,*,*,正常
广西壮族自治区,珠江流域,水库出水口,04-05 04:00,Ⅰ,18.6,7.41,8.96,48.7,1.0,0.75,0.025,0.009,0.71,*,*,正常
