省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
广西壮族自治区,珠江流域,白马,04-01 04:00,Ⅱ,22.6,7.77,7.04,305.6,14.0,0.84,0.055,0.026,0.98,*,*,正常
广西壮族自治区,珠江流域,白马,04-01 12:00,Ⅱ,24.0,7.84,7.56,301.9,5.8,0.99,0.047,0.026,1.00,*,*,正常
广西壮族自治区,珠江流域,白马,04-01 16:00,Ⅱ,24.5,7.92,8.40,302.5,4.4,0.99,0.047,0.026,1.00,*,*,正常
广西壮族自治区,珠江流域,白马,04-01 20:00,Ⅱ,23.6,7.88,8.04,302.7,3.7,1.01,0.042,0.028,0.96,*,*,正常
广西壮族自治区,珠江流域,白马,04-02 00:00,Ⅱ,23.0,7.77,7.13,303.9,3.7,1.19,0.052,0.026,0.99,*,*,正常
广西壮族自治区,珠江流域,白马,04-02 00:00,Ⅱ,23.0,7.77,7.13,303.9,3.7,1.19,0.052,0.026,0.99,*,*,正常
广西壮族自治区,珠江流域,白马,04-02 08:00,Ⅱ,22.7,7.70,6.76,304.7,3.2,0.87,0.055,0.025,0.96,*,*,正常
广西壮族自治区,珠江流域,白马,04-02 12:00,Ⅱ,23.5,7.76,7.39,301.8,3.5,0.92,0.048,0.026,1.02,*,*,正常
广西壮族自治区,珠江流域,白马,04-02 16:00,Ⅱ,23.7,7.86,8.34,301.5,3.8,1.05,0.047,0.026,1.01,*,*,正常
广西壮族自治区,珠江流域,白马,04-02 20:00,Ⅱ,23.2,7.74,7.14,303.5,4.0,1.30,0.038,0.028,1.02,*,*,正常
