省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
广西壮族自治区,珠江流域,高塘,04-01 08:00,Ⅱ,25.4,8.36,8.57,264.5,3.7,2.62,0.025,0.033,1.74,*,*,正常
广西壮族自治区,珠江流域,高塘,04-01 12:00,Ⅱ,26.1,8.52,8.87,264.2,4.3,2.79,0.025,0.034,1.74,*,*,正常
广西壮族自治区,珠江流域,高塘,04-01 16:00,Ⅱ,27.1,8.62,8.99,262.7,4.3,2.79,0.025,0.034,1.74,*,*,正常
广西壮族自治区,珠江流域,高塘,04-01 20:00,Ⅱ,26.8,8.62,8.90,262.2,4.4,2.70,0.025,0.032,1.73,*,*,正常
广西壮族自治区,珠江流域,高塘,04-02 00:00,Ⅱ,26.6,8.54,8.84,262.0,4.7,2.74,0.025,0.032,1.73,*,*,正常
广西壮族自治区,珠江流域,高塘,04-02 00:00,Ⅱ,26.6,8.54,8.84,262.0,4.7,2.74,0.025,0.032,1.73,*,*,正常
广西壮族自治区,珠江流域,高塘,04-02 08:00,Ⅱ,26.4,8.36,8.15,263.5,4.1,2.50,0.025,0.031,1.87,*,*,正常
广西壮族自治区,珠江流域,高塘,04-02 12:00,Ⅱ,27.0,8.52,9.95,263.7,4.4,2.65,0.025,0.033,2.00,*,*,正常
广西壮族自治区,珠江流域,高塘,04-02 16:00,Ⅱ,27.7,8.61,9.82,262.7,3.9,2.65,0.025,0.033,1.69,*,*,正常
广西壮族自治区,珠江流域,高塘,04-02 20:00,Ⅱ,27.5,8.66,10.14,262.0,4.1,2.66,0.025,0.033,1.75,*,*,正常
广西壮族自治区,珠江流域,高塘,04-03 00:00,Ⅱ,27.4,8.65,9.19,262.0,3.7,2.76,0.025,0.032,1.70,*,*,正常
