省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
广西壮族自治区,珠江流域,鼠岭(文车桥),04-01 04:00,Ⅲ,26.0,8.32,7.68,227.1,8.4,4.70,0.246,0.011,1.48,*,*,正常
广西壮族自治区,珠江流域,鼠岭(文车桥),04-01 12:00,Ⅳ,27.5,8.63,9.47,197.5,15.5,6.04,0.190,0.039,1.71,*,*,正常
广西壮族自治区,珠江流域,鼠岭(文车桥),04-01 12:00,Ⅳ,27.5,8.63,9.47,197.5,15.5,6.04,0.190,0.039,1.71,*,*,正常
广西壮族自治区,珠江流域,鼠岭(文车桥),04-01 16:00,Ⅳ,28.0,8.84,10.33,195.9,17.5,6.40,0.212,0.039,1.77,*,*,正常
广西壮族自治区,珠江流域,鼠岭(文车桥),04-01 20:00,Ⅲ,27.0,8.61,8.41,225.6,13.6,4.53,0.214,0.026,1.31,*,*,正常
广西壮族自治区,珠江流域,鼠岭(文车桥),04-01 20:00,Ⅲ,27.0,8.61,8.41,225.6,13.6,4.53,0.214,0.026,1.31,*,*,正常
广西壮族自治区,珠江流域,鼠岭(文车桥),04-02 04:00,Ⅲ,26.4,8.33,7.11,208.8,8.5,5.03,0.204,0.022,1.51,*,*,正常
广西壮族自治区,珠江流域,鼠岭(文车桥),04-02 08:00,Ⅱ,26.4,7.94,6.13,243.8,16.2,3.70,0.243,0.023,1.40,*,*,正常
广西壮族自治区,珠江流域,鼠岭(文车桥),04-02 12:00,Ⅲ,27.0,8.43,7.56,215.7,13.6,4.85,0.215,0.028,1.47,*,*,正常
广西壮族自治区,珠江流域,鼠岭(文车桥),04-02 16:00,Ⅲ,27.1,8.61,8.88,226.9,16.5,4.90,0.215,0.028,1.47,*,*,正常
广西壮族自治区,珠江流域,鼠岭(文车桥),04-02 20:00,Ⅲ,26.8,8.37,8.22,240.8,7.8,4.31,0.068,0.028,1.47,*,*,正常
广西壮族自治区,珠江流域,鼠岭(文车桥),04-02 20:00,Ⅲ,26.8,8.37,8.22,240.8,7.8,4.31,0.068,0.028,1.47,*,*,正常
广西壮族自治区,珠江流域,鼠岭(文车桥),04-03 04:00,Ⅲ,26.2,8.21,7.20,224.3,9.2,4.36,0.185,0.023,1.47,*,*,正常
广西壮族自治区,珠江流域,鼠岭(文车桥),04-03 08:00,Ⅲ,26.2,8.08,6.93,221.3,6.7,4.26,0.211,0.025,1.42,*,*,正常
广西壮族自治区,珠江流域,鼠岭(文车桥),04-03 12:00,Ⅲ,27.1,8.57,8.40,224.4,8.8,5.06,0.176,0.044,1.39,*,*,正常
广西壮族自治区,珠江流域,鼠岭(文车桥),04-03 16:00,Ⅲ,27.1,8.68,8.92,202.7,11.5,5.38,0.145,0.025,1.43,*,*,正常
广西壮族自治区,珠江流域,鼠岭(文车桥),04-03 20:00,Ⅲ,26.7,8.59,8.83,221.9,10.1,4.73,0.176,0.024,1.37,*,*,正常
