省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
新疆维吾尔自治区,西北诸河,汇合口,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
新疆维吾尔自治区,西北诸河,汇合口,04-01 12:00,Ⅱ,9.5,7.99,9.69,961.6,17.5,2.45,0.032,0.015,--,*,*,维护
新疆维吾尔自治区,西北诸河,汇合口,04-01 12:00,Ⅱ,9.5,7.99,9.69,961.6,17.5,2.45,0.032,0.015,--,*,*,维护
新疆维吾尔自治区,西北诸河,汇合口,04-01 16:00,Ⅱ,10.0,7.93,9.34,909.5,16.8,2.70,0.028,0.014,0.72,*,*,正常
新疆维吾尔自治区,西北诸河,汇合口,04-01 20:00,Ⅱ,14.3,7.41,8.56,883.6,5.6,2.51,0.030,0.014,0.70,*,*,正常
新疆维吾尔自治区,西北诸河,汇合口,04-02 00:00,Ⅱ,10.1,7.96,9.34,810.7,13.5,2.77,0.035,0.014,0.71,*,*,正常
新疆维吾尔自治区,西北诸河,汇合口,04-02 04:00,Ⅱ,10.0,7.95,9.39,795.0,13.5,2.77,0.036,0.013,0.68,*,*,正常
新疆维吾尔自治区,西北诸河,汇合口,04-02 08:00,Ⅱ,9.9,7.97,9.46,794.6,12.9,2.90,0.031,0.013,0.64,*,*,正常
新疆维吾尔自治区,西北诸河,汇合口,04-02 12:00,Ⅱ,9.8,7.98,9.55,807.9,10.1,2.68,0.034,0.012,0.69,*,*,正常
新疆维吾尔自治区,西北诸河,汇合口,04-02 16:00,Ⅱ,10.1,8.05,9.95,818.7,10.3,2.66,0.037,0.011,0.70,*,*,正常
新疆维吾尔自治区,西北诸河,汇合口,04-02 20:00,Ⅱ,10.4,8.03,9.90,783.8,10.1,2.60,0.031,0.011,0.66,*,*,正常
新疆维吾尔自治区,西北诸河,汇合口,04-03 00:00,Ⅱ,10.2,8.01,9.77,783.9,11.0,2.51,0.029,0.011,0.61,*,*,正常
新疆维吾尔自治区,西北诸河,汇合口,04-03 04:00,Ⅱ,9.9,8.02,9.77,787.6,10.5,2.49,0.028,0.011,0.62,*,*,正常
新疆维吾尔自治区,西北诸河,汇合口,04-03 08:00,Ⅱ,9.8,8.06,9.98,798.8,10.5,2.58,0.027,0.011,0.65,*,*,正常
