省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江苏省,太湖流域,平台山,04-01 08:00,Ⅳ,18.2,8.19,8.46,504.1,50.2,3.52,0.025,0.067,2.16,0.008,3024350,正常
江苏省,太湖流域,平台山,04-01 12:00,Ⅳ,18.3,8.20,8.52,504.9,40.9,3.47,0.025,0.062,2.10,0.006,3142710,正常
江苏省,太湖流域,平台山,04-01 16:00,Ⅳ,18.3,8.22,8.62,502.0,26.0,3.47,0.025,0.062,2.10,0.008,3070250,正常
江苏省,太湖流域,平台山,04-01 20:00,Ⅳ,18.3,8.20,8.55,498.1,20.2,3.32,0.025,0.053,1.97,0.007,1853240,正常
江苏省,太湖流域,平台山,04-02 00:00,Ⅲ,18.3,8.21,8.49,499.2,15.8,3.19,0.026,0.043,1.95,0.006,1734740,正常
江苏省,太湖流域,平台山,04-02 00:00,Ⅲ,18.3,8.21,8.49,499.2,15.8,3.19,0.026,0.041,1.86,0.006,1734740,正常
江苏省,太湖流域,平台山,04-02 08:00,Ⅲ,18.2,8.18,8.45,511.1,16.0,3.06,0.028,0.039,1.99,0.006,1925290,正常
江苏省,太湖流域,平台山,04-02 12:00,Ⅲ,18.6,8.24,8.71,515.3,15.7,3.16,0.025,0.040,1.81,0.008,2197240,正常
江苏省,太湖流域,平台山,04-02 16:00,Ⅲ,18.8,8.17,9.55,487.8,15.8,3.16,0.025,0.040,1.81,0.001,2005330,正常
江苏省,太湖流域,平台山,04-02 20:00,Ⅲ,18.8,8.15,9.42,487.5,17.7,2.60,0.025,0.042,2.22,0.001,1723710,正常
江苏省,太湖流域,平台山,04-03 00:00,Ⅴ,18.8,8.12,9.30,487.6,16.5,11.65,0.025,0.040,2.12,0.005,1561050,正常
