省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江苏省,太湖流域,朱厍港口,04-01 08:00,Ⅱ,17.0,7.58,6.30,651.1,17.5,3.59,0.397,0.086,1.20,*,*,正常
江苏省,太湖流域,朱厍港口,04-01 12:00,Ⅱ,17.1,7.59,6.42,651.7,9.0,3.87,0.394,0.087,1.24,*,*,正常
江苏省,太湖流域,朱厍港口,04-01 12:00,Ⅲ,17.1,7.59,6.42,651.7,9.0,4.10,0.394,0.087,0.70,*,*,正常
江苏省,太湖流域,朱厍港口,04-01 16:00,Ⅱ,17.4,7.95,8.83,647.6,7.6,3.90,0.380,0.075,1.73,*,*,正常
江苏省,太湖流域,朱厍港口,04-01 20:00,Ⅱ,17.2,7.86,6.45,439.3,11.6,3.32,0.314,0.075,1.57,*,*,正常
江苏省,太湖流域,朱厍港口,04-02 00:00,Ⅱ,17.0,7.70,7.11,643.4,9.0,3.32,0.314,0.075,1.57,*,*,正常
江苏省,太湖流域,朱厍港口,04-02 04:00,Ⅱ,16.9,7.58,6.39,642.3,8.9,3.35,0.301,0.080,1.50,*,*,正常
江苏省,太湖流域,朱厍港口,04-02 08:00,Ⅲ,16.9,7.49,5.88,643.2,8.0,3.83,0.318,0.093,1.54,*,*,正常
江苏省,太湖流域,朱厍港口,04-02 12:00,Ⅱ,17.2,7.84,7.93,643.6,11.5,3.06,0.295,0.083,1.43,*,*,正常
江苏省,太湖流域,朱厍港口,04-02 16:00,Ⅱ,17.8,8.04,9.14,639.8,8.0,3.11,0.249,0.082,1.64,*,*,正常
江苏省,太湖流域,朱厍港口,04-02 20:00,Ⅱ,17.6,7.79,7.84,640.7,9.3,3.37,0.284,0.082,1.47,*,*,正常
江苏省,太湖流域,朱厍港口,04-03 00:00,Ⅱ,17.4,7.57,6.28,642.2,7.7,3.37,0.284,0.082,1.47,*,*,正常
江苏省,太湖流域,朱厍港口,04-03 04:00,Ⅲ,17.2,7.43,5.29,637.9,7.8,3.45,0.300,0.083,1.61,*,*,正常
江苏省,太湖流域,朱厍港口,04-03 08:00,Ⅲ,17.2,7.40,5.20,636.4,6.5,3.62,0.300,0.089,1.49,*,*,正常
江苏省,太湖流域,朱厍港口,04-03 12:00,Ⅱ,17.2,7.65,7.22,650.8,14.1,3.34,0.334,0.090,1.47,*,*,正常
江苏省,太湖流域,朱厍港口,04-03 16:00,Ⅱ,17.4,7.64,7.54,640.3,6.5,3.38,0.266,0.088,1.81,*,*,正常
江苏省,太湖流域,朱厍港口,04-03 20:00,Ⅱ,16.9,7.47,6.01,642.5,8.5,3.57,0.316,0.088,1.57,*,*,正常
江苏省,太湖流域,朱厍港口,04-04 00:00,Ⅲ,16.5,7.40,5.38,646.0,8.2,3.57,0.316,0.088,1.57,*,*,正常
江苏省,太湖流域,朱厍港口,04-04 04:00,*,16.1,7.40,5.49,642.4,8.5,--,0.338,0.086,--,*,*,维护
江苏省,太湖流域,朱厍港口,04-04 08:00,Ⅱ,15.9,7.44,6.04,650.4,9.6,3.34,0.353,0.093,1.70,*,*,正常
江苏省,太湖流域,朱厍港口,04-04 12:00,Ⅱ,16.8,7.74,8.39,673.9,14.8,3.34,0.398,0.098,1.81,*,*,正常
江苏省,太湖流域,朱厍港口,04-04 16:00,Ⅱ,17.5,8.08,10.28,669.9,13.5,3.34,0.341,0.098,1.60,*,*,正常
江苏省,太湖流域,朱厍港口,04-04 20:00,Ⅲ,16.6,7.79,8.70,664.3,15.6,3.54,0.346,0.106,1.84,*,*,正常
江苏省,太湖流域,朱厍港口,04-05 00:00,Ⅲ,15.8,7.51,6.70,658.3,9.5,3.54,0.346,0.106,1.84,*,*,正常
江苏省,太湖流域,朱厍港口,04-05 04:00,Ⅱ,15.4,7.56,7.13,660.5,13.4,3.38,0.354,0.081,2.48,*,*,正常
江苏省,太湖流域,朱厍港口,04-05 08:00,Ⅱ,15.3,7.54,7.26,654.6,6.3,3.54,0.302,0.081,1.88,*,*,正常
江苏省,太湖流域,朱厍港口,04-05 12:00,Ⅱ,16.4,7.83,9.11,663.2,15.6,3.56,0.354,0.088,1.34,*,*,正常
江苏省,太湖流域,朱厍港口,04-05 16:00,Ⅱ,16.6,8.00,9.90,666.7,17.0,3.35,0.339,0.087,1.58,*,*,正常
