省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江苏省,太湖流域,林家闸,04-01 08:00,Ⅱ,15.5,7.86,9.10,317.6,30.0,1.72,0.090,0.065,2.31,*,*,正常
江苏省,太湖流域,林家闸,04-01 12:00,Ⅱ,15.5,7.86,9.11,317.2,32.6,1.45,0.083,0.068,2.35,*,*,正常
江苏省,太湖流域,林家闸,04-01 12:00,Ⅱ,15.5,7.86,9.11,317.2,32.6,1.45,0.083,0.068,2.35,*,*,正常
江苏省,太湖流域,林家闸,04-01 16:00,Ⅱ,15.6,7.87,9.08,316.8,31.3,1.18,0.083,0.070,2.28,*,*,正常
江苏省,太湖流域,林家闸,04-01 20:00,Ⅱ,15.5,7.83,8.97,317.7,29.8,1.45,0.099,0.069,2.31,*,*,正常
江苏省,太湖流域,林家闸,04-02 00:00,Ⅱ,15.5,7.85,9.11,317.1,29.9,1.30,0.082,0.070,2.22,*,*,正常
江苏省,太湖流域,林家闸,04-02 04:00,Ⅱ,15.6,7.86,9.08,316.5,29.7,1.28,0.080,0.067,2.21,*,*,正常
江苏省,太湖流域,林家闸,04-02 08:00,Ⅱ,15.6,7.84,9.05,316.6,29.3,1.43,0.080,0.070,2.26,*,*,正常
江苏省,太湖流域,林家闸,04-02 12:00,Ⅱ,15.7,7.86,9.08,316.9,30.4,1.42,0.073,0.073,2.30,*,*,正常
江苏省,太湖流域,林家闸,04-02 16:00,Ⅱ,15.7,7.87,9.06,315.4,30.8,1.47,0.072,0.069,2.23,*,*,正常
江苏省,太湖流域,林家闸,04-02 20:00,Ⅱ,15.7,7.84,9.02,317.1,28.2,1.47,0.089,0.066,2.27,*,*,正常
江苏省,太湖流域,林家闸,04-03 00:00,Ⅱ,15.7,7.85,9.01,316.9,31.3,1.44,0.088,0.069,2.28,*,*,正常
江苏省,太湖流域,林家闸,04-03 04:00,Ⅱ,15.7,7.86,9.01,316.4,33.3,1.50,0.083,0.068,2.38,*,*,正常
江苏省,太湖流域,林家闸,04-03 08:00,Ⅱ,15.7,7.85,9.05,315.5,30.2,1.35,0.073,0.066,2.19,*,*,正常
江苏省,太湖流域,林家闸,04-03 12:00,Ⅱ,15.8,7.85,9.07,315.2,31.2,1.34,0.072,0.068,2.17,*,*,正常
江苏省,太湖流域,林家闸,04-03 16:00,Ⅱ,15.7,7.86,9.04,316.2,29.8,1.65,0.074,0.067,2.27,*,*,正常
江苏省,太湖流域,林家闸,04-03 20:00,Ⅱ,15.7,7.86,9.10,313.9,27.7,1.35,0.071,0.063,2.19,*,*,正常
江苏省,太湖流域,林家闸,04-04 00:00,Ⅱ,15.6,7.85,9.04,315.1,29.9,1.44,0.073,0.064,2.19,*,*,正常
江苏省,太湖流域,林家闸,04-04 04:00,*,15.6,7.87,9.03,315.2,26.6,--,--,--,--,*,*,维护
江苏省,太湖流域,林家闸,04-04 08:00,*,15.7,7.85,9.02,315.7,26.4,--,--,--,--,*,*,维护
江苏省,太湖流域,林家闸,04-04 12:00,Ⅱ,15.8,7.86,9.06,317.1,27.0,1.44,0.075,0.066,2.12,*,*,正常
江苏省,太湖流域,林家闸,04-04 16:00,Ⅱ,15.9,7.88,9.08,316.2,26.7,1.58,0.071,0.063,2.09,*,*,正常
江苏省,太湖流域,林家闸,04-04 20:00,Ⅱ,15.7,7.88,9.11,319.7,26.9,1.41,0.080,0.062,2.30,*,*,正常
江苏省,太湖流域,林家闸,04-05 00:00,Ⅱ,15.7,7.86,9.13,319.2,24.8,1.41,0.080,0.062,2.30,*,*,正常
江苏省,太湖流域,林家闸,04-05 04:00,Ⅱ,15.6,7.86,9.12,318.2,25.8,1.31,0.073,0.060,2.14,*,*,正常
