省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江苏省,太湖流域,蠡桥,04-01 04:00,Ⅱ,17.6,8.52,6.06,541.0,40.9,3.88,0.077,0.067,0.82,*,*,正常
江苏省,太湖流域,蠡桥,04-01 12:00,Ⅲ,17.5,8.47,5.98,542.7,39.0,3.61,0.091,0.064,0.81,*,*,正常
江苏省,太湖流域,蠡桥,04-01 12:00,Ⅲ,17.5,8.47,5.98,542.7,39.0,3.61,0.091,0.064,0.81,*,*,正常
江苏省,太湖流域,蠡桥,04-01 16:00,Ⅱ,17.4,8.49,6.08,542.1,38.1,3.79,0.100,0.064,0.84,*,*,正常
江苏省,太湖流域,蠡桥,04-01 20:00,Ⅲ,17.4,8.47,6.02,542.5,39.2,4.20,0.098,0.069,0.88,*,*,正常
江苏省,太湖流域,蠡桥,04-02 00:00,Ⅲ,17.4,8.45,5.98,542.5,39.1,4.20,0.098,0.069,0.88,*,*,正常
江苏省,太湖流域,蠡桥,04-02 04:00,Ⅲ,17.3,8.39,5.81,542.7,38.9,3.93,0.112,0.069,0.87,*,*,正常
江苏省,太湖流域,蠡桥,04-02 08:00,Ⅲ,17.3,8.36,5.71,543.2,37.9,3.55,0.117,0.064,0.84,*,*,正常
江苏省,太湖流域,蠡桥,04-02 12:00,Ⅱ,17.5,8.46,6.24,20.7,168.6,3.61,0.115,0.062,0.85,*,*,正常
江苏省,太湖流域,蠡桥,04-02 16:00,Ⅲ,17.6,8.54,6.46,542.6,34.8,4.02,0.098,0.066,0.83,*,*,正常
江苏省,太湖流域,蠡桥,04-02 20:00,Ⅲ,17.7,8.55,6.48,543.2,38.2,4.20,0.093,0.071,0.88,*,*,正常
江苏省,太湖流域,蠡桥,04-03 00:00,Ⅲ,17.6,8.46,6.21,543.3,40.4,4.20,0.093,0.071,0.88,*,*,正常
江苏省,太湖流域,蠡桥,04-03 04:00,Ⅲ,17.5,8.39,5.94,543.5,40.8,3.90,0.101,0.064,0.80,*,*,正常
江苏省,太湖流域,蠡桥,04-03 08:00,Ⅲ,17.4,8.35,5.77,543.3,41.8,3.52,0.102,0.061,0.82,*,*,正常
江苏省,太湖流域,蠡桥,04-03 12:00,Ⅲ,17.4,8.38,5.95,542.9,41.5,3.75,0.097,0.060,0.80,*,*,正常
江苏省,太湖流域,蠡桥,04-03 16:00,Ⅱ,17.3,8.39,6.06,542.6,43.2,3.94,0.102,0.065,0.79,*,*,正常
江苏省,太湖流域,蠡桥,04-03 20:00,Ⅲ,17.1,8.35,6.02,542.3,45.9,4.11,0.112,0.067,0.78,*,*,正常
江苏省,太湖流域,蠡桥,04-04 00:00,Ⅲ,16.9,8.36,6.19,20.6,153.7,4.11,0.112,0.067,0.78,*,*,正常
江苏省,太湖流域,蠡桥,04-04 04:00,*,16.7,8.28,5.82,543.3,45.7,--,--,--,--,*,*,维护
江苏省,太湖流域,蠡桥,04-04 08:00,Ⅲ,16.6,8.29,5.92,543.0,45.3,3.69,0.148,0.063,0.82,*,*,正常
江苏省,太湖流域,蠡桥,04-04 12:00,Ⅱ,17.0,8.34,6.19,542.0,46.6,3.58,0.136,0.062,0.79,*,*,正常
江苏省,太湖流域,蠡桥,04-04 16:00,Ⅱ,17.3,8.41,6.53,541.1,46.2,3.73,0.132,0.060,0.79,*,*,正常
