省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江苏省,淮河流域,东偏泓,04-01 08:00,Ⅲ,14.6,8.54,12.23,673.2,22.9,5.29,0.025,0.064,2.81,*,*,正常
江苏省,淮河流域,东偏泓,04-01 12:00,Ⅳ,15.0,8.59,12.65,671.8,22.4,6.04,0.025,0.073,2.76,*,*,正常
江苏省,淮河流域,东偏泓,04-01 12:00,Ⅳ,15.0,8.59,12.65,671.8,22.4,6.04,0.025,0.073,2.76,*,*,正常
江苏省,淮河流域,东偏泓,04-01 16:00,Ⅳ,15.1,8.70,13.52,671.0,22.3,6.07,0.025,0.069,2.73,*,*,正常
江苏省,淮河流域,东偏泓,04-01 20:00,Ⅲ,14.9,8.68,12.95,672.5,22.8,5.88,0.025,0.066,2.61,*,*,正常
江苏省,淮河流域,东偏泓,04-02 00:00,Ⅲ,14.5,8.62,12.06,674.9,23.2,5.65,0.025,0.062,2.62,*,*,正常
江苏省,淮河流域,东偏泓,04-02 04:00,Ⅲ,14.2,8.55,11.15,676.0,22.7,5.65,0.025,0.063,2.59,*,*,正常
江苏省,淮河流域,东偏泓,04-02 08:00,Ⅲ,14.1,8.46,10.39,677.4,22.3,5.73,0.025,0.070,2.74,*,*,正常
江苏省,淮河流域,东偏泓,04-02 12:00,Ⅲ,14.0,8.47,10.64,676.3,22.2,5.96,0.025,0.076,2.80,*,*,正常
江苏省,淮河流域,东偏泓,04-02 16:00,Ⅳ,14.0,8.42,10.65,679.0,21.8,6.00,0.026,0.069,2.66,*,*,正常
江苏省,淮河流域,东偏泓,04-02 20:00,Ⅲ,13.8,8.25,9.55,681.0,22.4,5.82,0.038,0.067,2.45,*,*,正常
江苏省,淮河流域,东偏泓,04-03 00:00,Ⅲ,13.7,8.17,8.79,680.7,22.1,5.59,0.043,0.066,2.49,*,*,正常
江苏省,淮河流域,东偏泓,04-03 04:00,Ⅲ,13.6,8.12,8.35,680.6,21.7,5.37,0.045,0.062,2.44,*,*,正常
江苏省,淮河流域,东偏泓,04-03 08:00,Ⅲ,13.6,8.06,7.79,678.7,22.0,5.46,0.048,0.070,2.58,*,*,正常
江苏省,淮河流域,东偏泓,04-03 12:00,Ⅲ,13.6,8.10,8.50,677.2,21.6,5.64,0.042,0.072,2.52,*,*,正常
江苏省,淮河流域,东偏泓,04-03 16:00,Ⅲ,13.8,8.27,10.15,674.2,21.2,5.63,0.040,0.066,2.52,*,*,正常
江苏省,淮河流域,东偏泓,04-03 20:00,Ⅲ,13.6,8.37,10.94,671.4,21.3,5.48,0.038,0.063,2.50,*,*,正常
江苏省,淮河流域,东偏泓,04-04 00:00,Ⅲ,13.1,8.37,10.95,672.8,21.0,5.29,0.038,0.059,2.46,*,*,正常
江苏省,淮河流域,东偏泓,04-04 04:00,*,12.3,8.36,11.12,675.9,20.7,--,--,--,--,*,*,维护
江苏省,淮河流域,东偏泓,04-04 08:00,Ⅲ,12.2,8.29,10.65,677.1,20.5,5.06,0.038,0.058,2.48,*,*,正常
江苏省,淮河流域,东偏泓,04-04 12:00,Ⅲ,14.2,8.39,11.68,673.9,20.4,5.26,0.043,0.054,2.46,*,*,正常
江苏省,淮河流域,东偏泓,04-04 16:00,Ⅲ,16.2,8.35,13.03,666.9,21.4,5.17,0.038,0.054,2.54,*,*,正常
江苏省,淮河流域,东偏泓,04-04 20:00,Ⅲ,16.3,8.68,13.66,663.8,21.2,4.83,0.038,0.045,2.51,*,*,正常
江苏省,淮河流域,东偏泓,04-05 00:00,Ⅲ,15.4,8.74,14.30,661.9,20.9,4.83,0.038,0.045,2.51,*,*,正常
江苏省,淮河流域,东偏泓,04-05 04:00,Ⅲ,14.4,8.71,14.38,665.3,20.6,4.72,0.037,0.047,2.46,*,*,正常
江苏省,淮河流域,东偏泓,04-05 08:00,Ⅲ,14.1,8.68,14.45,665.4,20.5,5.01,0.061,0.049,2.47,*,*,正常
