省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江苏省,淮河流域,临淮乡（湖库）,04-01 08:00,劣Ⅴ,13.3,8.31,8.97,593.9,181.2,5.96,0.025,0.207,2.55,0.002,927256,正常
江苏省,淮河流域,临淮乡（湖库）,04-01 12:00,Ⅴ,13.3,8.32,9.01,599.0,191.6,6.76,0.025,0.189,2.53,0.002,900183,正常
江苏省,淮河流域,临淮乡（湖库）,04-01 16:00,Ⅴ,13.3,8.31,9.00,599.0,132.6,6.76,0.025,0.189,2.53,0.002,846037,正常
江苏省,淮河流域,临淮乡（湖库）,04-01 20:00,Ⅴ,13.3,8.31,8.97,600.4,126.9,5.36,0.025,0.125,2.34,0.002,724207,正常
江苏省,淮河流域,临淮乡（湖库）,04-02 00:00,Ⅴ,13.2,8.29,8.98,588.9,110.2,5.42,0.025,0.124,2.41,0.002,751280,正常
江苏省,淮河流域,临淮乡（湖库）,04-02 04:00,Ⅴ,13.1,8.30,8.96,593.2,108.0,5.42,0.025,0.115,2.16,0.002,710671,正常
江苏省,淮河流域,临淮乡（湖库）,04-02 08:00,Ⅴ,13.0,8.28,8.92,589.0,100.6,4.32,0.026,0.115,2.25,0.002,676829,正常
江苏省,淮河流域,临淮乡（湖库）,04-02 12:00,Ⅴ,13.1,8.30,8.94,599.4,70.7,4.59,0.038,0.106,2.24,0.001,575305,正常
江苏省,淮河流域,临淮乡（湖库）,04-02 16:00,Ⅳ,13.2,8.30,8.95,599.4,57.7,3.60,0.043,0.097,2.26,0.001,534695,正常
江苏省,淮河流域,临淮乡（湖库）,04-02 20:00,Ⅳ,13.1,8.29,8.89,597.6,53.5,3.19,0.051,0.087,2.24,0.001,500854,正常
江苏省,淮河流域,临淮乡（湖库）,04-03 00:00,Ⅳ,13.0,8.29,8.89,596.5,50.9,3.48,0.050,0.082,2.19,0.001,500854,正常
江苏省,淮河流域,临淮乡（湖库）,04-03 04:00,Ⅳ,12.9,8.28,8.84,584.6,49.4,3.48,0.056,0.080,2.12,0.001,494085,正常
江苏省,淮河流域,临淮乡（湖库）,04-03 08:00,Ⅳ,12.8,8.28,8.86,585.5,45.9,3.39,0.050,0.081,1.92,0.001,494085,正常
江苏省,淮河流域,临淮乡（湖库）,04-03 12:00,Ⅳ,13.0,8.28,8.93,587.8,44.0,3.47,0.056,0.080,2.10,0.001,487317,正常
江苏省,淮河流域,临淮乡（湖库）,04-03 16:00,Ⅳ,12.9,8.28,9.00,585.1,72.7,3.43,0.058,0.074,2.04,0.001,582073,正常
江苏省,淮河流域,临淮乡（湖库）,04-03 20:00,Ⅳ,12.7,8.28,9.08,572.1,104.6,3.81,0.050,0.088,2.02,0.002,649756,正常
江苏省,淮河流域,临淮乡（湖库）,04-04 00:00,Ⅴ,12.5,8.28,9.14,566.4,119.2,4.48,0.029,0.103,1.91,0.002,717439,正常
江苏省,淮河流域,临淮乡（湖库）,04-04 04:00,Ⅴ,12.2,8.28,9.12,579.6,100.0,4.48,0.025,0.121,1.93,0.002,622683,正常
江苏省,淮河流域,临淮乡（湖库）,04-04 04:00,Ⅴ,12.2,8.28,9.12,579.6,100.0,4.44,0.035,0.116,2.10,0.002,622683,正常
江苏省,淮河流域,临淮乡（湖库）,04-04 08:00,Ⅴ,11.9,8.29,9.17,580.9,80.7,4.44,0.050,0.109,2.25,0.001,568537,正常
江苏省,淮河流域,临淮乡（湖库）,04-04 12:00,Ⅳ,12.4,8.28,9.33,576.0,82.6,4.13,0.045,0.097,2.03,0.002,649756,正常
江苏省,淮河流域,临淮乡（湖库）,04-04 20:00,Ⅳ,13.0,8.28,9.29,599.9,44.4,3.63,0.079,0.089,1.80,0.001,487317,正常
江苏省,淮河流域,临淮乡（湖库）,04-04 20:00,Ⅳ,13.0,8.28,9.29,599.9,44.4,3.55,0.079,0.082,2.11,0.001,487317,正常
江苏省,淮河流域,临淮乡（湖库）,04-05 00:00,Ⅳ,13.1,8.26,9.07,594.4,47.2,3.26,0.072,0.082,1.97,0.002,548232,正常
江苏省,淮河流域,临淮乡（湖库）,04-05 04:00,Ⅳ,13.0,8.26,8.82,594.4,40.6,3.48,0.078,0.077,1.87,0.002,514390,正常
江苏省,淮河流域,临淮乡（湖库）,04-05 08:00,*,12.9,8.25,8.99,597.6,36.2,--,0.094,0.072,2.08,0.001,521158,维护
