省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江苏省,淮河流域,大兴桥,04-01 04:00,Ⅲ,16.4,8.72,8.85,1097.4,104.0,5.16,0.066,*,*,*,*,正常
江苏省,淮河流域,大兴桥,04-01 12:00,Ⅲ,16.3,8.71,9.13,1131.2,95.3,4.92,0.070,*,*,*,*,正常
江苏省,淮河流域,大兴桥,04-01 12:00,Ⅲ,16.3,8.71,9.13,1131.2,95.3,4.92,0.070,*,*,*,*,正常
江苏省,淮河流域,大兴桥,04-01 16:00,Ⅲ,16.2,8.74,9.53,1115.6,102.8,5.21,0.048,*,*,*,*,正常
江苏省,淮河流域,大兴桥,04-01 20:00,Ⅲ,16.0,8.66,9.28,1125.2,111.1,4.88,0.072,*,*,*,*,正常
江苏省,淮河流域,大兴桥,04-01 20:00,Ⅲ,16.0,8.66,9.28,1125.2,111.1,4.88,0.072,*,*,*,*,正常
江苏省,淮河流域,大兴桥,04-02 04:00,Ⅲ,15.6,8.53,9.14,1133.0,127.1,4.90,0.074,*,*,*,*,正常
江苏省,淮河流域,大兴桥,04-02 08:00,Ⅲ,15.5,8.51,8.92,1131.8,122.2,4.90,0.079,*,*,*,*,正常
江苏省,淮河流域,大兴桥,04-02 12:00,Ⅲ,15.4,8.48,9.01,1131.3,124.2,4.94,0.071,*,*,*,*,正常
江苏省,淮河流域,大兴桥,04-02 16:00,Ⅲ,15.2,8.47,8.94,1131.7,103.8,4.90,0.066,*,*,*,*,正常
江苏省,淮河流域,大兴桥,04-02 20:00,Ⅲ,15.1,8.42,8.61,1136.5,128.5,4.77,0.068,*,*,*,*,正常
江苏省,淮河流域,大兴桥,04-02 20:00,Ⅲ,15.1,8.42,8.61,1136.5,128.5,4.77,0.068,*,*,*,*,正常
江苏省,淮河流域,大兴桥,04-03 04:00,Ⅲ,14.9,8.29,8.21,1136.8,112.1,4.81,0.064,*,*,*,*,正常
江苏省,淮河流域,大兴桥,04-03 08:00,Ⅲ,14.8,8.29,8.12,1137.8,98.7,4.35,0.066,*,*,*,*,正常
江苏省,淮河流域,大兴桥,04-03 12:00,Ⅲ,14.7,8.32,8.52,1138.2,101.4,4.53,0.056,*,*,*,*,正常
江苏省,淮河流域,大兴桥,04-03 12:00,Ⅲ,14.7,8.32,8.52,1138.2,101.4,4.53,0.056,*,*,*,*,正常
江苏省,淮河流域,大兴桥,04-03 20:00,Ⅲ,14.5,8.32,8.82,1145.5,130.9,4.64,0.065,*,*,*,*,正常
江苏省,淮河流域,大兴桥,04-03 20:00,Ⅲ,14.5,8.32,8.82,1145.5,130.9,4.64,0.065,*,*,*,*,正常
