省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江苏省,淮河流域,江都西闸,04-01 04:00,Ⅲ,14.6,7.92,9.05,323.2,110.3,2.36,0.380,0.103,2.14,*,*,正常
江苏省,淮河流域,江都西闸,04-01 12:00,Ⅲ,14.6,7.93,9.12,322.6,239.5,2.94,0.280,0.146,2.08,*,*,正常
江苏省,淮河流域,江都西闸,04-01 12:00,Ⅲ,14.6,7.93,9.12,322.6,239.5,2.94,0.280,0.146,2.08,*,*,正常
江苏省,淮河流域,江都西闸,04-01 16:00,Ⅱ,14.7,7.95,9.09,331.8,107.6,2.30,0.400,0.099,2.06,*,*,正常
江苏省,淮河流域,江都西闸,04-01 20:00,Ⅲ,14.7,7.96,9.11,329.7,154.0,2.54,0.370,0.112,2.06,*,*,正常
江苏省,淮河流域,江都西闸,04-02 00:00,Ⅲ,14.7,7.92,9.00,319.6,220.3,3.06,0.330,0.146,2.09,*,*,正常
江苏省,淮河流域,江都西闸,04-02 04:00,Ⅱ,14.6,7.90,8.92,319.5,106.1,2.59,0.420,0.095,2.09,*,*,正常
江苏省,淮河流域,江都西闸,04-02 08:00,Ⅱ,14.6,7.94,9.07,329.7,108.3,2.27,0.460,0.099,2.08,*,*,正常
江苏省,淮河流域,江都西闸,04-02 12:00,Ⅲ,14.7,7.93,9.06,320.5,183.7,2.65,0.410,0.146,2.08,*,*,正常
江苏省,淮河流域,江都西闸,04-02 16:00,劣Ⅴ,15.0,7.94,9.08,321.5,106.5,2.46,2.760,0.104,1.96,*,*,正常
江苏省,淮河流域,江都西闸,04-02 20:00,Ⅱ,14.8,7.95,9.10,324.8,84.6,2.15,0.080,0.091,1.91,*,*,正常
江苏省,淮河流域,江都西闸,04-03 00:00,Ⅱ,14.9,7.91,8.97,309.7,182.6,2.36,0.060,0.125,1.95,*,*,正常
江苏省,淮河流域,江都西闸,04-03 04:00,Ⅱ,14.8,7.90,9.00,315.2,111.2,2.21,0.050,0.096,1.90,*,*,正常
江苏省,淮河流域,江都西闸,04-03 08:00,Ⅱ,14.6,8.00,9.20,348.7,72.3,2.30,0.130,0.078,1.94,*,*,正常
江苏省,淮河流域,江都西闸,04-03 12:00,Ⅲ,14.7,7.94,9.07,315.9,210.1,2.59,0.110,0.129,1.95,*,*,正常
江苏省,淮河流域,江都西闸,04-03 16:00,Ⅱ,14.6,7.93,9.09,316.7,111.6,2.27,0.100,0.096,1.97,*,*,正常
