省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江苏省,淮河流域,沙集西闸,04-01 04:00,Ⅱ,15.2,8.32,10.29,673.1,10.4,3.87,0.159,0.047,0.90,*,*,正常
江苏省,淮河流域,沙集西闸,04-01 12:00,Ⅱ,15.5,8.42,10.72,667.0,11.5,3.91,0.187,0.045,0.88,*,*,正常
江苏省,淮河流域,沙集西闸,04-01 12:00,Ⅱ,15.5,8.42,10.72,667.0,11.5,3.91,0.187,0.045,0.88,*,*,正常
江苏省,淮河流域,沙集西闸,04-01 16:00,Ⅱ,15.5,8.38,10.28,663.9,10.8,3.85,0.222,0.043,0.81,*,*,正常
江苏省,淮河流域,沙集西闸,04-01 20:00,Ⅲ,15.3,7.96,9.61,670.7,8.9,4.13,0.204,0.049,0.73,*,*,正常
江苏省,淮河流域,沙集西闸,04-01 20:00,Ⅲ,15.3,7.96,9.61,670.7,8.9,4.13,0.204,0.049,0.73,*,*,正常
江苏省,淮河流域,沙集西闸,04-02 04:00,Ⅱ,15.0,7.90,8.86,677.9,9.9,3.87,0.204,0.039,0.85,*,*,正常
江苏省,淮河流域,沙集西闸,04-02 08:00,Ⅱ,14.8,7.88,8.68,679.1,9.5,3.86,0.313,0.040,0.82,*,*,正常
江苏省,淮河流域,沙集西闸,04-02 12:00,Ⅱ,15.0,7.98,9.28,678.7,9.6,3.86,0.233,0.044,0.86,*,*,正常
江苏省,淮河流域,沙集西闸,04-02 16:00,Ⅱ,15.1,7.94,8.84,680.3,8.8,3.61,0.232,0.041,0.79,*,*,正常
江苏省,淮河流域,沙集西闸,04-02 20:00,Ⅱ,14.8,7.88,8.21,681.8,8.9,3.62,0.239,0.041,0.84,*,*,正常
江苏省,淮河流域,沙集西闸,04-02 20:00,Ⅱ,14.8,7.88,8.21,681.8,8.9,3.62,0.239,0.041,0.84,*,*,正常
江苏省,淮河流域,沙集西闸,04-03 04:00,Ⅱ,14.6,7.81,7.51,685.8,9.6,3.60,0.162,0.043,0.83,*,*,正常
江苏省,淮河流域,沙集西闸,04-03 08:00,Ⅱ,14.5,7.82,7.65,682.5,9.1,3.67,0.248,0.042,0.87,*,*,正常
江苏省,淮河流域,沙集西闸,04-03 12:00,Ⅱ,14.7,8.01,9.31,680.5,8.4,3.72,0.211,0.042,0.85,*,*,正常
江苏省,淮河流域,沙集西闸,04-03 16:00,Ⅱ,14.6,8.02,9.43,681.7,8.8,3.72,0.222,0.042,0.76,*,*,正常
江苏省,淮河流域,沙集西闸,04-03 20:00,Ⅱ,14.4,7.91,8.34,683.4,8.8,3.68,0.196,0.043,0.79,*,*,正常
江苏省,淮河流域,沙集西闸,04-03 20:00,Ⅱ,14.4,7.91,8.34,683.4,8.8,3.68,0.196,0.043,0.79,*,*,正常
