省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江苏省,淮河流域,黑林桥,04-01 04:00,Ⅳ,14.2,8.35,8.71,472.7,32.7,7.55,0.079,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-01 12:00,Ⅳ,14.4,8.08,7.30,475.7,32.4,8.27,0.114,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-01 12:00,Ⅳ,14.4,8.08,7.30,475.7,32.4,8.27,0.114,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-01 16:00,Ⅳ,14.4,8.62,9.34,446.2,39.6,9.47,0.086,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-01 20:00,劣Ⅴ,13.9,9.54,11.51,455.6,34.4,8.27,0.074,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-01 20:00,劣Ⅴ,13.9,9.54,11.51,455.6,34.4,8.27,0.074,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-02 04:00,劣Ⅴ,13.4,9.22,8.72,470.9,32.1,7.57,0.080,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-02 08:00,Ⅳ,13.2,8.68,8.61,484.6,34.0,7.14,0.150,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-02 12:00,Ⅳ,13.2,8.09,6.44,492.0,39.9,7.40,0.198,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-02 16:00,Ⅳ,13.1,8.85,7.96,483.5,35.9,7.98,0.131,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-02 20:00,劣Ⅴ,13.1,9.16,9.32,474.9,33.6,7.53,0.109,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-02 20:00,劣Ⅴ,13.1,9.16,9.32,474.9,33.6,7.53,0.109,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-03 04:00,Ⅳ,12.9,8.89,7.79,482.7,29.5,6.73,0.168,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-03 08:00,Ⅳ,12.8,8.52,7.47,485.7,28.3,6.75,0.213,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-03 12:00,Ⅳ,12.8,8.26,6.90,492.9,33.5,7.69,0.236,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-03 16:00,劣Ⅴ,13.0,9.02,9.89,485.3,34.4,8.75,0.130,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-03 20:00,劣Ⅴ,12.8,9.45,11.48,476.3,39.4,8.80,0.077,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-03 20:00,劣Ⅴ,12.8,9.45,11.48,476.3,39.4,8.80,0.077,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-04 04:00,劣Ⅴ,12.1,9.23,9.35,485.4,30.7,7.63,0.064,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-04 04:00,劣Ⅴ,12.1,9.23,9.35,485.4,30.7,7.63,0.064,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-04 12:00,劣Ⅴ,12.2,9.09,8.94,501.1,28.4,8.86,0.067,*,*,*,*,正常
江苏省,淮河流域,黑林桥,04-04 16:00,劣Ⅴ,13.2,9.56,12.07,484.9,28.7,9.93,0.066,*,*,*,*,正常
