省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江苏省,长江流域,北山水库,--,Ⅱ,14.9,8.57,9.97,529.3,5.8,2.94,0.025,0.029,0.77,*,*,正常
江苏省,长江流域,北山水库,--,Ⅱ,14.9,8.61,10.29,527.0,5.5,2.94,0.025,0.029,0.77,*,*,正常
江苏省,长江流域,北山水库,--,Ⅱ,14.9,8.61,10.29,527.0,5.5,2.94,0.025,0.029,0.77,*,*,正常
江苏省,长江流域,北山水库,--,Ⅱ,14.8,8.59,10.00,528.7,7.5,2.88,0.025,0.027,0.78,*,*,正常
江苏省,长江流域,北山水库,--,Ⅱ,14.8,8.57,9.89,528.2,6.0,2.87,0.025,0.026,0.75,*,*,正常
江苏省,长江流域,北山水库,--,Ⅱ,14.8,8.56,9.77,528.8,6.6,2.87,0.025,0.026,0.75,*,*,正常
江苏省,长江流域,北山水库,--,Ⅱ,14.8,8.55,9.70,529.6,6.8,2.92,0.027,0.027,0.79,*,*,正常
江苏省,长江流域,北山水库,--,Ⅱ,14.8,8.57,9.90,528.2,6.6,2.95,0.026,0.027,0.75,*,*,正常
江苏省,长江流域,北山水库,--,Ⅱ,15.0,8.61,10.27,527.3,5.9,2.88,0.025,0.027,0.77,*,*,正常
江苏省,长江流域,北山水库,--,Ⅱ,15.1,8.64,10.61,526.8,6.3,3.09,0.025,0.030,0.77,*,*,正常
江苏省,长江流域,北山水库,--,Ⅱ,15.0,8.64,10.36,525.7,7.3,3.11,0.025,0.032,0.77,*,*,正常
江苏省,长江流域,北山水库,--,Ⅱ,14.9,8.61,10.17,527.4,6.7,3.11,0.025,0.032,0.77,*,*,正常
