省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江苏省,长江流域,小河口上游,04-01 04:00,Ⅱ,15.7,8.25,8.85,312.6,35.5,1.50,0.080,0.076,1.47,*,*,正常
江苏省,长江流域,小河口上游,04-01 12:00,Ⅱ,15.7,8.23,8.88,310.8,39.1,1.46,0.090,0.080,1.47,*,*,正常
江苏省,长江流域,小河口上游,04-01 12:00,Ⅱ,15.7,8.23,8.88,310.8,39.1,1.46,0.090,0.080,1.47,*,*,正常
江苏省,长江流域,小河口上游,04-01 16:00,Ⅱ,15.7,8.26,8.86,311.1,33.4,1.42,0.080,0.074,1.57,*,*,正常
江苏省,长江流域,小河口上游,04-01 20:00,Ⅱ,15.7,8.24,8.85,316.0,39.2,1.48,0.100,0.078,1.55,*,*,正常
江苏省,长江流域,小河口上游,04-02 00:00,Ⅱ,15.7,8.24,8.76,311.0,31.8,1.46,0.100,0.073,1.56,*,*,正常
江苏省,长江流域,小河口上游,04-02 04:00,Ⅱ,15.7,8.25,8.77,312.4,36.3,1.43,0.060,0.077,1.53,*,*,正常
江苏省,长江流域,小河口上游,04-02 08:00,Ⅱ,15.7,8.25,8.77,313.7,56.3,1.55,0.040,0.090,1.47,*,*,正常
江苏省,长江流域,小河口上游,04-02 12:00,Ⅱ,15.7,8.24,8.73,314.1,28.8,1.41,0.130,0.071,1.54,*,*,正常
江苏省,长江流域,小河口上游,04-02 16:00,Ⅱ,15.8,8.24,8.70,312.8,25.3,1.35,0.080,0.070,1.51,*,*,正常
江苏省,长江流域,小河口上游,04-02 20:00,Ⅱ,15.8,8.24,8.74,314.7,35.7,1.42,0.090,0.076,1.57,*,*,正常
江苏省,长江流域,小河口上游,04-03 00:00,Ⅱ,15.7,8.23,8.71,314.5,27.1,1.39,0.100,0.071,1.56,*,*,正常
江苏省,长江流域,小河口上游,04-03 04:00,Ⅱ,15.7,8.24,8.70,315.0,25.6,1.38,0.090,0.072,1.53,*,*,正常
江苏省,长江流域,小河口上游,04-03 08:00,Ⅱ,15.6,8.24,8.70,316.9,35.8,1.41,0.070,0.075,1.48,*,*,正常
江苏省,长江流域,小河口上游,04-03 12:00,Ⅱ,15.7,8.24,8.72,316.2,27.0,1.32,0.100,0.070,1.56,*,*,正常
江苏省,长江流域,小河口上游,04-03 20:00,Ⅱ,15.6,8.24,8.71,318.4,34.2,1.36,0.090,0.074,1.50,*,*,正常
江苏省,长江流域,小河口上游,04-03 20:00,Ⅱ,15.6,8.24,8.71,318.4,34.2,1.44,0.120,0.075,1.50,*,*,正常
江苏省,长江流域,小河口上游,04-04 00:00,Ⅱ,15.6,8.24,8.72,318.8,30.0,1.35,0.120,0.074,1.56,*,*,正常
江苏省,长江流域,小河口上游,04-04 04:00,*,15.5,8.24,8.71,320.4,28.5,--,--,--,--,*,*,维护
