省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江苏省,长江流域,祥和大桥,04-01 08:00,Ⅱ,14.7,7.54,8.19,308.2,28.8,1.59,0.068,0.073,1.93,*,*,正常
江苏省,长江流域,祥和大桥,04-01 12:00,Ⅱ,14.8,7.55,8.27,306.1,29.9,1.67,0.067,0.076,1.98,*,*,正常
江苏省,长江流域,祥和大桥,04-01 12:00,Ⅱ,14.8,7.55,8.27,306.1,29.9,1.67,0.067,0.076,1.98,*,*,正常
江苏省,长江流域,祥和大桥,04-01 16:00,Ⅱ,15.1,7.55,8.24,303.4,28.1,1.61,0.064,0.077,1.95,*,*,正常
江苏省,长江流域,祥和大桥,04-01 20:00,Ⅱ,15.1,7.55,8.24,306.1,30.5,1.66,0.068,0.078,1.97,*,*,正常
江苏省,长江流域,祥和大桥,04-02 00:00,Ⅱ,15.1,7.54,8.22,302.6,27.7,1.61,0.060,0.075,1.90,*,*,正常
江苏省,长江流域,祥和大桥,04-02 04:00,Ⅱ,15.1,7.51,7.99,302.9,24.2,1.61,0.105,0.079,1.98,*,*,正常
江苏省,长江流域,祥和大桥,04-02 08:00,Ⅱ,15.2,7.50,7.86,303.8,23.7,1.63,0.124,0.080,1.98,*,*,正常
江苏省,长江流域,祥和大桥,04-02 12:00,Ⅱ,15.3,7.50,8.05,313.7,29.8,1.70,0.074,0.077,2.01,*,*,正常
江苏省,长江流域,祥和大桥,04-02 16:00,Ⅱ,15.5,7.52,8.05,321.7,28.2,1.72,0.066,0.075,2.03,*,*,正常
江苏省,长江流域,祥和大桥,04-02 20:00,Ⅱ,15.4,7.52,8.05,321.6,23.6,1.65,0.064,0.070,2.00,*,*,正常
江苏省,长江流域,祥和大桥,04-03 00:00,Ⅱ,15.3,7.51,8.07,319.8,26.3,1.62,0.062,0.070,1.99,*,*,正常
江苏省,长江流域,祥和大桥,04-03 04:00,Ⅱ,15.2,7.52,7.92,317.4,22.6,1.57,0.066,0.068,1.94,*,*,正常
江苏省,长江流域,祥和大桥,04-03 08:00,Ⅱ,15.2,7.52,7.92,316.0,20.8,1.57,0.064,0.070,1.96,*,*,正常
江苏省,长江流域,祥和大桥,04-03 12:00,Ⅱ,15.2,7.51,7.88,313.8,25.5,1.65,0.064,0.071,1.94,*,*,正常
江苏省,长江流域,祥和大桥,04-03 16:00,Ⅱ,15.2,7.52,7.92,313.7,33.2,1.74,0.074,0.080,2.01,*,*,正常
江苏省,长江流域,祥和大桥,04-03 20:00,Ⅱ,15.0,7.52,7.95,313.6,32.8,1.74,0.068,0.077,2.00,*,*,正常
江苏省,长江流域,祥和大桥,04-04 00:00,Ⅱ,14.9,7.52,7.92,313.8,27.0,1.71,0.070,0.077,1.97,*,*,正常
江苏省,长江流域,祥和大桥,04-04 04:00,*,14.8,7.52,7.82,313.8,24.2,--,--,--,--,*,*,维护
江苏省,长江流域,祥和大桥,04-04 08:00,Ⅱ,14.7,7.51,7.79,314.2,29.3,1.61,0.086,0.080,2.03,*,*,正常
