省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江苏省,长江流域,节制闸,04-01 04:00,Ⅱ,16.0,7.72,8.51,302.0,32.5,1.74,0.056,0.082,2.14,*,*,正常
江苏省,长江流域,节制闸,04-01 12:00,Ⅱ,16.1,7.70,8.43,307.2,46.1,1.72,0.058,0.076,2.07,*,*,正常
江苏省,长江流域,节制闸,04-01 12:00,Ⅱ,16.1,7.70,8.43,307.2,46.1,1.86,0.078,0.079,2.22,*,*,正常
江苏省,长江流域,节制闸,04-01 16:00,Ⅱ,16.1,7.70,8.42,306.4,57.5,1.87,0.082,0.088,2.22,*,*,正常
江苏省,长江流域,节制闸,04-01 20:00,Ⅱ,16.1,7.70,8.40,306.6,49.5,2.01,0.072,0.084,2.18,*,*,正常
江苏省,长江流域,节制闸,04-02 00:00,Ⅱ,16.1,7.70,8.38,307.4,42.1,2.01,0.072,0.084,2.18,*,*,正常
江苏省,长江流域,节制闸,04-02 04:00,Ⅱ,16.0,7.70,8.42,308.5,31.6,1.71,0.072,0.074,2.09,*,*,正常
江苏省,长江流域,节制闸,04-02 08:00,Ⅱ,16.0,7.70,8.42,308.3,29.2,1.93,0.066,0.074,2.05,*,*,正常
江苏省,长江流域,节制闸,04-02 12:00,Ⅱ,16.3,7.72,8.65,309.9,32.3,1.78,0.067,0.076,2.07,*,*,正常
江苏省,长江流域,节制闸,04-02 16:00,Ⅱ,16.3,7.70,8.44,310.0,30.6,1.76,0.068,0.075,2.07,*,*,正常
江苏省,长江流域,节制闸,04-02 20:00,Ⅱ,16.2,7.70,8.40,310.0,28.9,1.75,0.066,0.077,2.12,*,*,正常
江苏省,长江流域,节制闸,04-03 00:00,Ⅱ,16.2,7.69,8.34,310.4,28.6,1.75,0.066,0.077,2.12,*,*,正常
江苏省,长江流域,节制闸,04-03 04:00,Ⅱ,16.1,7.69,8.35,311.2,31.9,1.75,0.065,0.075,2.15,*,*,正常
江苏省,长江流域,节制闸,04-03 08:00,Ⅱ,16.1,7.69,8.33,312.2,31.3,1.97,0.071,0.083,2.15,*,*,正常
江苏省,长江流域,节制闸,04-03 12:00,Ⅱ,16.1,7.70,8.35,312.8,28.4,1.78,0.070,0.076,2.16,*,*,正常
江苏省,长江流域,节制闸,04-03 16:00,Ⅱ,16.1,7.70,8.35,313.5,31.9,1.86,0.072,0.076,2.17,*,*,正常
江苏省,长江流域,节制闸,04-03 20:00,Ⅱ,16.0,7.70,8.37,314.2,32.5,1.87,0.072,0.078,2.08,*,*,正常
江苏省,长江流域,节制闸,04-04 00:00,Ⅱ,15.9,7.70,8.37,314.7,30.4,1.87,0.072,0.078,2.08,*,*,正常
江苏省,长江流域,节制闸,04-04 04:00,*,15.8,7.70,8.39,314.9,29.1,--,--,--,--,*,*,维护
江苏省,长江流域,节制闸,04-04 08:00,*,15.8,7.71,8.52,315.9,26.4,--,--,--,--,*,*,维护
江苏省,长江流域,节制闸,04-04 12:00,Ⅱ,16.3,7.73,8.71,315.1,25.9,1.83,0.063,0.072,2.01,*,*,正常
江苏省,长江流域,节制闸,04-04 16:00,Ⅱ,16.5,7.77,8.67,314.7,29.0,1.80,0.059,0.072,2.04,*,*,正常
