省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江西省,珠江流域,兴宁电站,04-01 08:00,Ⅰ,22.0,8.58,11.53,172.2,4.0,1.60,0.072,0.015,3.14,*,*,正常
江西省,珠江流域,兴宁电站,04-01 12:00,Ⅱ,22.3,8.69,12.36,173.6,4.4,2.11,0.074,0.015,3.14,*,*,正常
江西省,珠江流域,兴宁电站,04-01 12:00,Ⅱ,22.3,8.69,12.36,173.6,4.4,2.11,0.074,0.015,3.14,*,*,正常
江西省,珠江流域,兴宁电站,04-01 16:00,Ⅰ,22.2,8.54,12.22,170.7,4.5,1.90,0.081,0.016,3.18,*,*,正常
江西省,珠江流域,兴宁电站,04-01 20:00,Ⅰ,22.3,8.45,11.76,171.0,3.9,1.96,0.077,0.015,3.11,*,*,正常
江西省,珠江流域,兴宁电站,04-02 00:00,Ⅰ,22.7,8.38,11.06,173.5,3.6,1.96,0.077,0.015,3.11,*,*,正常
江西省,珠江流域,兴宁电站,04-02 04:00,Ⅰ,22.4,8.30,10.84,172.8,3.3,1.73,0.075,0.015,3.09,*,*,正常
江西省,珠江流域,兴宁电站,04-02 08:00,Ⅰ,22.5,8.36,10.88,173.2,3.3,1.75,0.074,0.014,3.08,*,*,正常
江西省,珠江流域,兴宁电站,04-02 12:00,Ⅱ,23.1,8.52,11.54,175.6,3.6,2.14,0.058,0.020,2.92,*,*,正常
江西省,珠江流域,兴宁电站,04-02 16:00,Ⅱ,23.4,8.53,11.77,175.7,4.2,2.00,0.077,0.015,2.98,*,*,正常
江西省,珠江流域,兴宁电站,04-02 20:00,Ⅰ,23.2,8.46,11.46,175.5,3.7,1.83,0.073,0.016,2.98,*,*,正常
江西省,珠江流域,兴宁电站,04-03 00:00,Ⅰ,23.2,8.24,10.60,176.1,5.4,1.83,0.073,0.016,2.98,*,*,正常
江西省,珠江流域,兴宁电站,04-03 04:00,Ⅰ,23.1,8.14,10.32,175.8,5.0,1.64,0.071,0.013,2.95,*,*,正常
江西省,珠江流域,兴宁电站,04-03 08:00,Ⅰ,23.2,8.21,10.40,176.6,3.8,1.43,0.071,0.015,2.96,*,*,正常
江西省,珠江流域,兴宁电站,04-03 12:00,Ⅰ,24.2,8.31,10.75,179.8,4.3,1.68,0.069,0.014,3.00,*,*,正常
江西省,珠江流域,兴宁电站,04-03 16:00,Ⅰ,24.8,8.58,11.38,181.3,3.9,1.84,0.074,0.014,2.98,*,*,正常
江西省,珠江流域,兴宁电站,04-03 20:00,Ⅰ,24.9,8.44,10.60,182.2,3.4,1.81,0.070,0.011,2.94,*,*,正常
江西省,珠江流域,兴宁电站,04-04 00:00,Ⅰ,23.7,8.15,9.89,178.7,14.0,1.81,0.070,0.011,2.94,*,*,正常
江西省,珠江流域,兴宁电站,04-04 04:00,*,23.4,8.11,9.73,178.5,9.7,--,--,--,--,*,*,维护
江西省,珠江流域,兴宁电站,04-04 08:00,*,23.2,8.04,9.53,177.8,11.8,1.46,--,--,3.06,*,*,维护
江西省,珠江流域,兴宁电站,04-04 12:00,Ⅰ,23.4,8.10,9.57,178.7,11.4,1.45,0.065,0.014,3.08,*,*,正常
江西省,珠江流域,兴宁电站,04-04 16:00,Ⅰ,23.9,8.20,9.74,180.6,9.5,1.60,0.064,0.014,3.05,*,*,正常
