省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江西省,长江流域,弋阳,04-01 04:00,Ⅲ,19.8,7.13,7.70,136.9,17.0,4.25,0.091,0.104,1.96,*,*,正常
江西省,长江流域,弋阳,04-01 12:00,Ⅲ,19.7,7.06,7.83,126.4,17.0,4.96,0.084,0.115,2.06,*,*,正常
江西省,长江流域,弋阳,04-01 12:00,Ⅲ,19.7,7.06,7.83,126.4,17.0,4.96,0.084,0.115,2.06,*,*,正常
江西省,长江流域,弋阳,04-01 16:00,Ⅲ,19.6,7.05,7.84,123.1,18.1,4.31,0.089,0.124,2.13,*,*,正常
江西省,长江流域,弋阳,04-01 20:00,Ⅲ,19.3,7.01,8.09,120.3,25.8,5.07,0.096,0.144,2.16,*,*,正常
江西省,长江流域,弋阳,04-02 00:00,Ⅲ,19.2,7.03,7.97,120.2,21.6,5.36,0.103,0.156,2.05,*,*,正常
江西省,长江流域,弋阳,04-02 04:00,Ⅲ,19.0,7.02,8.22,121.4,19.8,5.12,0.124,0.187,2.13,*,*,正常
江西省,长江流域,弋阳,04-02 08:00,Ⅲ,18.8,7.04,8.31,120.4,18.3,5.43,0.109,0.164,2.04,*,*,正常
江西省,长江流域,弋阳,04-02 12:00,Ⅳ,18.8,7.03,8.26,117.7,18.9,5.02,0.104,0.206,1.98,*,*,正常
江西省,长江流域,弋阳,04-02 16:00,Ⅲ,19.1,6.99,8.31,115.1,14.8,4.67,0.095,0.190,1.87,*,*,正常
江西省,长江流域,弋阳,04-02 20:00,Ⅲ,19.1,7.00,8.31,114.7,18.2,4.92,0.085,0.152,1.88,*,*,正常
江西省,长江流域,弋阳,04-03 00:00,Ⅲ,19.1,7.02,8.33,117.7,17.3,4.31,0.078,0.172,1.79,*,*,正常
江西省,长江流域,弋阳,04-03 04:00,Ⅲ,19.0,7.01,8.35,117.2,14.6,3.90,0.075,0.167,1.79,*,*,正常
江西省,长江流域,弋阳,04-03 08:00,Ⅲ,18.9,7.03,8.36,117.0,14.9,4.10,0.065,0.149,1.74,*,*,正常
江西省,长江流域,弋阳,04-03 12:00,Ⅲ,19.0,7.03,8.41,117.3,16.9,3.87,0.062,0.128,1.70,*,*,正常
江西省,长江流域,弋阳,04-03 16:00,Ⅲ,19.0,7.03,8.37,116.9,13.6,3.62,0.057,0.120,1.64,*,*,正常
江西省,长江流域,弋阳,04-03 20:00,Ⅲ,18.9,7.03,8.36,118.1,18.8,3.27,0.052,0.114,1.59,*,*,正常
江西省,长江流域,弋阳,04-04 00:00,Ⅲ,18.8,7.06,8.43,120.0,15.9,2.74,0.053,0.103,1.56,*,*,正常
江西省,长江流域,弋阳,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
