省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江西省,长江流域,湖心岛,04-01 08:00,Ⅳ,21.1,6.93,5.27,279.6,35.9,3.68,0.194,0.055,--,0.004,30288110,维护
江西省,长江流域,湖心岛,04-01 12:00,Ⅲ,20.8,7.12,7.76,285.1,35.6,3.09,0.057,0.033,1.22,0.003,30671380,正常
江西省,长江流域,湖心岛,04-01 16:00,Ⅲ,21.7,7.63,9.69,287.5,39.7,3.09,0.057,0.033,1.22,0.022,44101980,正常
江西省,长江流域,湖心岛,04-01 20:00,Ⅳ,20.4,6.92,4.41,290.8,35.8,5.06,0.246,0.082,--,0.003,30918660,维护
江西省,长江流域,湖心岛,04-02 00:00,Ⅲ,19.8,6.99,5.46,289.5,35.8,3.24,0.102,0.041,--,0.003,29992250,维护
江西省,长江流域,湖心岛,04-02 04:00,Ⅲ,20.9,7.23,7.88,292.6,43.5,3.24,0.102,0.041,--,0.012,36623020,维护
江西省,长江流域,湖心岛,04-02 08:00,Ⅳ,19.6,6.89,3.62,290.1,37.6,3.63,0.272,0.066,--,0.003,29593360,维护
江西省,长江流域,湖心岛,04-02 12:00,Ⅳ,20.1,6.94,4.73,293.0,38.8,3.23,0.133,0.043,1.20,0.004,29959070,正常
江西省,长江流域,湖心岛,04-02 16:00,Ⅲ,20.6,7.06,6.28,300.0,43.0,3.33,0.143,0.045,1.30,0.009,35359750,正常
江西省,长江流域,湖心岛,04-02 20:00,Ⅳ,20.1,7.18,7.16,308.3,42.1,3.59,0.243,0.070,0.90,0.011,31584320,正常
江西省,长江流域,湖心岛,04-03 00:00,Ⅳ,19.7,7.19,6.85,315.0,42.9,3.47,0.257,0.071,1.37,0.011,33054220,正常
江西省,长江流域,湖心岛,04-03 04:00,Ⅳ,19.5,7.23,6.96,300.8,49.9,3.47,0.257,0.071,1.37,0.010,29570580,正常
江西省,长江流域,湖心岛,04-03 08:00,Ⅳ,19.6,7.18,6.61,297.9,47.3,3.34,0.297,0.075,1.15,0.009,30440690,正常
江西省,长江流域,湖心岛,04-03 12:00,Ⅳ,19.6,7.16,6.40,296.1,53.0,3.21,0.133,0.076,1.11,0.011,32134980,正常
江西省,长江流域,湖心岛,04-03 16:00,Ⅳ,19.2,7.18,6.63,302.0,49.1,3.36,0.135,0.079,1.12,0.012,34856900,正常
江西省,长江流域,湖心岛,04-03 20:00,Ⅳ,18.7,7.17,6.62,315.1,44.7,3.55,0.129,0.085,1.22,0.010,33913040,正常
江西省,长江流域,湖心岛,04-04 00:00,Ⅳ,18.5,7.19,6.61,306.2,53.0,3.29,0.271,0.071,1.38,0.012,35187360,正常
江西省,长江流域,湖心岛,04-04 04:00,Ⅳ,18.3,7.19,8.92,306.7,51.2,3.29,0.271,0.071,1.38,0.011,33035490,正常
江西省,长江流域,湖心岛,04-04 04:00,*,18.3,7.19,8.92,306.7,51.2,--,--,--,--,0.011,33035490,维护
江西省,长江流域,湖心岛,04-04 08:00,Ⅳ,18.4,7.17,6.40,305.0,53.5,3.26,0.126,0.084,1.16,0.011,30972450,正常
江西省,长江流域,湖心岛,04-04 12:00,Ⅳ,18.6,7.16,6.38,304.6,52.4,3.14,0.130,0.086,1.20,--,36544800,维护
江西省,长江流域,湖心岛,04-04 16:00,Ⅳ,19.1,7.26,7.20,302.8,47.6,3.54,0.146,0.093,1.21,0.014,38629520,正常
江西省,长江流域,湖心岛,04-04 20:00,Ⅳ,18.6,7.25,6.92,311.6,47.8,3.28,0.136,0.082,1.31,0.012,32037130,正常
江西省,长江流域,湖心岛,04-05 00:00,Ⅳ,18.3,7.22,7.81,313.1,49.1,3.28,0.136,0.082,1.31,0.009,32757830,正常
江西省,长江流域,湖心岛,04-05 04:00,Ⅳ,18.0,7.19,6.42,310.8,49.3,3.37,0.127,0.080,1.27,0.008,29455220,正常
江西省,长江流域,湖心岛,04-05 08:00,Ⅳ,17.8,7.17,6.81,311.0,49.7,3.34,0.118,0.080,1.28,0.007,31806480,正常
