省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江西省,长江流域,超坊,04-01 08:00,Ⅱ,23.8,7.23,6.67,135.4,14.1,2.67,0.127,0.061,1.07,*,*,正常
江西省,长江流域,超坊,04-01 12:00,Ⅲ,24.1,7.42,7.86,119.5,16.5,4.01,0.168,0.062,0.96,*,*,正常
江西省,长江流域,超坊,04-01 16:00,Ⅲ,24.3,7.49,7.90,117.4,18.6,4.01,0.168,0.062,0.96,*,*,正常
江西省,长江流域,超坊,04-01 20:00,Ⅱ,23.8,7.41,7.53,110.9,18.8,3.75,0.162,0.063,0.92,*,*,正常
江西省,长江流域,超坊,04-02 00:00,Ⅱ,22.8,7.30,7.20,115.1,16.4,3.68,0.182,0.054,0.71,*,*,正常
江西省,长江流域,超坊,04-02 04:00,Ⅱ,22.4,7.29,7.23,107.9,18.7,3.68,0.182,0.054,0.71,*,*,正常
江西省,长江流域,超坊,04-02 08:00,Ⅲ,21.6,7.24,7.26,107.0,20.7,4.03,0.176,0.058,0.79,*,*,正常
江西省,长江流域,超坊,04-02 12:00,*,23.0,7.44,8.61,104.6,18.1,--,0.198,0.059,0.74,*,*,维护
江西省,长江流域,超坊,04-02 16:00,*,24.9,7.85,9.30,103.2,21.7,--,0.171,0.057,0.75,*,*,维护
江西省,长江流域,超坊,04-02 20:00,*,21.5,7.39,7.74,112.3,23.7,--,0.195,0.063,0.71,*,*,维护
江西省,长江流域,超坊,04-03 00:00,*,21.2,7.27,7.38,114.5,22.4,--,0.250,0.058,0.84,*,*,维护
江西省,长江流域,超坊,04-03 04:00,*,21.2,7.29,7.46,109.3,20.4,--,0.250,0.058,0.84,*,*,维护
江西省,长江流域,超坊,04-03 08:00,*,20.8,7.25,7.24,109.0,22.8,--,0.206,0.058,0.79,*,*,维护
江西省,长江流域,超坊,04-03 12:00,*,21.7,7.29,8.86,104.9,20.6,--,0.249,0.064,0.79,*,*,维护
江西省,长江流域,超坊,04-03 16:00,*,20.6,7.44,8.44,107.1,23.4,--,0.238,0.083,0.81,*,*,维护
江西省,长江流域,超坊,04-03 20:00,Ⅱ,19.6,7.32,8.02,110.0,22.0,2.75,0.256,0.063,0.78,*,*,正常
江西省,长江流域,超坊,04-04 00:00,Ⅱ,19.1,7.29,7.87,115.5,22.5,2.99,0.237,0.058,0.88,*,*,正常
江西省,长江流域,超坊,04-04 04:00,Ⅱ,18.7,7.31,8.04,108.3,21.7,2.99,0.237,0.058,0.88,*,*,正常
