省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江西省,长江流域,钟岭水厂,04-01 08:00,Ⅲ,21.2,7.28,8.23,121.3,64.5,2.22,0.127,0.118,1.03,*,*,正常
江西省,长江流域,钟岭水厂,04-01 12:00,Ⅲ,21.6,7.48,8.64,121.4,110.4,2.28,0.127,0.122,1.03,*,*,正常
江西省,长江流域,钟岭水厂,04-01 16:00,Ⅲ,21.5,7.37,8.32,121.4,82.1,2.28,0.127,0.122,1.03,*,*,正常
江西省,长江流域,钟岭水厂,04-01 20:00,Ⅲ,21.2,7.29,8.12,121.4,79.8,2.30,0.130,0.122,0.99,*,*,正常
江西省,长江流域,钟岭水厂,04-02 00:00,Ⅲ,21.0,7.23,7.91,121.4,56.4,2.32,0.135,0.124,0.98,*,*,正常
江西省,长江流域,钟岭水厂,04-02 04:00,Ⅲ,20.6,7.20,7.78,122.0,63.8,2.32,0.146,0.119,0.98,*,*,正常
江西省,长江流域,钟岭水厂,04-02 08:00,Ⅲ,20.4,7.16,7.66,122.6,64.7,2.24,0.149,0.120,1.00,*,*,正常
江西省,长江流域,钟岭水厂,04-02 12:00,Ⅲ,20.6,7.26,8.08,122.5,76.1,2.44,0.149,0.116,1.03,*,*,正常
江西省,长江流域,钟岭水厂,04-02 16:00,Ⅲ,20.7,7.33,8.28,122.8,82.8,2.30,0.138,0.125,1.04,*,*,正常
江西省,长江流域,钟岭水厂,04-02 20:00,Ⅲ,20.3,7.26,8.12,122.0,89.6,2.31,0.139,0.126,1.03,*,*,正常
江西省,长江流域,钟岭水厂,04-03 00:00,Ⅲ,20.0,7.21,7.95,122.3,90.1,2.25,0.143,0.122,1.03,*,*,正常
江西省,长江流域,钟岭水厂,04-03 04:00,Ⅲ,19.7,7.19,7.71,123.1,98.8,2.25,0.147,0.119,1.03,*,*,正常
江西省,长江流域,钟岭水厂,04-03 08:00,Ⅲ,19.5,7.17,7.64,123.4,85.3,2.38,0.148,0.120,0.96,*,*,正常
江西省,长江流域,钟岭水厂,04-03 12:00,Ⅲ,19.6,7.26,8.18,123.5,98.0,2.17,0.149,0.120,0.88,*,*,正常
江西省,长江流域,钟岭水厂,04-03 12:00,Ⅲ,19.6,7.26,8.18,123.5,98.0,2.47,0.143,0.120,0.94,*,*,正常
江西省,长江流域,钟岭水厂,04-03 12:00,Ⅲ,19.6,7.26,8.18,123.5,98.0,2.47,0.143,0.120,0.94,*,*,正常
江西省,长江流域,钟岭水厂,04-03 12:00,Ⅲ,19.6,7.26,8.18,123.5,98.0,2.47,0.143,0.120,0.94,*,*,正常
江西省,长江流域,钟岭水厂,04-03 12:00,Ⅲ,19.6,7.26,8.18,123.5,98.0,2.47,0.143,0.120,0.94,*,*,正常
