省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
江西省,长江流域,铅山,04-01 04:00,Ⅲ,19.3,6.67,7.93,145.8,33.4,3.50,0.057,0.106,1.84,*,*,正常
江西省,长江流域,铅山,04-01 12:00,Ⅳ,19.0,6.42,8.56,103.4,79.7,7.25,0.075,0.193,2.07,*,*,正常
江西省,长江流域,铅山,04-01 12:00,Ⅳ,19.0,6.42,8.56,103.4,79.7,7.25,0.075,0.193,2.07,*,*,正常
江西省,长江流域,铅山,04-01 16:00,Ⅳ,18.8,6.61,8.39,131.7,75.0,5.88,0.100,0.216,2.25,*,*,正常
江西省,长江流域,铅山,04-01 20:00,Ⅲ,18.8,6.53,8.48,121.6,61.7,5.20,0.088,0.186,2.29,*,*,正常
江西省,长江流域,铅山,04-02 00:00,Ⅲ,18.4,6.58,8.52,123.4,91.8,5.26,0.068,0.211,2.40,*,*,正常
江西省,长江流域,铅山,04-02 04:00,Ⅳ,18.4,6.56,8.60,122.1,79.1,5.35,0.056,0.216,2.30,*,*,正常
江西省,长江流域,铅山,04-02 08:00,Ⅳ,18.3,6.54,8.65,118.6,64.4,5.31,0.047,0.211,2.18,*,*,正常
江西省,长江流域,铅山,04-02 12:00,Ⅲ,18.6,6.55,8.66,120.0,55.8,4.82,0.044,0.188,2.12,*,*,正常
江西省,长江流域,铅山,04-02 16:00,Ⅲ,19.1,6.56,8.61,119.1,53.4,4.74,0.035,0.185,2.16,*,*,正常
江西省,长江流域,铅山,04-02 20:00,Ⅲ,18.9,6.53,8.66,117.2,41.8,4.36,0.029,0.189,2.04,*,*,正常
