省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
河北省,海河流域,26#大桥,04-01 08:00,*,10.8,8.07,7.53,1340.7,1.8,1.76,--,0.005,4.02,*,*,维护
河北省,海河流域,26#大桥,04-01 12:00,Ⅰ,11.4,8.23,9.32,1340.5,1.5,1.56,0.025,0.005,4.21,*,*,正常
河北省,海河流域,26#大桥,04-01 12:00,Ⅰ,11.4,8.23,9.32,1340.5,1.5,1.56,0.025,0.005,4.21,*,*,正常
河北省,海河流域,26#大桥,04-01 16:00,Ⅱ,12.5,8.56,11.47,1333.5,2.3,2.09,0.025,0.005,4.20,*,*,正常
河北省,海河流域,26#大桥,04-01 20:00,Ⅱ,12.5,8.53,10.79,1334.2,2.8,2.17,0.025,0.005,4.37,*,*,正常
河北省,海河流域,26#大桥,04-02 00:00,Ⅱ,12.0,8.33,9.10,1343.3,2.0,2.19,0.025,0.005,4.53,*,*,正常
河北省,海河流域,26#大桥,04-02 04:00,Ⅱ,11.4,8.09,7.55,1354.6,2.9,2.01,0.025,0.005,4.63,*,*,正常
河北省,海河流域,26#大桥,04-02 08:00,Ⅱ,11.0,8.02,7.14,1360.9,2.2,2.24,0.025,0.005,4.64,*,*,正常
河北省,海河流域,26#大桥,04-02 12:00,Ⅰ,11.3,8.15,8.48,1359.4,2.0,1.99,0.025,0.005,4.58,*,*,正常
河北省,海河流域,26#大桥,04-02 16:00,Ⅱ,11.6,8.42,10.36,1350.9,2.6,2.25,0.025,0.005,4.48,*,*,正常
河北省,海河流域,26#大桥,04-02 20:00,Ⅱ,11.6,8.43,10.15,1346.7,2.9,2.11,0.025,0.005,4.45,*,*,正常
河北省,海河流域,26#大桥,04-03 00:00,Ⅱ,11.4,8.30,8.85,1346.6,2.3,1.93,0.025,0.005,4.42,*,*,正常
河北省,海河流域,26#大桥,04-03 04:00,Ⅰ,10.8,8.09,7.55,1358.7,2.6,1.84,0.025,0.005,4.47,*,*,正常
河北省,海河流域,26#大桥,04-03 08:00,Ⅱ,10.0,8.14,8.17,1359.2,2.1,2.09,0.025,0.005,4.58,*,*,正常
河北省,海河流域,26#大桥,04-03 12:00,Ⅰ,11.0,8.34,10.09,1356.7,2.3,1.89,0.025,0.005,4.57,*,*,正常
河北省,海河流域,26#大桥,04-03 16:00,Ⅰ,12.0,8.61,11.80,1347.4,2.7,1.87,0.025,0.005,4.55,*,*,正常
河北省,海河流域,26#大桥,04-03 20:00,Ⅰ,12.6,8.65,11.13,1345.7,2.8,1.89,0.025,0.005,4.73,*,*,正常
河北省,海河流域,26#大桥,04-04 00:00,Ⅰ,11.4,8.47,9.78,1354.3,2.4,1.88,0.025,0.005,4.80,*,*,正常
河北省,海河流域,26#大桥,04-04 04:00,*,10.1,8.21,8.20,1365.6,2.3,--,--,--,--,*,*,维护
河北省,海河流域,26#大桥,04-04 08:00,Ⅰ,9.4,8.14,8.10,1371.5,1.4,1.81,0.025,0.005,4.66,*,*,正常
河北省,海河流域,26#大桥,04-04 16:00,Ⅰ,13.5,8.60,12.21,1341.7,1.9,1.45,0.025,0.005,4.51,*,*,正常
河北省,海河流域,26#大桥,04-04 20:00,Ⅰ,13.6,8.61,11.30,1334.1,2.0,1.49,0.025,0.005,4.30,*,*,正常
河北省,海河流域,26#大桥,04-05 00:00,Ⅰ,12.1,8.43,9.86,1342.7,2.7,1.57,0.025,0.005,4.19,*,*,正常
河北省,海河流域,26#大桥,04-05 00:00,Ⅰ,12.1,8.43,9.86,1342.7,2.7,1.57,0.025,0.005,4.19,*,*,正常
河北省,海河流域,26#大桥,04-05 08:00,Ⅰ,9.7,8.13,8.11,1365.6,2.0,1.52,0.025,0.005,4.28,*,*,正常
河北省,海河流域,26#大桥,04-05 12:00,Ⅰ,11.3,8.30,9.97,1359.1,1.5,1.54,0.025,0.005,4.38,*,*,正常
