省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
河北省,海河流域,兆通,04-01 08:00,Ⅰ,13.3,8.44,10.47,483.1,3.8,1.73,0.025,0.014,2.06,*,*,正常
河北省,海河流域,兆通,04-01 12:00,Ⅰ,13.7,8.51,10.75,459.8,3.6,1.77,0.025,0.009,1.87,*,*,正常
河北省,海河流域,兆通,04-01 16:00,Ⅰ,13.9,8.53,10.74,441.2,3.4,1.77,0.025,0.009,1.87,*,*,正常
河北省,海河流域,兆通,04-01 20:00,Ⅰ,13.8,8.52,10.40,406.1,3.2,1.77,0.025,0.008,1.79,*,*,正常
河北省,海河流域,兆通,04-02 00:00,Ⅰ,13.7,8.48,10.25,404.4,3.0,1.70,0.025,0.008,1.69,*,*,正常
河北省,海河流域,兆通,04-02 04:00,Ⅰ,13.7,8.47,10.16,401.8,3.2,1.70,0.025,0.008,1.69,*,*,正常
河北省,海河流域,兆通,04-02 08:00,Ⅰ,13.6,8.47,10.22,403.9,3.2,1.72,0.025,0.007,1.64,*,*,正常
河北省,海河流域,兆通,04-02 12:00,Ⅰ,13.8,8.52,10.53,397.8,3.5,1.86,0.025,0.009,1.63,*,*,正常
河北省,海河流域,兆通,04-02 16:00,Ⅰ,14.4,8.56,10.66,349.2,4.1,1.76,0.025,0.009,1.60,*,*,正常
河北省,海河流域,兆通,04-02 20:00,Ⅰ,14.1,8.56,10.32,339.4,2.4,1.78,0.025,0.008,1.43,*,*,正常
河北省,海河流域,兆通,04-03 00:00,Ⅰ,14.1,8.54,10.10,285.0,3.0,1.82,0.025,0.007,1.34,*,*,正常
河北省,海河流域,兆通,04-03 04:00,Ⅰ,14.1,8.53,10.06,286.1,3.3,1.82,0.025,0.007,1.34,*,*,正常
河北省,海河流域,兆通,04-03 08:00,Ⅰ,14.1,8.54,10.13,285.4,4.4,1.78,0.025,0.007,1.14,*,*,正常
河北省,海河流域,兆通,04-03 12:00,Ⅰ,14.2,8.60,10.54,283.3,3.6,1.79,0.025,0.008,1.13,*,*,正常
河北省,海河流域,兆通,04-03 16:00,Ⅰ,14.9,8.62,10.73,278.5,3.1,1.79,0.025,0.007,1.15,*,*,正常
河北省,海河流域,兆通,04-03 20:00,Ⅰ,14.6,8.60,10.40,281.8,4.0,1.70,0.025,0.010,1.07,*,*,正常
河北省,海河流域,兆通,04-04 00:00,Ⅰ,14.2,8.58,10.07,284.3,3.7,1.84,0.025,0.006,1.12,*,*,正常
河北省,海河流域,兆通,04-04 04:00,Ⅰ,14.1,8.56,10.05,269.8,4.3,1.84,0.025,0.006,1.12,*,*,正常
河北省,海河流域,兆通,04-04 04:00,*,14.1,8.56,10.05,269.8,4.3,--,0.025,0.010,1.20,*,*,维护
河北省,海河流域,兆通,04-04 08:00,Ⅰ,14.0,8.57,10.20,283.8,3.2,1.78,0.025,0.010,1.20,*,*,正常
河北省,海河流域,兆通,04-04 16:00,Ⅰ,15.5,8.62,10.78,278.9,3.8,1.81,0.025,0.010,1.20,*,*,正常
河北省,海河流域,兆通,04-04 20:00,Ⅰ,14.6,8.62,10.40,282.4,3.3,1.75,0.025,0.009,1.11,*,*,正常
河北省,海河流域,兆通,04-04 20:00,Ⅰ,14.6,8.62,10.40,282.4,3.3,1.85,0.025,0.006,1.14,*,*,正常
河北省,海河流域,兆通,04-05 00:00,Ⅰ,14.1,8.58,10.17,281.5,4.2,1.85,0.025,0.006,1.14,*,*,正常
