省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
河北省,海河流域,北河店,04-01 08:00,Ⅱ,13.7,8.04,8.86,530.0,7.2,3.01,0.025,0.014,4.04,*,*,正常
河北省,海河流域,北河店,04-01 12:00,Ⅱ,14.2,8.21,9.62,531.1,10.1,2.66,0.025,0.014,4.28,*,*,正常
河北省,海河流域,北河店,04-01 12:00,Ⅱ,14.2,8.21,9.62,531.1,10.1,2.66,0.025,0.014,4.28,*,*,正常
河北省,海河流域,北河店,04-01 16:00,*,14.4,8.32,12.11,529.1,14.2,--,0.025,0.014,4.28,*,*,维护
河北省,海河流域,北河店,04-01 20:00,Ⅱ,14.1,8.24,11.06,535.8,7.8,2.70,0.025,0.013,4.88,*,*,正常
河北省,海河流域,北河店,04-02 00:00,Ⅱ,14.0,8.10,9.96,542.4,7.3,2.55,0.025,0.013,4.83,*,*,正常
河北省,海河流域,北河店,04-02 04:00,Ⅱ,13.9,8.07,9.96,543.4,7.8,2.57,0.025,0.013,--,*,*,维护
河北省,海河流域,北河店,04-02 08:00,Ⅱ,14.0,8.07,10.19,543.7,10.8,2.69,0.026,0.015,--,*,*,维护
河北省,海河流域,北河店,04-02 12:00,Ⅱ,14.3,8.22,11.34,536.7,9.9,2.52,0.025,0.014,--,*,*,维护
河北省,海河流域,北河店,04-02 16:00,Ⅱ,14.6,8.31,12.22,524.2,7.3,2.53,0.025,0.014,4.08,*,*,正常
河北省,海河流域,北河店,04-02 20:00,Ⅱ,14.4,8.24,11.10,518.1,7.9,2.48,0.025,0.013,3.93,*,*,正常
河北省,海河流域,北河店,04-03 00:00,Ⅱ,14.3,8.13,10.15,514.4,7.8,2.37,0.025,0.013,3.35,*,*,正常
河北省,海河流域,北河店,04-03 04:00,Ⅱ,14.2,8.09,10.43,508.1,6.4,2.44,0.025,0.020,3.82,*,*,正常
河北省,海河流域,北河店,04-03 08:00,Ⅱ,14.2,8.08,10.29,506.2,6.6,2.36,0.025,0.014,3.98,*,*,正常
河北省,海河流域,北河店,04-03 12:00,Ⅱ,15.1,8.27,11.99,501.4,7.1,2.38,0.025,0.013,3.76,*,*,正常
河北省,海河流域,北河店,04-03 16:00,Ⅱ,15.6,8.36,12.50,495.2,7.6,2.39,0.025,0.012,3.50,*,*,正常
河北省,海河流域,北河店,04-03 20:00,Ⅱ,14.8,8.24,11.20,498.3,7.4,2.20,0.025,0.013,3.85,*,*,正常
河北省,海河流域,北河店,04-04 00:00,Ⅱ,14.3,8.10,10.18,503.1,6.5,2.20,0.025,0.013,3.52,*,*,正常
河北省,海河流域,北河店,04-04 04:00,*,14.1,8.07,9.95,503.8,6.3,--,0.025,0.013,3.72,*,*,维护
河北省,海河流域,北河店,04-04 08:00,*,13.8,8.07,10.45,504.8,6.8,--,0.025,0.013,3.72,*,*,维护
河北省,海河流域,北河店,04-04 16:00,Ⅱ,15.7,8.28,11.88,498.4,7.9,2.01,0.025,0.013,3.44,*,*,正常
河北省,海河流域,北河店,04-04 20:00,Ⅱ,15.2,8.19,10.71,498.6,7.0,2.03,0.025,0.013,3.20,*,*,正常
河北省,海河流域,北河店,04-05 00:00,Ⅱ,14.8,8.07,9.92,499.4,7.2,2.05,0.025,0.012,3.06,*,*,正常
河北省,海河流域,北河店,04-05 04:00,Ⅱ,14.6,8.01,9.58,500.3,7.2,2.05,0.025,0.012,3.06,*,*,正常
河北省,海河流域,北河店,04-05 08:00,Ⅰ,14.5,8.02,9.86,500.9,7.1,1.81,0.025,0.013,2.98,*,*,正常
河北省,海河流域,北河店,04-05 12:00,Ⅱ,15.2,8.19,11.40,497.0,8.3,2.14,0.025,0.014,3.27,*,*,正常
河北省,海河流域,北河店,04-05 16:00,Ⅱ,15.3,8.24,11.68,493.9,7.9,2.20,0.025,0.013,3.09,*,*,正常
河北省,海河流域,北河店,04-05 20:00,Ⅱ,15.0,8.12,10.29,497.8,7.0,2.05,0.025,0.013,2.85,*,*,正常
