省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
河北省,海河流域,曲周,04-01 08:00,Ⅲ,15.7,7.85,8.06,1067.6,132.4,4.61,0.205,0.123,7.78,*,*,正常
河北省,海河流域,曲周,04-01 12:00,Ⅲ,16.6,7.88,8.27,1074.0,113.5,4.38,0.193,0.122,7.52,*,*,正常
河北省,海河流域,曲周,04-01 12:00,Ⅲ,16.6,7.88,8.27,1074.0,113.5,4.38,0.193,0.122,7.52,*,*,正常
河北省,海河流域,曲周,04-01 16:00,Ⅲ,17.3,7.98,8.85,1071.1,86.9,4.41,0.171,0.120,8.08,*,*,正常
河北省,海河流域,曲周,04-01 20:00,Ⅲ,16.5,7.91,8.74,1213.8,74.0,4.86,0.233,0.125,8.60,*,*,正常
河北省,海河流域,曲周,04-02 00:00,Ⅲ,16.2,7.82,8.80,1212.0,123.8,4.56,0.206,0.137,7.50,*,*,正常
河北省,海河流域,曲周,04-02 04:00,Ⅲ,15.8,7.84,8.05,1200.5,110.4,4.72,0.166,0.142,7.26,*,*,正常
河北省,海河流域,曲周,04-02 08:00,Ⅲ,15.6,7.84,8.13,1196.6,249.9,4.76,0.127,0.151,6.94,*,*,正常
河北省,海河流域,曲周,04-02 12:00,Ⅲ,15.9,7.93,8.74,1196.4,124.6,4.62,0.119,0.130,7.06,*,*,正常
河北省,海河流域,曲周,04-02 16:00,Ⅲ,15.7,8.05,9.61,1193.0,77.2,4.84,0.106,0.126,7.55,*,*,正常
河北省,海河流域,曲周,04-02 20:00,Ⅲ,15.2,7.98,9.07,1189.2,69.2,4.52,0.112,0.123,7.32,*,*,正常
河北省,海河流域,曲周,04-03 00:00,Ⅲ,14.8,7.93,8.62,1185.6,71.9,4.65,0.114,0.124,7.10,*,*,正常
河北省,海河流域,曲周,04-03 04:00,Ⅲ,14.5,7.88,8.31,1174.1,75.7,4.44,0.139,0.123,7.28,*,*,正常
