省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
河北省,海河流域,郭家屯,04-01 04:00,Ⅳ,4.4,8.39,11.22,351.1,110.3,7.90,0.025,0.123,2.47,*,*,正常
河北省,海河流域,郭家屯,04-01 08:00,Ⅳ,3.5,8.38,11.59,358.6,90.2,7.90,0.025,0.104,2.39,*,*,正常
河北省,海河流域,郭家屯,04-01 08:00,Ⅳ,3.5,8.38,11.59,358.6,90.2,7.90,0.025,0.104,2.39,*,*,正常
河北省,海河流域,郭家屯,04-01 16:00,Ⅳ,6.6,8.42,11.03,357.7,78.2,7.07,0.025,0.088,2.39,*,*,正常
河北省,海河流域,郭家屯,04-01 20:00,Ⅳ,6.2,8.42,11.00,355.7,79.2,6.06,0.025,0.094,2.38,*,*,正常
河北省,海河流域,郭家屯,04-02 00:00,Ⅳ,5.7,8.41,11.07,355.0,83.1,6.46,0.025,0.095,2.44,*,*,正常
河北省,海河流域,郭家屯,04-02 04:00,Ⅳ,4.9,8.39,11.20,357.6,79.1,6.46,0.025,0.093,2.43,*,*,正常
河北省,海河流域,郭家屯,04-02 08:00,Ⅳ,4.3,8.39,11.40,361.0,77.3,6.71,0.025,0.093,2.44,*,*,正常
河北省,海河流域,郭家屯,04-02 12:00,Ⅳ,6.8,8.40,11.23,359.8,70.3,8.73,0.025,0.138,2.48,*,*,正常
河北省,海河流域,郭家屯,04-02 16:00,Ⅳ,8.8,8.41,10.67,356.5,82.6,7.45,0.025,0.101,2.55,*,*,正常
河北省,海河流域,郭家屯,04-02 20:00,Ⅳ,7.6,8.44,10.73,356.3,83.7,7.09,0.025,0.088,2.45,*,*,正常
河北省,海河流域,郭家屯,04-03 00:00,Ⅳ,6.0,8.43,11.02,356.4,86.5,7.91,0.025,0.104,2.52,*,*,正常
