省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
河南省,海河流域,南乐水文站,04-01 08:00,Ⅱ,16.6,7.80,9.64,1031.0,9.9,3.35,0.090,0.026,0.92,*,*,正常
河南省,海河流域,南乐水文站,04-01 12:00,Ⅱ,16.7,7.75,9.62,1035.2,9.7,3.38,0.100,0.028,1.03,*,*,正常
河南省,海河流域,南乐水文站,04-01 16:00,Ⅱ,16.6,7.75,9.45,1051.8,9.0,3.38,0.100,0.028,1.03,*,*,正常
河南省,海河流域,南乐水文站,04-01 20:00,Ⅱ,17.0,7.70,8.59,1246.7,13.6,3.35,0.080,0.052,0.91,*,*,正常
河南省,海河流域,南乐水文站,04-02 00:00,Ⅱ,17.2,7.58,8.46,1462.0,20.1,3.41,0.080,0.044,0.78,*,*,正常
河南省,海河流域,南乐水文站,04-02 04:00,Ⅱ,17.2,7.49,8.48,1490.1,15.7,3.41,0.080,0.044,0.78,*,*,正常
河南省,海河流域,南乐水文站,04-02 08:00,Ⅱ,17.4,7.49,9.85,1508.3,11.9,3.45,0.080,0.052,1.18,*,*,正常
河南省,海河流域,南乐水文站,04-02 12:00,Ⅱ,17.2,7.51,9.87,1461.5,11.4,3.41,0.130,0.041,1.41,*,*,正常
河南省,海河流域,南乐水文站,04-02 16:00,Ⅱ,17.4,7.55,9.85,1427.7,10.5,3.48,0.100,0.040,2.33,*,*,正常
河南省,海河流域,南乐水文站,04-02 20:00,Ⅱ,17.1,7.58,9.85,1433.0,10.6,3.45,0.070,0.036,1.70,*,*,正常
河南省,海河流域,南乐水文站,04-03 00:00,Ⅱ,16.9,7.57,8.65,1321.0,9.9,3.52,0.110,0.039,1.65,*,*,正常
河南省,海河流域,南乐水文站,04-03 04:00,Ⅱ,16.9,7.60,8.50,1191.3,10.2,3.52,0.110,0.039,1.65,*,*,正常
