省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
河南省,海河流域,濮阳西水坡,04-01 08:00,Ⅱ,14.2,8.48,10.76,884.6,12.4,2.62,0.025,0.017,3.03,*,*,正常
河南省,海河流域,濮阳西水坡,04-01 12:00,Ⅱ,15.3,8.49,11.28,879.2,13.1,2.57,0.026,0.012,2.95,*,*,正常
河南省,海河流域,濮阳西水坡,04-01 12:00,Ⅱ,15.3,8.49,11.28,879.2,13.1,2.57,0.026,0.012,2.95,*,*,正常
河南省,海河流域,濮阳西水坡,04-01 16:00,Ⅱ,15.6,8.43,10.57,879.6,13.8,2.35,0.028,0.013,2.91,*,*,正常
河南省,海河流域,濮阳西水坡,04-01 20:00,Ⅱ,14.4,8.35,9.36,885.4,14.6,2.57,0.028,0.015,2.91,*,*,正常
河南省,海河流域,濮阳西水坡,04-02 00:00,Ⅱ,14.4,8.41,9.83,885.2,13.9,2.59,0.025,0.016,2.91,*,*,正常
河南省,海河流域,濮阳西水坡,04-02 04:00,Ⅱ,14.1,8.44,9.91,888.0,31.7,2.86,0.025,0.025,3.01,*,*,正常
河南省,海河流域,濮阳西水坡,04-02 08:00,Ⅲ,14.0,8.47,10.16,888.7,199.8,4.38,0.025,0.080,3.01,*,*,正常
河南省,海河流域,濮阳西水坡,04-02 12:00,Ⅱ,14.8,8.52,10.36,884.9,145.6,3.62,0.025,0.063,3.50,*,*,正常
河南省,海河流域,濮阳西水坡,04-02 16:00,Ⅱ,14.4,8.47,10.43,888.0,30.4,2.85,0.025,0.026,2.96,*,*,正常
河南省,海河流域,濮阳西水坡,04-02 20:00,Ⅱ,14.0,8.45,10.20,890.3,23.8,2.59,0.025,0.020,3.00,*,*,正常
河南省,海河流域,濮阳西水坡,04-03 00:00,Ⅱ,13.8,8.44,10.13,889.9,25.8,2.81,0.025,0.019,2.94,*,*,正常
河南省,海河流域,濮阳西水坡,04-03 04:00,Ⅱ,13.7,8.42,9.99,891.1,28.9,2.60,0.025,0.022,2.94,*,*,正常
河南省,海河流域,濮阳西水坡,04-03 08:00,Ⅱ,13.6,8.38,9.92,891.3,27.0,2.59,0.025,0.019,2.94,*,*,正常
河南省,海河流域,濮阳西水坡,04-03 12:00,Ⅱ,13.6,8.41,10.17,893.7,32.5,2.60,0.025,0.019,2.98,*,*,正常
河南省,海河流域,濮阳西水坡,04-03 16:00,Ⅱ,13.6,8.43,10.35,893.0,30.1,2.59,0.025,0.019,2.96,*,*,正常
河南省,海河流域,濮阳西水坡,04-03 20:00,Ⅱ,13.3,8.41,10.16,894.0,27.3,2.59,0.025,0.020,2.96,*,*,正常
河南省,海河流域,濮阳西水坡,04-04 00:00,Ⅱ,13.1,8.40,10.04,895.6,24.9,2.59,0.025,0.020,2.96,*,*,正常
河南省,海河流域,濮阳西水坡,04-04 04:00,Ⅱ,12.9,8.37,9.86,896.9,24.9,2.60,0.025,0.017,--,*,*,维护
河南省,海河流域,濮阳西水坡,04-04 08:00,Ⅱ,13.1,8.38,9.80,896.7,27.1,2.59,0.025,0.019,3.00,*,*,正常
