省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
河南省,淮河流域,板桥水库,04-01 04:00,Ⅱ,12.4,7.59,8.92,281.0,7.1,2.72,0.129,0.013,0.85,*,*,正常
河南省,淮河流域,板桥水库,04-01 12:00,Ⅱ,12.5,7.62,9.13,280.8,7.4,2.79,0.128,0.012,0.79,*,*,正常
河南省,淮河流域,板桥水库,04-01 12:00,Ⅱ,12.5,7.62,9.13,280.8,7.4,2.79,0.128,0.012,0.79,*,*,正常
河南省,淮河流域,板桥水库,04-01 16:00,Ⅱ,12.5,7.63,9.18,280.8,6.8,2.84,0.126,0.014,0.85,*,*,正常
河南省,淮河流域,板桥水库,04-01 20:00,Ⅱ,12.5,7.61,9.00,280.7,6.7,2.84,0.123,0.012,0.85,*,*,正常
河南省,淮河流域,板桥水库,04-02 00:00,Ⅱ,12.5,7.61,8.95,280.7,6.7,2.84,0.123,0.012,0.85,*,*,正常
河南省,淮河流域,板桥水库,04-02 04:00,*,12.5,7.60,8.93,280.8,6.8,--,0.124,0.012,0.84,*,*,维护
河南省,淮河流域,板桥水库,04-02 08:00,*,12.5,7.62,8.90,280.6,6.8,--,0.126,0.012,0.86,*,*,维护
河南省,淮河流域,板桥水库,04-02 12:00,Ⅱ,12.6,7.65,9.09,280.9,8.4,2.77,0.121,0.013,0.84,*,*,正常
河南省,淮河流域,板桥水库,04-02 16:00,Ⅱ,12.6,7.70,9.34,280.4,6.3,2.85,0.114,0.012,0.82,*,*,正常
河南省,淮河流域,板桥水库,04-02 20:00,Ⅱ,12.6,7.66,9.09,280.9,6.3,2.76,0.117,0.011,0.85,*,*,正常
