省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
河南省,淮河流域,白龟山水库,04-01 08:00,Ⅱ,13.5,8.28,9.92,480.2,1.0,2.43,0.031,0.005,0.76,0.008,913967,正常
河南省,淮河流域,白龟山水库,04-01 12:00,Ⅱ,13.4,8.28,10.03,479.5,1.0,2.28,0.025,0.005,0.75,0.013,984941,正常
河南省,淮河流域,白龟山水库,04-01 12:00,Ⅱ,13.4,8.28,10.03,479.5,1.0,2.28,0.025,0.005,0.75,0.013,984941,正常
河南省,淮河流域,白龟山水库,04-01 20:00,Ⅱ,14.4,8.30,9.81,489.1,2.8,2.35,0.028,0.005,0.79,0.014,968474,正常
河南省,淮河流域,白龟山水库,04-02 00:00,Ⅱ,14.4,8.28,9.71,489.7,1.2,2.46,0.033,0.006,0.82,0.029,931434,正常
河南省,淮河流域,白龟山水库,04-02 00:00,Ⅱ,14.4,8.28,9.71,489.7,1.2,2.46,0.031,0.006,0.83,0.029,931434,正常
河南省,淮河流域,白龟山水库,04-02 04:00,Ⅱ,14.2,8.28,9.68,487.8,1.2,2.46,0.030,0.006,0.79,0.014,890840,正常
河南省,淮河流域,白龟山水库,04-02 08:00,Ⅱ,14.3,8.29,9.72,488.5,1.2,2.49,0.032,0.006,0.88,0.021,966409,正常
河南省,淮河流域,白龟山水库,04-02 16:00,Ⅱ,14.3,8.31,9.87,487.9,1.8,2.42,0.031,0.005,0.84,0.012,967225,正常
河南省,淮河流域,白龟山水库,04-02 20:00,Ⅱ,14.2,8.29,9.71,487.6,1.5,2.50,0.030,0.006,0.78,0.012,890136,正常
河南省,淮河流域,白龟山水库,04-02 20:00,Ⅱ,14.2,8.29,9.71,487.6,1.5,2.28,0.035,0.006,0.81,0.012,890136,正常
河南省,淮河流域,白龟山水库,04-03 00:00,Ⅱ,14.1,8.27,9.58,487.6,1.4,2.46,0.032,0.006,0.78,0.059,889281,正常
河南省,淮河流域,白龟山水库,04-03 04:00,Ⅱ,14.0,8.27,9.62,487.7,2.3,2.36,0.033,0.006,0.79,0.012,961997,正常
河南省,淮河流域,白龟山水库,04-03 08:00,Ⅱ,14.0,8.26,9.53,488.2,1.3,2.45,0.035,0.006,0.87,0.011,961451,正常
河南省,淮河流域,白龟山水库,04-03 16:00,Ⅱ,13.9,8.27,9.62,486.2,1.2,2.36,0.031,0.006,0.82,0.010,885703,正常
