省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
河南省,淮河流域,西华址坊,04-01 08:00,Ⅳ,16.7,8.70,13.02,894.6,12.3,6.12,0.080,0.049,1.70,*,*,正常
河南省,淮河流域,西华址坊,04-01 12:00,Ⅳ,16.7,8.70,11.52,925.3,17.5,6.31,0.080,0.061,1.42,*,*,正常
河南省,淮河流域,西华址坊,04-01 12:00,Ⅳ,16.7,8.70,11.52,925.3,17.5,6.31,0.080,0.061,1.42,*,*,正常
河南省,淮河流域,西华址坊,04-01 16:00,Ⅲ,16.9,8.56,10.31,979.3,17.2,5.66,0.080,0.077,1.61,*,*,正常
河南省,淮河流域,西华址坊,04-01 20:00,Ⅲ,16.8,8.52,9.85,989.7,13.0,5.38,0.080,0.076,1.95,*,*,正常
河南省,淮河流域,西华址坊,04-02 00:00,Ⅲ,16.7,8.49,9.58,995.1,11.5,5.38,0.080,0.076,1.95,*,*,正常
河南省,淮河流域,西华址坊,04-02 04:00,Ⅲ,16.6,8.48,9.28,993.9,11.1,5.35,0.100,0.080,2.16,*,*,正常
河南省,淮河流域,西华址坊,04-02 08:00,Ⅲ,16.5,8.44,9.16,995.7,11.0,5.72,0.100,0.084,2.28,*,*,正常
河南省,淮河流域,西华址坊,04-02 12:00,Ⅲ,16.4,8.43,9.19,985.8,11.1,5.84,0.110,0.094,1.87,*,*,正常
河南省,淮河流域,西华址坊,04-02 16:00,Ⅲ,16.4,8.41,9.06,961.6,11.4,5.50,0.110,0.095,1.77,*,*,正常
河南省,淮河流域,西华址坊,04-02 20:00,Ⅲ,16.0,8.35,8.47,947.9,13.9,5.07,0.110,0.094,1.54,*,*,正常
河南省,淮河流域,西华址坊,04-03 00:00,Ⅲ,15.5,8.21,7.94,950.4,12.2,5.07,0.110,0.094,1.54,*,*,正常
河南省,淮河流域,西华址坊,04-03 04:00,Ⅲ,15.0,8.11,7.42,952.2,12.8,5.18,0.110,0.092,2.04,*,*,正常
河南省,淮河流域,西华址坊,04-03 08:00,Ⅳ,14.7,8.04,7.54,921.6,11.7,6.05,0.110,0.092,1.85,*,*,正常
河南省,淮河流域,西华址坊,04-03 12:00,Ⅲ,14.8,8.08,8.09,896.2,10.7,5.79,0.110,0.096,1.31,*,*,正常
