省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
河南省,黄河流域,七里铺,04-01 08:00,Ⅲ,15.4,8.02,6.81,952.7,19.0,5.28,0.415,0.082,5.52,*,*,正常
河南省,黄河流域,七里铺,04-01 12:00,Ⅳ,15.5,8.17,8.49,949.0,18.8,6.37,0.390,0.094,5.63,*,*,正常
河南省,黄河流域,七里铺,04-01 12:00,Ⅳ,15.5,8.17,8.49,949.0,18.8,6.37,0.390,0.094,5.63,*,*,正常
河南省,黄河流域,七里铺,04-01 16:00,Ⅳ,15.6,8.26,9.20,957.0,19.5,6.48,0.379,0.094,5.54,*,*,正常
河南省,黄河流域,七里铺,04-01 20:00,Ⅲ,15.5,8.12,7.79,992.1,20.8,5.69,0.451,0.086,5.47,*,*,正常
河南省,黄河流域,七里铺,04-02 00:00,Ⅲ,15.2,8.05,7.04,980.9,22.8,5.34,0.429,0.096,5.62,*,*,正常
河南省,黄河流域,七里铺,04-02 04:00,Ⅲ,15.0,7.99,6.67,983.2,21.7,5.41,0.486,0.087,5.78,*,*,正常
河南省,黄河流域,七里铺,04-02 08:00,Ⅲ,14.9,7.95,6.44,990.9,23.1,5.13,0.538,0.090,5.74,*,*,正常
河南省,黄河流域,七里铺,04-02 12:00,Ⅳ,15.1,8.19,8.97,995.2,16.6,6.49,0.477,0.132,5.78,*,*,正常
河南省,黄河流域,七里铺,04-02 16:00,Ⅲ,15.0,8.04,7.42,1010.8,18.8,5.32,0.544,0.091,5.68,*,*,正常
河南省,黄河流域,七里铺,04-02 20:00,Ⅲ,14.9,8.04,7.24,1012.8,19.5,5.29,0.556,0.096,5.37,*,*,正常
河南省,黄河流域,七里铺,04-03 00:00,Ⅲ,14.9,7.97,6.92,1002.7,19.0,5.29,0.592,0.096,5.37,*,*,正常
河南省,黄河流域,七里铺,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
河南省,黄河流域,七里铺,04-03 08:00,Ⅲ,14.8,7.94,6.73,1003.0,18.6,5.29,0.659,0.100,5.82,*,*,正常
河南省,黄河流域,七里铺,04-03 12:00,Ⅲ,14.9,8.01,7.22,993.1,19.7,5.75,0.651,0.104,5.70,*,*,正常
河南省,黄河流域,七里铺,04-03 16:00,Ⅲ,14.9,8.00,7.20,979.3,20.5,5.27,0.703,0.104,5.78,*,*,正常
河南省,黄河流域,七里铺,04-03 20:00,Ⅲ,14.8,7.95,6.76,975.2,21.9,5.08,0.670,0.109,6.08,*,*,正常
河南省,黄河流域,七里铺,04-04 00:00,Ⅲ,14.6,7.95,6.52,967.0,20.9,5.08,0.670,0.109,6.08,*,*,正常
河南省,黄河流域,七里铺,04-04 04:00,*,14.3,7.95,6.59,967.6,20.0,--,0.801,--,--,*,*,维护
河南省,黄河流域,七里铺,04-04 08:00,Ⅲ,14.3,7.98,6.95,967.0,18.7,5.35,0.758,0.102,5.75,*,*,正常
