省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
浙江省,太湖流域,乌镇北,04-01 04:00,Ⅲ,17.4,7.47,6.47,556.2,176.6,4.82,0.289,0.152,5.39,*,*,正常
浙江省,太湖流域,乌镇北,04-01 12:00,Ⅲ,17.3,7.45,6.31,568.3,197.0,5.30,0.292,0.160,5.68,*,*,正常
浙江省,太湖流域,乌镇北,04-01 12:00,Ⅲ,17.3,7.45,6.31,568.3,197.0,5.30,0.292,0.160,5.68,*,*,正常
浙江省,太湖流域,乌镇北,04-01 16:00,Ⅲ,17.4,7.45,6.33,572.0,167.4,4.92,0.286,0.135,5.32,*,*,正常
浙江省,太湖流域,乌镇北,04-01 20:00,Ⅲ,17.4,7.45,6.28,571.8,165.9,4.87,0.290,0.142,5.35,*,*,正常
浙江省,太湖流域,乌镇北,04-02 00:00,Ⅲ,17.4,7.45,6.19,570.2,198.7,5.04,0.301,0.149,5.56,*,*,正常
浙江省,太湖流域,乌镇北,04-02 04:00,Ⅲ,17.3,7.44,6.10,575.7,169.9,4.72,0.294,0.134,5.31,*,*,正常
浙江省,太湖流域,乌镇北,04-02 08:00,Ⅲ,17.3,7.43,6.04,579.3,140.8,4.38,0.294,0.127,5.15,*,*,正常
浙江省,太湖流域,乌镇北,04-02 12:00,Ⅲ,17.6,7.54,5.98,577.8,163.3,4.98,0.288,0.152,5.37,*,*,正常
浙江省,太湖流域,乌镇北,04-02 16:00,Ⅲ,17.6,7.57,6.09,576.7,160.9,4.84,0.306,0.145,5.32,*,*,正常
浙江省,太湖流域,乌镇北,04-02 20:00,Ⅲ,17.5,7.57,6.04,577.4,167.7,4.96,0.289,0.144,5.33,*,*,正常
浙江省,太湖流域,乌镇北,04-03 00:00,Ⅲ,17.5,7.57,5.93,570.1,143.6,4.48,0.284,0.124,5.17,*,*,正常
浙江省,太湖流域,乌镇北,04-03 04:00,Ⅲ,17.5,7.56,5.85,567.6,162.6,4.62,0.300,0.124,5.25,*,*,正常
浙江省,太湖流域,乌镇北,04-03 08:00,Ⅲ,17.4,7.55,5.77,562.4,162.4,4.77,0.298,0.132,5.25,*,*,正常
浙江省,太湖流域,乌镇北,04-03 12:00,Ⅲ,17.4,7.55,5.87,555.3,148.9,4.70,0.283,0.123,5.21,*,*,正常
浙江省,太湖流域,乌镇北,04-03 16:00,Ⅲ,17.4,7.55,5.93,544.8,167.6,5.04,0.294,0.138,5.36,*,*,正常
浙江省,太湖流域,乌镇北,04-03 20:00,Ⅲ,17.3,7.56,5.92,546.4,165.0,4.71,0.283,0.151,5.38,*,*,正常
浙江省,太湖流域,乌镇北,04-04 00:00,Ⅲ,17.2,7.56,5.91,551.5,164.2,4.81,0.267,0.139,5.34,*,*,正常
浙江省,太湖流域,乌镇北,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
浙江省,太湖流域,乌镇北,04-04 08:00,Ⅲ,17.0,7.56,5.86,545.8,148.9,4.55,0.280,0.139,5.26,*,*,正常
浙江省,太湖流域,乌镇北,04-04 12:00,Ⅲ,17.1,7.56,5.95,531.4,146.4,4.40,0.281,0.127,5.25,*,*,正常
浙江省,太湖流域,乌镇北,04-04 16:00,Ⅲ,17.3,7.57,5.99,526.1,139.8,4.22,0.266,0.126,5.18,*,*,正常
