省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
浙江省,太湖流域,城南翻水站,04-01 08:00,Ⅱ,17.4,7.21,6.73,345.2,16.0,2.49,0.111,0.036,3.05,*,*,正常
浙江省,太湖流域,城南翻水站,04-01 12:00,Ⅱ,17.5,7.21,7.36,345.1,11.3,1.91,0.100,0.030,2.94,*,*,正常
浙江省,太湖流域,城南翻水站,04-01 12:00,Ⅱ,17.5,7.21,7.36,345.1,11.3,1.91,0.100,0.030,2.94,*,*,正常
浙江省,太湖流域,城南翻水站,04-01 16:00,Ⅱ,17.4,7.27,7.39,344.6,13.4,2.23,0.105,0.030,2.94,*,*,正常
浙江省,太湖流域,城南翻水站,04-01 20:00,Ⅱ,17.1,7.24,7.12,347.0,15.5,2.31,0.113,0.033,2.97,*,*,正常
浙江省,太湖流域,城南翻水站,04-02 00:00,Ⅱ,17.0,7.15,6.42,349.8,11.9,2.13,0.123,0.030,3.02,*,*,正常
浙江省,太湖流域,城南翻水站,04-02 04:00,Ⅲ,16.9,7.10,6.00,344.2,11.4,2.09,0.136,0.033,3.08,*,*,正常
浙江省,太湖流域,城南翻水站,04-02 08:00,Ⅲ,16.9,7.08,5.93,345.2,14.2,1.94,0.145,0.035,3.01,*,*,正常
浙江省,太湖流域,城南翻水站,04-02 12:00,Ⅱ,17.5,7.12,6.51,343.6,12.1,2.22,0.139,0.033,3.05,*,*,正常
浙江省,太湖流域,城南翻水站,04-02 16:00,Ⅱ,17.8,7.15,6.71,338.7,11.2,2.29,0.132,0.033,3.04,*,*,正常
浙江省,太湖流域,城南翻水站,04-02 20:00,Ⅱ,17.6,7.11,6.38,335.4,12.0,2.38,0.123,0.035,3.00,*,*,正常
浙江省,太湖流域,城南翻水站,04-03 00:00,Ⅱ,17.8,7.09,6.42,340.1,11.9,1.86,0.117,0.034,3.08,*,*,正常
浙江省,太湖流域,城南翻水站,04-03 04:00,Ⅱ,17.8,7.09,6.04,351.7,11.7,2.13,0.116,0.033,3.08,*,*,正常
浙江省,太湖流域,城南翻水站,04-03 08:00,Ⅲ,17.7,7.05,5.84,328.8,13.5,1.91,0.127,0.039,3.15,*,*,正常
浙江省,太湖流域,城南翻水站,04-03 12:00,Ⅱ,18.0,7.08,6.38,331.6,11.6,2.34,0.136,0.036,3.12,*,*,正常
浙江省,太湖流域,城南翻水站,04-03 16:00,Ⅱ,17.8,7.06,6.00,335.4,19.3,2.42,0.171,0.044,3.23,*,*,正常
浙江省,太湖流域,城南翻水站,04-03 20:00,Ⅲ,17.5,7.06,5.94,334.2,16.4,2.19,0.159,0.040,3.18,*,*,正常
浙江省,太湖流域,城南翻水站,04-04 00:00,Ⅲ,17.3,7.07,6.19,332.7,12.8,2.38,0.135,0.037,3.14,*,*,正常
浙江省,太湖流域,城南翻水站,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
浙江省,太湖流域,城南翻水站,04-04 08:00,Ⅱ,17.0,7.12,6.45,368.4,12.1,2.06,0.112,0.039,2.75,*,*,正常
浙江省,太湖流域,城南翻水站,04-04 12:00,Ⅱ,17.6,7.16,6.94,377.7,16.1,1.97,0.104,0.040,3.11,*,*,正常
浙江省,太湖流域,城南翻水站,04-04 16:00,Ⅱ,17.9,7.18,7.08,340.9,18.7,2.17,0.100,0.041,3.11,*,*,正常
浙江省,太湖流域,城南翻水站,04-04 20:00,Ⅱ,17.2,7.14,6.98,309.0,18.1,1.94,0.101,0.040,3.06,*,*,正常
浙江省,太湖流域,城南翻水站,04-04 20:00,Ⅱ,17.2,7.14,6.98,309.0,18.1,1.94,0.101,0.040,3.06,*,*,正常
浙江省,太湖流域,城南翻水站,04-05 04:00,Ⅱ,16.9,7.05,6.33,329.8,13.8,1.87,0.134,0.040,3.35,*,*,正常
浙江省,太湖流域,城南翻水站,04-05 08:00,Ⅱ,16.9,7.11,6.62,335.7,12.6,2.22,0.113,0.040,3.27,*,*,正常
