省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
浙江省,太湖流域,王江泾,04-01 04:00,Ⅳ,18.7,7.08,3.37,744.4,29.5,6.30,0.599,0.069,4.44,*,*,正常
浙江省,太湖流域,王江泾,04-01 12:00,Ⅳ,19.1,7.20,4.83,751.8,39.1,5.16,0.249,0.063,4.00,*,*,正常
浙江省,太湖流域,王江泾,04-01 12:00,Ⅳ,19.1,7.20,4.83,751.8,39.1,5.16,0.249,0.063,4.00,*,*,正常
浙江省,太湖流域,王江泾,04-01 16:00,劣Ⅴ,19.0,7.09,1.97,765.9,28.1,5.77,0.654,0.058,4.46,*,*,正常
浙江省,太湖流域,王江泾,04-01 20:00,Ⅳ,19.0,7.07,3.91,792.3,29.8,6.11,0.575,0.062,4.46,*,*,正常
浙江省,太湖流域,王江泾,04-02 00:00,Ⅳ,19.0,7.23,5.52,860.2,33.9,5.39,0.325,0.052,3.96,*,*,正常
浙江省,太湖流域,王江泾,04-02 04:00,劣Ⅴ,18.9,7.08,1.39,807.9,23.5,5.77,0.823,0.061,4.42,*,*,正常
浙江省,太湖流域,王江泾,04-02 08:00,劣Ⅴ,18.8,7.07,1.97,796.5,26.5,5.59,0.714,0.058,4.40,*,*,正常
浙江省,太湖流域,王江泾,04-02 12:00,Ⅲ,19.2,7.18,5.98,884.8,34.3,5.48,0.391,0.058,4.04,*,*,正常
浙江省,太湖流域,王江泾,04-02 16:00,Ⅲ,19.4,7.18,5.86,785.1,37.4,5.37,0.280,0.060,4.00,*,*,正常
浙江省,太湖流域,王江泾,04-02 20:00,Ⅳ,19.4,7.07,4.12,825.8,37.3,6.15,0.480,0.066,4.38,*,*,正常
浙江省,太湖流域,王江泾,04-03 00:00,Ⅳ,19.2,7.12,3.87,802.4,33.8,5.49,0.393,0.058,4.19,*,*,正常
浙江省,太湖流域,王江泾,04-03 04:00,Ⅳ,19.1,7.13,4.18,791.6,34.7,5.46,0.335,0.056,4.10,*,*,正常
浙江省,太湖流域,王江泾,04-03 08:00,Ⅴ,19.1,7.08,2.11,778.7,33.3,5.71,0.563,0.070,4.29,*,*,正常
浙江省,太湖流域,王江泾,04-03 12:00,Ⅳ,19.2,7.21,4.88,791.4,39.6,5.28,0.253,0.064,4.70,*,*,正常
浙江省,太湖流域,王江泾,04-03 16:00,Ⅴ,19.2,7.21,2.81,870.0,42.2,6.08,0.502,0.079,4.09,*,*,正常
浙江省,太湖流域,王江泾,04-03 20:00,Ⅲ,18.9,7.23,6.89,753.4,42.6,5.43,0.198,0.080,3.82,*,*,正常
浙江省,太湖流域,王江泾,04-04 00:00,Ⅲ,18.7,7.26,5.79,811.7,41.0,5.49,0.248,0.075,3.71,*,*,正常
