省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
浙江省,浙闽片河流,东迹渡,04-01 04:00,Ⅱ,16.2,7.49,6.68,42.3,27.0,1.45,0.059,0.031,1.05,*,*,正常
浙江省,浙闽片河流,东迹渡,04-01 12:00,Ⅱ,16.3,7.51,6.77,43.2,22.2,1.62,0.040,0.024,1.00,*,*,正常
浙江省,浙闽片河流,东迹渡,04-01 12:00,Ⅱ,16.3,7.51,6.77,43.2,22.2,1.62,0.040,0.024,1.00,*,*,正常
浙江省,浙闽片河流,东迹渡,04-01 16:00,Ⅱ,16.7,7.51,6.72,43.3,17.1,1.30,0.037,0.015,1.00,*,*,正常
浙江省,浙闽片河流,东迹渡,04-01 20:00,Ⅱ,17.0,7.52,6.75,47.0,16.6,1.32,0.038,0.013,1.05,*,*,正常
浙江省,浙闽片河流,东迹渡,04-02 00:00,Ⅱ,16.6,7.49,6.73,41.4,15.5,1.01,0.027,0.010,0.92,*,*,正常
浙江省,浙闽片河流,东迹渡,04-02 04:00,Ⅱ,16.3,7.50,6.71,42.4,13.6,1.37,0.025,0.005,0.88,*,*,正常
浙江省,浙闽片河流,东迹渡,04-02 08:00,Ⅱ,16.3,7.49,6.73,44.1,13.3,1.10,0.025,0.005,0.90,*,*,正常
浙江省,浙闽片河流,东迹渡,04-02 12:00,Ⅱ,16.4,7.48,6.95,41.4,16.7,1.34,0.026,0.013,0.91,*,*,正常
浙江省,浙闽片河流,东迹渡,04-02 16:00,Ⅱ,16.7,7.51,6.97,39.5,14.8,0.90,0.025,0.010,0.89,*,*,正常
浙江省,浙闽片河流,东迹渡,04-02 20:00,Ⅱ,16.9,7.50,6.85,40.9,14.4,1.28,0.025,0.006,0.88,*,*,正常
浙江省,浙闽片河流,东迹渡,04-03 00:00,Ⅱ,16.9,7.49,6.71,40.4,14.0,0.99,0.025,0.006,0.81,*,*,正常
浙江省,浙闽片河流,东迹渡,04-03 04:00,Ⅱ,16.7,7.46,6.70,40.2,14.1,1.01,0.025,0.005,0.87,*,*,正常
浙江省,浙闽片河流,东迹渡,04-03 08:00,Ⅱ,16.4,7.46,6.71,43.3,14.6,0.80,0.025,0.006,0.90,*,*,正常
