省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
浙江省,浙闽片河流,汤曹汇合口,04-01 04:00,Ⅱ,18.2,7.18,7.17,209.0,23.4,2.35,0.200,0.081,4.09,*,*,正常
浙江省,浙闽片河流,汤曹汇合口,04-01 12:00,Ⅱ,18.9,7.22,7.20,217.3,23.5,2.34,0.183,0.078,4.05,*,*,正常
浙江省,浙闽片河流,汤曹汇合口,04-01 12:00,Ⅱ,18.9,7.22,7.20,217.3,23.5,2.34,0.183,0.078,4.05,*,*,正常
浙江省,浙闽片河流,汤曹汇合口,04-01 16:00,Ⅱ,19.2,7.24,7.33,212.1,23.8,2.44,0.175,0.074,3.92,*,*,正常
浙江省,浙闽片河流,汤曹汇合口,04-01 20:00,Ⅱ,19.1,7.18,6.80,210.0,23.0,2.47,0.179,0.078,3.92,*,*,正常
浙江省,浙闽片河流,汤曹汇合口,04-02 00:00,Ⅱ,19.2,7.18,7.10,207.1,25.0,2.96,0.175,0.072,3.71,*,*,正常
浙江省,浙闽片河流,汤曹汇合口,04-02 04:00,Ⅱ,19.2,7.14,6.77,202.6,23.3,2.66,0.166,0.072,3.90,*,*,正常
浙江省,浙闽片河流,汤曹汇合口,04-02 08:00,Ⅱ,19.3,7.15,6.84,197.0,23.8,2.48,0.251,0.076,3.78,*,*,正常
浙江省,浙闽片河流,汤曹汇合口,04-02 12:00,Ⅱ,19.7,7.20,6.55,196.2,23.5,2.37,0.162,0.072,3.71,*,*,正常
浙江省,浙闽片河流,汤曹汇合口,04-02 16:00,Ⅱ,20.4,7.21,6.49,197.4,25.2,2.67,0.149,0.077,3.74,*,*,正常
浙江省,浙闽片河流,汤曹汇合口,04-02 20:00,Ⅱ,19.8,7.18,6.68,196.2,25.1,2.31,0.166,0.080,3.56,*,*,正常
浙江省,浙闽片河流,汤曹汇合口,04-03 00:00,Ⅱ,19.6,7.13,6.32,195.1,25.2,2.94,0.175,0.080,3.69,*,*,正常
浙江省,浙闽片河流,汤曹汇合口,04-03 04:00,Ⅱ,19.5,7.15,6.60,192.2,25.0,2.48,0.175,0.081,3.77,*,*,正常
浙江省,浙闽片河流,汤曹汇合口,04-03 08:00,Ⅱ,19.4,7.15,6.63,188.3,26.8,2.58,0.269,0.081,3.64,*,*,正常
浙江省,浙闽片河流,汤曹汇合口,04-03 12:00,Ⅱ,19.4,7.17,6.72,187.7,27.8,2.61,0.179,0.079,3.68,*,*,正常
