省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
浙江省,浙闽片河流,浦阳江出口,04-01 08:00,Ⅱ,18.0,6.96,9.72,272.4,12.1,1.50,0.218,0.064,2.21,*,*,正常
浙江省,浙闽片河流,浦阳江出口,04-01 12:00,Ⅱ,21.5,6.72,8.35,287.8,10.5,1.60,0.213,0.064,2.22,*,*,正常
浙江省,浙闽片河流,浦阳江出口,04-01 16:00,Ⅱ,20.2,6.87,9.15,343.8,20.3,1.30,0.213,0.062,2.25,*,*,正常
浙江省,浙闽片河流,浦阳江出口,04-01 20:00,Ⅱ,19.4,6.85,9.29,319.4,12.4,2.20,0.273,0.064,2.27,*,*,正常
浙江省,浙闽片河流,浦阳江出口,04-01 20:00,Ⅱ,19.4,6.85,9.29,319.4,12.4,1.90,0.246,0.064,2.33,*,*,正常
浙江省,浙闽片河流,浦阳江出口,04-02 04:00,Ⅱ,18.9,6.84,9.24,351.3,11.3,1.90,0.246,0.064,2.33,*,*,正常
浙江省,浙闽片河流,浦阳江出口,04-02 08:00,Ⅱ,18.4,6.87,9.52,296.7,12.8,2.40,0.262,0.066,2.45,*,*,正常
浙江省,浙闽片河流,浦阳江出口,04-02 08:00,Ⅱ,18.4,6.87,9.52,296.7,12.8,2.00,0.241,0.063,2.61,*,*,正常
浙江省,浙闽片河流,浦阳江出口,04-02 16:00,Ⅱ,21.0,6.70,8.90,299.8,10.3,2.20,0.255,0.067,2.58,*,*,正常
浙江省,浙闽片河流,浦阳江出口,04-02 16:00,Ⅱ,21.0,6.70,8.90,299.8,10.3,2.10,0.268,0.062,2.53,*,*,正常
浙江省,浙闽片河流,浦阳江出口,04-03 00:00,Ⅱ,19.5,6.78,9.28,284.3,9.7,2.10,0.245,0.065,2.56,*,*,正常
浙江省,浙闽片河流,浦阳江出口,04-03 04:00,Ⅱ,19.1,6.80,9.35,291.4,10.3,2.10,0.245,0.065,2.56,*,*,正常
浙江省,浙闽片河流,浦阳江出口,04-03 04:00,Ⅱ,19.1,6.80,9.35,291.4,10.3,2.40,0.276,0.067,2.50,*,*,正常
浙江省,浙闽片河流,浦阳江出口,04-03 12:00,Ⅱ,18.8,6.85,9.56,251.5,9.6,2.00,0.239,0.065,2.54,*,*,正常
