省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
浙江省,浙闽片河流,第三农业站,04-01 08:00,Ⅲ,18.1,8.02,7.73,36664.3,494.5,4.30,0.626,0.051,2.81,*,*,正常
浙江省,浙闽片河流,第三农业站,04-01 12:00,Ⅲ,18.0,8.16,8.63,40734.0,623.1,4.24,0.678,0.042,3.24,*,*,正常
浙江省,浙闽片河流,第三农业站,04-01 16:00,Ⅲ,18.5,8.06,7.96,37825.5,674.6,4.24,0.678,0.042,3.24,*,*,正常
浙江省,浙闽片河流,第三农业站,04-01 20:00,Ⅲ,18.5,7.99,7.55,35736.4,674.4,4.24,0.552,0.050,2.74,*,*,正常
浙江省,浙闽片河流,第三农业站,04-01 20:00,Ⅲ,18.5,7.99,7.55,35736.4,674.4,5.27,0.607,0.083,3.01,*,*,正常
浙江省,浙闽片河流,第三农业站,04-02 04:00,Ⅲ,18.2,8.10,8.42,39139.6,691.2,5.27,0.607,0.083,3.01,*,*,正常
浙江省,浙闽片河流,第三农业站,04-02 08:00,Ⅲ,18.5,8.01,7.66,36519.1,789.9,5.51,0.482,0.044,2.80,*,*,正常
浙江省,浙闽片河流,第三农业站,04-02 08:00,Ⅲ,18.5,8.01,7.66,36519.1,789.9,5.36,0.605,0.049,2.80,*,*,正常
浙江省,浙闽片河流,第三农业站,04-02 16:00,Ⅲ,18.6,8.09,8.13,38802.5,652.1,5.54,0.590,0.049,2.72,*,*,正常
浙江省,浙闽片河流,第三农业站,04-02 16:00,Ⅲ,18.6,8.09,8.13,38802.5,652.1,5.79,0.685,0.044,2.72,*,*,正常
浙江省,浙闽片河流,第三农业站,04-02 20:00,Ⅲ,18.9,7.98,7.40,35214.4,482.8,5.08,0.485,0.042,3.19,*,*,正常
浙江省,浙闽片河流,第三农业站,04-03 04:00,Ⅲ,18.4,8.10,8.44,39446.8,742.4,5.08,0.485,0.042,3.19,*,*,正常
浙江省,浙闽片河流,第三农业站,04-03 04:00,Ⅲ,18.4,8.10,8.44,39446.8,742.4,5.51,0.491,0.038,2.74,*,*,正常
浙江省,浙闽片河流,第三农业站,04-03 08:00,Ⅲ,18.8,8.00,7.57,36043.6,693.1,5.54,0.772,0.048,2.74,*,*,正常
浙江省,浙闽片河流,第三农业站,04-03 16:00,Ⅲ,18.6,8.09,8.12,39161.2,776.4,5.87,0.545,0.035,2.86,*,*,正常
浙江省,浙闽片河流,第三农业站,04-03 16:00,Ⅲ,18.6,8.09,8.12,39161.2,776.4,5.61,0.737,0.049,2.77,*,*,正常
浙江省,浙闽片河流,第三农业站,04-04 00:00,Ⅲ,18.4,8.09,8.34,39386.2,706.2,5.22,0.566,0.058,3.16,*,*,正常
浙江省,浙闽片河流,第三农业站,04-04 00:00,Ⅲ,18.4,8.09,8.34,39386.2,706.2,5.17,0.465,0.046,2.72,*,*,正常
浙江省,浙闽片河流,第三农业站,04-04 04:00,*,18.2,8.12,8.57,40085.0,334.2,--,--,--,--,*,*,维护
浙江省,浙闽片河流,第三农业站,04-04 08:00,*,18.7,8.00,7.54,36206.7,768.7,--,--,--,--,*,*,维护
浙江省,浙闽片河流,第三农业站,04-04 12:00,Ⅲ,18.4,8.11,8.58,39828.0,473.6,5.15,0.666,0.047,2.83,*,*,正常
浙江省,浙闽片河流,第三农业站,04-04 16:00,Ⅳ,18.4,8.09,8.20,39134.5,250.8,6.84,0.683,0.050,2.57,*,*,正常
浙江省,浙闽片河流,第三农业站,04-04 20:00,Ⅳ,18.9,7.99,7.95,35403.0,437.1,6.55,0.861,0.046,2.90,*,*,正常
浙江省,浙闽片河流,第三农业站,04-05 00:00,Ⅳ,18.0,8.09,8.40,38908.3,602.0,6.55,0.861,0.046,2.90,*,*,正常
浙江省,浙闽片河流,第三农业站,04-05 04:00,Ⅳ,17.7,8.12,8.71,39939.5,156.8,6.75,0.810,0.034,2.78,*,*,正常
