省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
浙江省,浙闽片河流,铜山源水库,04-01 04:00,Ⅱ,18.5,8.58,10.63,81.6,7.3,0.93,0.033,0.012,0.88,0.012,13666000,正常
浙江省,浙闽片河流,铜山源水库,04-01 12:00,Ⅰ,18.7,8.57,10.60,82.4,7.7,1.17,0.036,0.008,0.91,0.011,10610000,正常
浙江省,浙闽片河流,铜山源水库,04-01 12:00,Ⅰ,18.7,8.57,10.60,82.4,7.7,1.17,0.036,0.008,0.91,0.011,10610000,正常
浙江省,浙闽片河流,铜山源水库,04-01 16:00,Ⅰ,19.2,8.77,10.79,81.2,7.3,1.41,0.040,0.006,0.90,0.012,9597000,正常
浙江省,浙闽片河流,铜山源水库,04-01 20:00,Ⅱ,18.7,8.63,10.52,84.0,7.7,1.42,0.036,0.014,0.89,0.012,10627000,正常
浙江省,浙闽片河流,铜山源水库,04-02 00:00,Ⅱ,18.1,8.34,10.04,84.7,8.5,1.08,0.035,0.016,0.96,0.010,13475000,正常
浙江省,浙闽片河流,铜山源水库,04-02 04:00,Ⅱ,19.2,8.54,10.22,81.3,8.1,1.13,0.045,0.015,0.86,0.011,11834000,正常
浙江省,浙闽片河流,铜山源水库,04-02 08:00,Ⅱ,18.2,8.21,9.75,82.3,9.4,1.46,0.040,0.016,1.02,0.009,16764000,正常
浙江省,浙闽片河流,铜山源水库,04-02 12:00,Ⅱ,18.2,8.26,9.92,83.2,9.4,1.37,0.035,0.016,1.03,0.009,16439000,正常
浙江省,浙闽片河流,铜山源水库,04-02 16:00,Ⅱ,18.5,8.43,10.17,82.2,9.4,1.67,0.033,0.016,1.04,0.010,16309000,正常
浙江省,浙闽片河流,铜山源水库,04-02 20:00,Ⅱ,18.3,8.43,10.24,81.4,9.5,1.11,0.030,0.017,1.02,0.010,16157000,正常
浙江省,浙闽片河流,铜山源水库,04-03 00:00,Ⅱ,18.0,8.12,9.73,77.1,11.1,1.30,0.034,0.021,1.20,0.009,24981000,正常
浙江省,浙闽片河流,铜山源水库,04-03 04:00,Ⅱ,18.5,8.36,10.08,78.3,9.6,1.44,0.027,0.018,1.04,0.010,19382000,正常
浙江省,浙闽片河流,铜山源水库,04-03 08:00,Ⅱ,18.6,8.48,10.22,81.4,8.6,1.37,0.030,0.014,0.93,0.011,15048000,正常
浙江省,浙闽片河流,铜山源水库,04-03 12:00,Ⅱ,19.4,8.62,10.46,80.0,8.4,1.67,0.028,0.015,0.92,0.011,9150000,正常
浙江省,浙闽片河流,铜山源水库,04-03 16:00,Ⅱ,18.9,8.61,10.43,81.6,8.7,1.40,0.028,0.013,0.94,0.012,11383000,正常
浙江省,浙闽片河流,铜山源水库,04-03 20:00,Ⅱ,17.9,8.24,9.88,77.1,9.6,1.34,0.033,0.017,1.05,0.010,13019000,正常
浙江省,浙闽片河流,铜山源水库,04-04 00:00,Ⅱ,17.6,7.97,9.61,74.2,10.2,0.83,0.034,0.021,1.10,0.009,18939000,正常
浙江省,浙闽片河流,铜山源水库,*,*,--,--,--,--,--,--,--,--,--,--,--,维护
浙江省,浙闽片河流,铜山源水库,04-04 08:00,Ⅱ,17.3,7.77,9.40,74.5,10.6,1.41,0.042,0.024,1.10,0.009,20808000,正常
浙江省,浙闽片河流,铜山源水库,04-04 12:00,Ⅱ,17.1,7.74,9.54,73.7,10.2,0.94,0.042,0.022,1.06,0.008,16325000,正常
浙江省,浙闽片河流,铜山源水库,04-04 16:00,Ⅱ,16.9,7.71,9.34,77.1,12.0,1.34,0.046,0.025,1.12,0.006,24465000,正常
