省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
浙江省,浙闽片河流,长诏水库出口,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
浙江省,浙闽片河流,长诏水库出口,04-01 12:00,*,12.9,7.37,10.69,66.5,11.4,--,--,--,--,*,*,维护
浙江省,浙闽片河流,长诏水库出口,04-01 12:00,*,12.9,7.37,10.69,66.5,11.4,--,--,--,--,*,*,维护
浙江省,浙闽片河流,长诏水库出口,04-01 16:00,Ⅱ,12.8,7.45,10.94,67.7,11.6,1.41,0.041,0.034,1.32,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-01 20:00,Ⅱ,12.1,7.26,10.69,67.5,10.9,1.30,0.025,0.030,1.23,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-02 00:00,Ⅱ,12.0,7.26,10.75,68.0,10.9,1.33,0.025,0.030,1.24,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-02 04:00,Ⅱ,11.9,7.24,10.69,67.9,10.9,1.32,0.025,0.026,1.23,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-02 08:00,Ⅱ,11.9,7.29,10.87,68.0,10.7,1.36,0.025,0.026,1.17,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-02 12:00,Ⅱ,12.2,7.35,11.19,67.5,10.4,1.34,0.025,0.034,1.36,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-02 16:00,Ⅱ,12.2,7.36,11.04,67.3,10.3,1.28,0.025,0.028,1.11,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-02 20:00,Ⅱ,11.7,7.24,10.81,68.4,10.4,1.37,0.025,0.028,1.14,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-03 00:00,Ⅱ,11.7,7.23,10.82,68.5,10.6,1.31,0.025,0.022,1.21,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-03 04:00,Ⅱ,11.7,7.23,10.82,68.3,10.7,1.35,0.025,0.024,1.24,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-03 08:00,Ⅱ,11.7,7.26,10.88,68.5,10.7,1.23,0.025,0.027,1.22,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-03 12:00,Ⅱ,12.3,7.34,11.28,67.1,10.5,1.32,0.025,0.032,1.18,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-03 16:00,Ⅱ,12.3,7.38,10.99,67.4,10.3,1.36,0.025,0.030,1.19,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-03 20:00,Ⅱ,11.9,7.32,10.95,67.8,10.6,1.25,0.025,0.025,1.23,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-04 00:00,Ⅱ,11.8,7.30,11.00,68.0,10.4,1.30,0.025,0.031,1.28,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-04 04:00,*,11.7,7.30,10.83,68.4,10.4,--,--,--,--,*,*,维护
浙江省,浙闽片河流,长诏水库出口,04-04 08:00,Ⅱ,11.6,7.32,10.97,67.9,10.4,1.22,0.025,0.035,1.16,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-04 12:00,Ⅱ,11.7,7.42,11.24,67.8,13.0,1.36,0.025,0.033,1.12,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-04 16:00,Ⅱ,11.9,7.45,11.18,67.6,10.2,1.28,0.025,0.025,1.14,*,*,正常
浙江省,浙闽片河流,长诏水库出口,04-04 20:00,Ⅱ,11.4,7.36,11.06,68.1,10.1,1.16,0.025,0.025,1.02,*,*,正常
