省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
海南省,珠江流域,中和桥,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
海南省,珠江流域,中和桥,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
海南省,珠江流域,中和桥,04-01 16:00,*,32.4,7.35,10.00,299.6,14.1,--,--,--,--,*,*,维护
海南省,珠江流域,中和桥,04-01 20:00,Ⅲ,31.0,7.38,10.17,302.0,13.9,4.72,0.025,0.060,0.77,*,*,正常
海南省,珠江流域,中和桥,04-02 00:00,Ⅲ,30.0,6.97,8.34,304.0,10.8,4.50,0.025,0.043,0.60,*,*,正常
海南省,珠江流域,中和桥,04-02 00:00,Ⅲ,30.0,6.97,8.34,304.0,10.8,4.50,0.025,0.043,0.60,*,*,正常
海南省,珠江流域,中和桥,04-02 08:00,Ⅲ,28.9,6.73,6.25,311.2,13.8,4.04,0.025,0.038,0.61,*,*,正常
海南省,珠江流域,中和桥,04-02 12:00,Ⅲ,30.3,6.85,7.20,294.8,17.7,4.22,0.025,0.045,0.72,*,*,正常
海南省,珠江流域,中和桥,04-02 16:00,Ⅲ,30.6,7.03,8.35,330.9,18.8,4.48,0.025,0.050,1.12,*,*,正常
海南省,珠江流域,中和桥,04-02 20:00,Ⅲ,29.8,7.09,8.63,374.3,17.2,4.65,0.025,0.049,1.07,*,*,正常
海南省,珠江流域,中和桥,04-03 00:00,Ⅲ,29.4,6.96,7.88,327.4,17.2,4.41,0.025,0.042,1.01,*,*,正常
海南省,珠江流域,中和桥,04-03 00:00,Ⅲ,29.4,6.96,7.88,327.4,17.2,4.41,0.025,0.042,1.01,*,*,正常
海南省,珠江流域,中和桥,04-03 08:00,Ⅲ,28.8,6.72,6.07,327.2,13.3,4.14,0.025,0.041,1.00,*,*,正常
海南省,珠江流域,中和桥,04-03 12:00,Ⅲ,29.9,6.84,6.81,310.6,19.4,4.09,0.025,0.042,0.72,*,*,正常
海南省,珠江流域,中和桥,04-03 16:00,Ⅲ,30.9,7.23,9.49,332.3,16.4,4.88,0.025,0.054,1.22,*,*,正常
海南省,珠江流域,中和桥,04-03 20:00,Ⅲ,30.1,6.58,8.30,309.0,15.5,4.49,0.025,0.057,0.84,*,*,正常
海南省,珠江流域,中和桥,04-04 00:00,Ⅲ,29.7,6.68,7.78,318.2,14.4,4.50,0.025,0.046,0.90,*,*,正常
海南省,珠江流域,中和桥,04-04 00:00,Ⅲ,29.7,6.68,7.78,318.2,14.4,4.50,0.025,0.046,0.90,*,*,正常
海南省,珠江流域,中和桥,04-04 04:00,*,29.3,6.72,7.53,313.5,13.3,--,0.025,0.048,0.80,*,*,维护
海南省,珠江流域,中和桥,04-04 08:00,*,29.1,6.55,6.02,342.8,12.0,--,0.025,0.048,0.80,*,*,维护
海南省,珠江流域,中和桥,04-04 12:00,Ⅲ,31.1,6.78,7.77,296.5,13.8,4.36,0.025,0.053,0.90,*,*,正常
海南省,珠江流域,中和桥,04-04 16:00,Ⅲ,30.7,6.91,9.06,306.2,14.3,4.61,0.025,0.055,0.88,*,*,正常
海南省,珠江流域,中和桥,04-04 20:00,Ⅲ,29.7,6.86,8.77,338.2,13.9,4.53,0.025,0.051,0.82,*,*,正常
海南省,珠江流域,中和桥,04-05 00:00,Ⅲ,29.0,6.92,8.61,372.3,15.1,4.53,0.025,0.051,0.82,*,*,正常
海南省,珠江流域,中和桥,04-05 04:00,Ⅲ,28.9,6.77,7.65,374.8,14.2,4.40,0.025,0.054,0.84,*,*,正常
海南省,珠江流域,中和桥,04-05 08:00,Ⅲ,28.5,6.70,6.85,412.7,13.6,4.14,0.025,0.051,0.92,*,*,正常
海南省,珠江流域,中和桥,04-05 12:00,Ⅲ,29.4,6.80,7.47,416.4,15.3,4.54,0.025,0.054,0.91,*,*,正常
