省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
海南省,珠江流域,大溪村,04-01 04:00,Ⅳ,28.5,6.78,3.20,5494.0,9.5,3.83,1.442,0.228,2.60,*,*,正常
海南省,珠江流域,大溪村,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
海南省,珠江流域,大溪村,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
海南省,珠江流域,大溪村,04-01 20:00,*,30.1,6.98,8.45,7790.7,8.2,--,--,--,--,*,*,维护
海南省,珠江流域,大溪村,04-02 00:00,Ⅲ,29.4,6.84,6.31,6267.9,8.0,4.24,0.285,0.116,1.10,*,*,正常
海南省,珠江流域,大溪村,04-02 00:00,Ⅲ,29.4,6.84,6.31,6267.9,8.0,4.24,0.285,0.116,1.10,*,*,正常
海南省,珠江流域,大溪村,04-02 08:00,Ⅴ,28.2,6.71,2.87,4134.6,11.2,3.46,0.793,0.153,1.64,*,*,正常
海南省,珠江流域,大溪村,04-02 08:00,Ⅴ,28.2,6.71,2.87,4134.6,11.2,3.44,0.582,0.137,1.38,*,*,正常
海南省,珠江流域,大溪村,04-02 16:00,*,31.8,7.91,8.65,10419.5,10.7,--,--,--,--,*,*,维护
海南省,珠江流域,大溪村,04-02 20:00,Ⅲ,30.6,8.11,7.92,9269.9,10.0,4.02,0.139,0.102,0.93,*,*,正常
海南省,珠江流域,大溪村,04-03 00:00,Ⅲ,29.6,7.81,6.24,7400.3,8.3,4.55,0.084,0.089,0.79,*,*,正常
海南省,珠江流域,大溪村,04-03 00:00,Ⅲ,29.6,7.81,6.24,7400.3,8.3,4.55,0.084,0.089,0.79,*,*,正常
海南省,珠江流域,大溪村,04-03 08:00,Ⅳ,28.0,6.92,3.00,3311.4,16.1,3.16,0.336,0.096,0.89,*,*,正常
海南省,珠江流域,大溪村,04-03 12:00,Ⅲ,31.4,7.97,7.30,4456.6,13.2,3.40,0.625,0.148,1.39,*,*,正常
海南省,珠江流域,大溪村,04-03 16:00,Ⅲ,33.0,8.62,10.89,6553.8,9.4,3.59,0.240,0.117,0.77,*,*,正常
海南省,珠江流域,大溪村,04-03 20:00,Ⅲ,32.1,8.64,10.15,7257.7,9.9,4.11,0.065,0.101,0.90,*,*,正常
海南省,珠江流域,大溪村,04-04 00:00,Ⅲ,30.7,8.02,6.55,6656.5,8.7,4.29,0.099,0.090,0.88,*,*,正常
海南省,珠江流域,大溪村,04-04 00:00,Ⅲ,30.7,8.02,6.55,6656.5,8.7,4.29,0.099,0.090,0.88,*,*,正常
海南省,珠江流域,大溪村,04-04 04:00,*,29.3,7.30,4.42,4196.1,9.4,--,1.761,0.277,3.02,*,*,维护
海南省,珠江流域,大溪村,04-04 08:00,劣Ⅴ,28.7,6.95,2.57,2758.6,11.4,3.98,2.072,0.304,3.28,*,*,正常
