省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
海南省,珠江流域,山口,04-01 04:00,Ⅱ,28.5,7.13,9.42,103.0,3.3,2.18,0.025,0.028,0.50,*,*,正常
海南省,珠江流域,山口,04-01 12:00,Ⅱ,29.3,7.01,8.59,103.1,3.6,2.24,0.025,0.026,0.50,*,*,正常
海南省,珠江流域,山口,04-01 16:00,Ⅱ,29.8,7.11,9.32,102.3,3.5,2.24,0.025,0.026,0.50,*,*,正常
海南省,珠江流域,山口,04-01 20:00,Ⅱ,29.5,7.10,8.57,101.9,2.9,2.15,0.025,0.029,0.54,*,*,正常
海南省,珠江流域,山口,04-02 00:00,Ⅱ,29.1,7.05,8.46,101.6,3.1,2.30,0.025,0.026,0.60,*,*,正常
海南省,珠江流域,山口,04-02 00:00,Ⅱ,29.1,7.05,8.46,101.6,3.1,2.30,0.025,0.026,0.60,*,*,正常
海南省,珠江流域,山口,04-02 08:00,Ⅱ,28.6,6.79,7.32,100.1,3.8,2.25,0.025,0.027,0.50,*,*,正常
海南省,珠江流域,山口,04-02 12:00,Ⅱ,29.2,7.06,8.52,100.9,3.3,2.45,0.025,0.028,0.51,*,*,正常
海南省,珠江流域,山口,04-02 16:00,Ⅱ,30.8,7.19,8.98,101.3,3.4,2.19,0.025,0.028,0.47,*,*,正常
海南省,珠江流域,山口,04-02 20:00,Ⅱ,30.2,7.16,8.64,101.8,3.1,2.48,0.025,0.026,0.48,*,*,正常
海南省,珠江流域,山口,04-03 00:00,Ⅱ,29.6,6.90,8.19,101.6,3.1,2.41,0.025,0.026,0.49,*,*,正常
海南省,珠江流域,山口,04-03 00:00,Ⅱ,29.6,6.90,8.19,101.6,3.1,2.41,0.025,0.026,0.49,*,*,正常
海南省,珠江流域,山口,04-03 08:00,Ⅱ,29.1,6.92,8.00,97.0,5.6,2.15,0.025,0.027,0.47,*,*,正常
海南省,珠江流域,山口,04-03 12:00,Ⅱ,29.8,7.13,8.46,98.3,3.9,2.56,0.025,0.029,0.51,*,*,正常
海南省,珠江流域,山口,04-03 16:00,Ⅱ,30.5,7.13,8.44,98.6,3.0,2.54,0.025,0.028,0.50,*,*,正常
海南省,珠江流域,山口,04-03 20:00,Ⅱ,30.2,7.14,8.32,98.3,3.1,2.08,0.025,0.028,0.51,*,*,正常
海南省,珠江流域,山口,04-04 00:00,Ⅱ,29.7,7.22,8.46,98.2,3.1,2.33,0.025,0.027,0.49,*,*,正常
海南省,珠江流域,山口,04-04 00:00,Ⅱ,29.7,7.22,8.46,98.2,3.1,2.33,0.025,0.027,0.49,*,*,正常
海南省,珠江流域,山口,04-04 04:00,*,29.4,7.13,8.19,98.0,3.2,--,0.025,0.029,0.45,*,*,维护
海南省,珠江流域,山口,04-04 08:00,Ⅱ,29.3,7.06,7.95,98.2,4.2,2.63,0.025,0.029,0.45,*,*,正常
海南省,珠江流域,山口,04-04 12:00,Ⅱ,30.0,7.27,8.83,98.2,3.3,3.50,0.025,0.028,0.45,*,*,正常
海南省,珠江流域,山口,04-04 16:00,Ⅱ,30.7,7.36,8.83,98.2,3.6,2.82,0.025,0.028,0.50,*,*,正常
海南省,珠江流域,山口,04-04 20:00,Ⅱ,30.2,7.40,9.42,98.3,3.2,2.17,0.025,0.027,0.47,*,*,正常
海南省,珠江流域,山口,04-05 00:00,Ⅱ,29.7,7.23,9.20,97.9,3.5,2.17,0.025,0.027,0.47,*,*,正常
海南省,珠江流域,山口,04-05 04:00,Ⅱ,29.6,7.25,9.01,98.0,3.0,3.03,0.025,0.028,0.49,*,*,正常
海南省,珠江流域,山口,04-05 08:00,Ⅱ,29.3,7.12,8.39,97.9,3.2,2.72,0.042,0.028,0.48,*,*,正常
海南省,珠江流域,山口,04-05 12:00,Ⅲ,29.4,7.28,8.99,97.7,5.1,4.41,0.025,0.029,0.46,*,*,正常
