省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
海南省,珠江流域,铁桥,04-01 04:00,Ⅳ,27.8,7.56,5.34,--,6.0,6.12,0.117,*,*,*,*,维护
海南省,珠江流域,铁桥,04-01 12:00,Ⅳ,28.3,7.97,5.97,--,12.1,6.24,0.167,*,*,*,*,维护
海南省,珠江流域,铁桥,04-01 12:00,Ⅳ,28.3,7.97,5.97,--,12.1,6.24,0.167,*,*,*,*,维护
海南省,珠江流域,铁桥,04-01 16:00,Ⅳ,29.6,7.97,6.38,--,10.4,6.24,0.117,*,*,*,*,维护
海南省,珠江流域,铁桥,04-01 20:00,Ⅳ,28.9,7.75,5.88,--,9.1,6.45,0.148,*,*,*,*,维护
海南省,珠江流域,铁桥,04-01 20:00,Ⅳ,28.9,7.75,5.88,--,9.1,6.45,0.148,*,*,*,*,维护
海南省,珠江流域,铁桥,04-02 04:00,Ⅳ,28.0,7.44,5.38,--,7.4,6.20,0.148,*,*,*,*,维护
海南省,珠江流域,铁桥,04-02 08:00,Ⅲ,26.8,7.38,5.00,--,4.2,5.95,0.160,*,*,*,*,维护
海南省,珠江流域,铁桥,04-02 12:00,Ⅳ,28.5,7.72,6.16,--,10.4,6.39,0.138,*,*,*,*,维护
海南省,珠江流域,铁桥,04-02 16:00,Ⅳ,29.1,7.97,6.69,--,9.9,6.47,0.158,*,*,*,*,维护
