省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
湖北省,长江流域,中官浦,04-01 04:00,Ⅱ,16.4,7.79,8.95,357.6,33.0,1.33,0.034,0.047,1.25,*,*,正常
湖北省,长江流域,中官浦,04-01 12:00,Ⅱ,16.4,7.79,8.91,358.5,30.1,1.35,0.034,0.049,1.30,*,*,正常
湖北省,长江流域,中官浦,04-01 12:00,Ⅱ,16.4,7.79,8.91,358.5,30.1,1.35,0.034,0.049,1.30,*,*,正常
湖北省,长江流域,中官浦,04-01 16:00,Ⅱ,16.4,7.78,8.83,358.8,30.8,1.31,0.034,0.047,1.32,*,*,正常
湖北省,长江流域,中官浦,04-01 20:00,Ⅱ,16.3,7.78,8.83,359.1,31.2,1.35,0.033,0.050,1.24,*,*,正常
湖北省,长江流域,中官浦,04-01 20:00,Ⅱ,16.3,7.78,8.83,359.1,31.2,1.35,0.033,0.050,1.24,*,*,正常
湖北省,长江流域,中官浦,04-02 04:00,Ⅱ,16.2,7.77,8.74,362.1,33.5,1.36,0.025,0.052,1.26,*,*,正常
湖北省,长江流域,中官浦,04-02 08:00,Ⅱ,16.2,7.77,8.75,362.5,32.2,1.29,0.025,0.051,1.24,*,*,正常
湖北省,长江流域,中官浦,04-02 12:00,Ⅱ,16.3,7.78,8.75,362.0,33.4,1.28,0.025,0.046,1.46,*,*,正常
湖北省,长江流域,中官浦,04-02 16:00,Ⅱ,16.4,7.78,8.73,361.2,38.4,1.31,0.025,0.069,1.50,*,*,正常
湖北省,长江流域,中官浦,04-02 20:00,Ⅱ,16.3,7.77,8.70,362.0,33.4,1.37,0.025,0.058,1.31,*,*,正常
湖北省,长江流域,中官浦,04-02 20:00,Ⅱ,16.3,7.77,8.70,362.0,33.4,1.37,0.025,0.058,1.31,*,*,正常
湖北省,长江流域,中官浦,04-03 04:00,Ⅱ,16.1,7.76,8.74,363.8,38.8,1.33,0.025,0.047,1.41,*,*,正常
湖北省,长江流域,中官浦,04-03 08:00,Ⅱ,16.1,7.77,8.75,363.6,44.7,1.44,0.025,0.055,1.20,*,*,正常
湖北省,长江流域,中官浦,04-03 12:00,Ⅱ,16.1,7.76,8.73,365.7,39.4,1.42,0.025,0.053,1.28,*,*,正常
湖北省,长江流域,中官浦,04-03 16:00,Ⅱ,16.0,7.76,8.75,366.1,53.3,1.45,0.025,0.047,1.47,*,*,正常
