省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
湖北省,长江流域,兰溪大桥,04-01 04:00,Ⅲ,15.8,7.44,7.77,150.6,27.9,3.18,0.254,0.110,1.85,*,*,正常
湖北省,长江流域,兰溪大桥,04-01 12:00,Ⅲ,15.9,7.42,7.89,153.7,35.4,4.75,0.369,0.173,2.33,*,*,正常
湖北省,长江流域,兰溪大桥,04-01 12:00,Ⅲ,15.9,7.42,7.89,153.7,35.4,4.75,0.369,0.173,2.33,*,*,正常
湖北省,长江流域,兰溪大桥,04-01 16:00,Ⅲ,15.8,7.33,7.29,152.6,40.2,4.36,0.411,0.184,2.40,*,*,正常
湖北省,长江流域,兰溪大桥,04-01 20:00,Ⅲ,15.8,7.27,6.80,152.4,39.4,4.19,0.436,0.176,2.28,*,*,正常
湖北省,长江流域,兰溪大桥,04-01 20:00,Ⅲ,15.8,7.27,6.80,152.4,39.4,4.19,0.436,0.176,2.28,*,*,正常
湖北省,长江流域,兰溪大桥,04-02 04:00,Ⅲ,15.5,7.24,6.41,155.0,38.4,4.18,0.488,0.188,2.46,*,*,正常
湖北省,长江流域,兰溪大桥,04-02 08:00,*,15.3,7.23,6.55,149.7,45.7,--,0.442,0.187,2.41,*,*,维护
湖北省,长江流域,兰溪大桥,04-02 12:00,Ⅲ,15.3,7.27,6.83,149.0,39.5,3.72,0.424,0.174,2.24,*,*,正常
湖北省,长江流域,兰溪大桥,04-02 16:00,Ⅲ,15.3,7.29,7.64,147.0,44.5,4.18,0.386,0.179,2.36,*,*,正常
湖北省,长江流域,兰溪大桥,04-02 20:00,Ⅲ,15.3,7.27,7.59,149.9,41.3,3.81,0.409,0.170,2.29,*,*,正常
湖北省,长江流域,兰溪大桥,04-02 20:00,Ⅲ,15.3,7.27,7.59,149.9,41.3,3.81,0.409,0.170,2.29,*,*,正常
湖北省,长江流域,兰溪大桥,04-03 04:00,Ⅲ,15.0,7.28,7.60,145.7,42.2,3.72,0.320,0.167,2.09,*,*,正常
湖北省,长江流域,兰溪大桥,04-03 08:00,Ⅲ,15.0,7.27,7.52,143.6,39.4,3.66,0.295,0.165,2.03,*,*,正常
湖北省,长江流域,兰溪大桥,04-03 12:00,Ⅲ,15.0,7.27,7.62,139.9,43.5,3.55,0.281,0.162,2.04,*,*,正常
湖北省,长江流域,兰溪大桥,04-03 16:00,Ⅲ,15.1,7.32,7.94,139.5,40.6,3.69,0.274,0.166,1.99,*,*,正常
湖北省,长江流域,兰溪大桥,04-03 20:00,Ⅲ,15.0,7.28,7.59,139.8,40.0,3.49,0.269,0.156,1.89,*,*,正常
湖北省,长江流域,兰溪大桥,04-03 20:00,Ⅲ,15.0,7.28,7.59,139.8,40.0,3.49,0.269,0.156,1.89,*,*,正常
湖北省,长江流域,兰溪大桥,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
湖北省,长江流域,兰溪大桥,04-04 04:00,Ⅲ,14.9,7.26,7.58,138.4,37.5,3.47,0.275,0.149,1.93,*,*,正常
湖北省,长江流域,兰溪大桥,04-04 12:00,Ⅲ,15.5,7.36,8.31,137.8,34.8,3.58,0.268,0.157,2.01,*,*,正常
湖北省,长江流域,兰溪大桥,04-04 16:00,Ⅲ,15.8,7.38,8.41,137.6,28.1,3.64,0.261,0.138,1.82,*,*,正常
湖北省,长江流域,兰溪大桥,04-04 20:00,Ⅲ,15.4,7.36,8.37,138.0,27.1,3.61,0.276,0.138,1.80,*,*,正常
湖北省,长江流域,兰溪大桥,04-04 20:00,Ⅲ,15.4,7.36,8.37,138.0,27.1,3.61,0.276,0.138,1.80,*,*,正常
湖北省,长江流域,兰溪大桥,04-05 04:00,Ⅲ,15.0,7.28,7.78,138.8,34.0,3.54,0.321,0.138,1.99,*,*,正常
湖北省,长江流域,兰溪大桥,04-05 08:00,Ⅲ,14.9,7.27,7.61,138.9,32.9,3.14,0.328,0.141,1.92,*,*,正常
