省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
湖北省,长江流域,垌冢桥,04-01 04:00,Ⅲ,17.3,7.58,7.77,632.3,36.3,4.67,0.225,0.120,2.83,*,*,正常
湖北省,长江流域,垌冢桥,04-01 12:00,Ⅲ,17.0,7.51,7.63,665.1,34.8,4.54,0.351,0.134,3.07,*,*,正常
湖北省,长江流域,垌冢桥,04-01 12:00,Ⅲ,17.0,7.51,7.63,665.1,34.8,4.54,0.351,0.134,3.07,*,*,正常
湖北省,长江流域,垌冢桥,04-01 16:00,Ⅲ,17.1,7.44,7.54,698.6,30.4,4.64,0.336,0.133,3.09,*,*,正常
湖北省,长江流域,垌冢桥,04-01 20:00,Ⅲ,16.6,7.42,7.63,594.1,35.7,4.26,0.370,0.139,3.01,*,*,正常
湖北省,长江流域,垌冢桥,04-01 20:00,Ⅲ,16.6,7.42,7.63,594.1,35.7,4.26,0.370,0.139,3.01,*,*,正常
湖北省,长江流域,垌冢桥,04-02 04:00,Ⅳ,15.7,7.23,7.50,473.0,73.3,5.62,0.666,0.218,--,*,*,维护
湖北省,长江流域,垌冢桥,04-02 08:00,Ⅳ,15.5,7.21,7.53,450.4,71.6,5.54,0.567,0.201,--,*,*,维护
湖北省,长江流域,垌冢桥,04-02 12:00,Ⅲ,15.6,7.24,7.59,433.4,58.4,5.23,0.489,0.181,--,*,*,维护
湖北省,长江流域,垌冢桥,04-02 16:00,Ⅲ,15.6,7.27,7.62,429.3,51.6,5.01,0.464,0.171,--,*,*,维护
