省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
湖北省,长江流域,孝感河口大桥,04-01 08:00,Ⅲ,16.5,7.77,6.68,271.7,75.7,4.33,0.225,0.113,2.38,*,*,正常
湖北省,长江流域,孝感河口大桥,04-01 12:00,Ⅲ,16.5,7.75,6.53,272.2,81.2,4.29,0.260,0.114,2.42,*,*,正常
湖北省,长江流域,孝感河口大桥,04-01 16:00,Ⅲ,16.5,7.74,6.43,272.4,80.6,4.29,0.260,0.114,2.42,*,*,正常
湖北省,长江流域,孝感河口大桥,04-01 20:00,Ⅲ,16.4,7.71,6.30,272.8,80.0,4.28,0.282,0.113,2.53,*,*,正常
湖北省,长江流域,孝感河口大桥,04-02 00:00,Ⅲ,16.4,7.68,6.17,273.5,81.5,4.25,0.288,0.113,2.44,*,*,正常
湖北省,长江流域,孝感河口大桥,04-02 00:00,Ⅲ,16.4,7.68,6.17,273.5,81.5,4.25,0.288,0.113,2.44,*,*,正常
湖北省,长江流域,孝感河口大桥,04-02 08:00,Ⅲ,16.3,7.65,6.05,274.7,85.2,4.22,0.302,0.111,2.42,*,*,正常
湖北省,长江流域,孝感河口大桥,04-02 12:00,Ⅲ,16.4,7.65,6.08,274.3,81.2,4.17,0.311,0.110,2.36,*,*,正常
湖北省,长江流域,孝感河口大桥,04-02 16:00,Ⅲ,16.4,7.64,6.07,274.5,81.2,4.02,0.321,0.112,2.45,*,*,正常
湖北省,长江流域,孝感河口大桥,04-02 20:00,Ⅲ,16.4,7.64,6.04,274.7,78.0,4.08,0.320,0.111,2.37,*,*,正常
湖北省,长江流域,孝感河口大桥,04-03 00:00,Ⅲ,16.2,7.63,6.15,274.9,77.7,4.09,0.321,0.110,2.41,*,*,正常
湖北省,长江流域,孝感河口大桥,04-03 00:00,Ⅲ,16.2,7.63,6.15,274.9,77.7,4.09,0.321,0.110,2.41,*,*,正常
湖北省,长江流域,孝感河口大桥,04-03 08:00,Ⅲ,16.1,7.62,6.12,275.2,82.3,4.10,0.314,0.110,2.38,*,*,正常
湖北省,长江流域,孝感河口大桥,04-03 12:00,Ⅲ,16.1,7.62,6.11,275.3,83.2,4.00,0.323,0.109,2.40,*,*,正常
湖北省,长江流域,孝感河口大桥,04-03 16:00,Ⅲ,16.0,7.62,6.22,275.5,79.9,3.86,0.335,0.110,2.44,*,*,正常
湖北省,长江流域,孝感河口大桥,04-03 20:00,Ⅲ,15.9,7.63,6.28,276.1,77.7,3.92,0.338,0.109,2.41,*,*,正常
湖北省,长江流域,孝感河口大桥,04-04 00:00,Ⅲ,15.8,7.63,6.36,276.0,76.7,4.05,0.349,0.109,2.48,*,*,正常
湖北省,长江流域,孝感河口大桥,04-04 00:00,Ⅲ,15.8,7.63,6.36,276.0,76.7,4.05,0.349,0.109,2.48,*,*,正常
湖北省,长江流域,孝感河口大桥,04-04 04:00,*,15.5,7.63,6.40,276.1,76.2,--,0.381,0.117,2.47,*,*,维护
