省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
湖北省,长江流域,杨泗港,04-01 08:00,Ⅱ,15.7,7.80,8.33,362.1,20.4,1.27,0.057,0.078,1.80,*,*,正常
湖北省,长江流域,杨泗港,04-01 12:00,Ⅱ,15.7,7.79,8.26,363.1,20.2,1.26,0.055,0.082,1.42,*,*,正常
湖北省,长江流域,杨泗港,04-01 16:00,Ⅱ,15.8,7.79,8.56,364.3,28.7,1.26,0.055,0.082,1.42,*,*,正常
湖北省,长江流域,杨泗港,04-01 20:00,Ⅱ,15.6,7.80,8.55,367.0,21.2,1.26,0.053,0.085,1.42,*,*,正常
湖北省,长江流域,杨泗港,04-02 00:00,Ⅱ,15.6,7.78,8.52,368.3,16.7,1.51,0.054,0.070,1.42,*,*,正常
湖北省,长江流域,杨泗港,04-02 00:00,Ⅱ,15.6,7.78,8.52,368.3,16.7,1.51,0.054,0.070,1.42,*,*,正常
湖北省,长江流域,杨泗港,04-02 08:00,Ⅱ,15.5,7.76,8.40,367.3,23.4,1.50,0.066,0.081,1.22,*,*,正常
湖北省,长江流域,杨泗港,04-02 12:00,Ⅱ,15.5,7.77,8.34,370.6,23.5,1.51,0.076,0.080,1.23,*,*,正常
湖北省,长江流域,杨泗港,04-02 16:00,Ⅱ,15.5,7.76,8.36,373.5,24.7,1.37,0.078,0.084,1.62,*,*,正常
湖北省,长江流域,杨泗港,04-02 20:00,Ⅱ,15.4,7.77,8.38,373.2,19.6,1.26,0.072,0.080,1.05,*,*,正常
湖北省,长江流域,杨泗港,04-03 00:00,Ⅱ,15.4,7.78,8.40,369.7,23.5,1.48,0.070,0.086,1.92,*,*,正常
湖北省,长江流域,杨泗港,04-03 00:00,Ⅱ,15.4,7.78,8.40,369.7,23.5,1.48,0.070,0.086,1.92,*,*,正常
湖北省,长江流域,杨泗港,04-03 08:00,Ⅱ,15.2,7.80,8.42,369.9,29.3,1.29,0.065,0.089,0.79,*,*,正常
湖北省,长江流域,杨泗港,04-03 12:00,Ⅱ,15.2,7.79,8.44,372.5,27.2,1.48,0.066,0.092,1.72,*,*,正常
湖北省,长江流域,杨泗港,04-03 16:00,Ⅱ,15.2,7.80,8.48,370.3,29.9,1.28,0.065,0.098,1.65,*,*,正常
湖北省,长江流域,杨泗港,04-03 20:00,Ⅱ,15.2,7.81,8.48,371.6,27.9,1.49,0.062,0.091,0.82,*,*,正常
湖北省,长江流域,杨泗港,04-04 00:00,Ⅱ,15.1,7.81,8.44,370.9,35.9,1.27,0.068,0.091,1.72,*,*,正常
湖北省,长江流域,杨泗港,04-04 00:00,Ⅱ,15.1,7.81,8.44,370.9,35.9,1.27,0.068,0.091,1.72,*,*,正常
湖北省,长江流域,杨泗港,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
湖北省,长江流域,杨泗港,04-04 08:00,Ⅱ,15.1,7.79,8.42,371.6,26.3,1.51,0.083,0.094,0.61,*,*,正常
湖北省,长江流域,杨泗港,04-04 12:00,Ⅱ,15.1,7.80,8.48,371.8,27.1,1.47,0.075,0.092,1.41,*,*,正常
湖北省,长江流域,杨泗港,04-04 16:00,Ⅱ,15.3,7.80,8.49,371.5,28.3,1.51,0.068,0.092,0.76,*,*,正常
湖北省,长江流域,杨泗港,04-04 20:00,Ⅱ,15.2,7.80,8.45,368.1,27.2,1.48,0.064,0.098,0.68,*,*,正常
湖北省,长江流域,杨泗港,04-05 00:00,Ⅱ,15.1,7.81,8.48,370.5,25.7,1.48,0.060,0.098,0.68,*,*,正常
湖北省,长江流域,杨泗港,04-05 04:00,Ⅱ,15.0,7.80,8.53,372.0,25.6,1.50,0.058,0.099,0.89,*,*,正常
湖北省,长江流域,杨泗港,04-05 08:00,Ⅱ,15.0,7.81,8.51,371.0,25.2,1.50,0.058,0.092,1.18,*,*,正常
