省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
湖北省,长江流域,江口村,04-01 08:00,Ⅱ,14.5,7.93,9.83,240.6,18.6,0.76,0.025,0.035,1.74,*,*,正常
湖北省,长江流域,江口村,04-01 12:00,Ⅱ,14.7,7.91,9.86,237.6,50.9,1.29,0.034,0.064,1.93,*,*,正常
湖北省,长江流域,江口村,04-01 16:00,Ⅱ,14.7,7.92,10.15,220.8,397.6,1.29,0.034,0.064,1.93,*,*,正常
湖北省,长江流域,江口村,04-01 20:00,Ⅳ,14.4,7.92,10.26,213.3,229.4,4.63,0.025,0.279,--,*,*,维护
湖北省,长江流域,江口村,04-01 20:00,Ⅲ,14.4,7.92,10.26,213.3,229.4,3.46,0.025,0.149,0.23,*,*,正常
湖北省,长江流域,江口村,04-01 20:00,Ⅲ,14.4,7.92,10.26,213.3,229.4,3.46,0.025,0.149,0.23,*,*,正常
湖北省,长江流域,江口村,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
湖北省,长江流域,江口村,04-02 12:00,*,14.7,7.91,10.22,214.1,44.4,--,--,--,--,*,*,维护
湖北省,长江流域,江口村,04-02 16:00,Ⅱ,14.6,7.92,10.38,206.5,57.5,1.20,0.025,0.053,2.13,*,*,正常
湖北省,长江流域,江口村,04-02 20:00,Ⅱ,14.2,7.65,10.29,212.9,38.0,1.38,0.025,0.052,2.06,*,*,正常
湖北省,长江流域,江口村,04-03 00:00,Ⅱ,14.1,7.70,10.38,205.4,47.1,1.31,0.025,0.042,1.76,*,*,正常
湖北省,长江流域,江口村,04-03 00:00,Ⅱ,14.1,7.70,10.38,205.4,47.1,1.31,0.025,0.042,1.76,*,*,正常
湖北省,长江流域,江口村,04-03 08:00,Ⅱ,14.0,7.65,10.49,206.4,38.4,1.03,0.025,0.050,2.03,*,*,正常
湖北省,长江流域,江口村,04-03 12:00,Ⅱ,14.9,7.61,10.51,206.4,43.8,1.06,0.025,0.045,2.07,*,*,正常
湖北省,长江流域,江口村,04-03 16:00,Ⅱ,14.5,7.74,10.69,206.2,33.6,1.03,0.025,0.045,2.02,*,*,正常
湖北省,长江流域,江口村,04-03 20:00,Ⅱ,14.1,7.75,10.74,210.6,34.5,0.94,0.025,0.046,2.26,*,*,正常
湖北省,长江流域,江口村,04-04 00:00,Ⅱ,14.0,7.56,10.43,221.4,15.4,1.03,0.025,0.044,2.23,*,*,正常
湖北省,长江流域,江口村,04-04 00:00,Ⅱ,14.0,7.56,10.43,221.4,15.4,1.03,0.025,0.044,2.23,*,*,正常
湖北省,长江流域,江口村,04-04 04:00,*,13.8,7.65,10.58,218.7,19.1,--,0.025,0.033,2.13,*,*,维护
湖北省,长江流域,江口村,04-04 08:00,Ⅱ,13.7,7.69,10.72,217.5,19.7,0.80,0.025,0.033,2.13,*,*,正常
湖北省,长江流域,江口村,04-04 12:00,Ⅱ,13.9,7.65,10.58,221.5,15.2,0.80,0.025,0.033,2.10,*,*,正常
湖北省,长江流域,江口村,04-04 16:00,Ⅱ,14.0,7.67,10.66,222.9,13.0,0.86,0.025,0.027,1.94,*,*,正常
湖北省,长江流域,江口村,04-04 20:00,Ⅱ,13.7,7.76,10.86,220.7,19.4,0.77,0.025,0.038,2.32,*,*,正常
