省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
湖北省,长江流域,沈湾,04-01 08:00,Ⅰ,10.9,7.64,9.38,286.3,3.1,1.26,0.025,0.019,1.45,*,*,正常
湖北省,长江流域,沈湾,04-01 12:00,Ⅰ,10.9,7.65,9.43,287.1,2.9,1.26,0.032,0.015,1.44,*,*,正常
湖北省,长江流域,沈湾,04-01 16:00,Ⅰ,10.9,7.69,9.62,287.2,2.9,1.26,0.032,0.015,1.44,*,*,正常
湖北省,长江流域,沈湾,04-01 20:00,Ⅱ,10.9,7.69,9.66,287.8,2.5,1.26,0.029,0.036,1.50,*,*,正常
湖北省,长江流域,沈湾,04-02 00:00,Ⅰ,10.9,7.68,9.56,285.8,2.5,1.26,0.025,0.016,1.48,*,*,正常
湖北省,长江流域,沈湾,04-02 00:00,Ⅰ,10.9,7.68,9.56,285.8,2.5,1.26,0.025,0.016,1.48,*,*,正常
湖北省,长江流域,沈湾,04-02 08:00,Ⅱ,10.8,7.64,9.36,288.2,3.1,1.26,0.025,0.034,1.44,*,*,正常
湖北省,长江流域,沈湾,04-02 12:00,Ⅰ,10.9,7.67,9.50,301.4,2.5,1.26,0.028,0.020,1.48,*,*,正常
湖北省,长江流域,沈湾,04-02 16:00,Ⅱ,10.9,7.70,9.65,286.2,2.3,1.27,0.026,0.037,1.44,*,*,正常
湖北省,长江流域,沈湾,04-02 20:00,Ⅰ,10.9,7.70,9.65,286.8,2.5,1.26,0.029,0.019,1.42,*,*,正常
湖北省,长江流域,沈湾,04-03 00:00,Ⅰ,10.8,7.68,9.58,288.2,2.3,1.26,0.025,0.020,1.43,*,*,正常
湖北省,长江流域,沈湾,04-03 00:00,Ⅰ,10.8,7.68,9.58,288.2,2.3,1.26,0.025,0.020,1.43,*,*,正常
湖北省,长江流域,沈湾,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
湖北省,长江流域,沈湾,04-03 12:00,Ⅱ,10.8,7.66,9.68,292.6,2.5,1.30,0.025,0.021,1.46,*,*,正常
湖北省,长江流域,沈湾,04-03 16:00,Ⅱ,10.9,7.74,9.87,301.5,2.5,1.01,0.097,0.022,1.54,*,*,正常
湖北省,长江流域,沈湾,04-03 20:00,Ⅰ,10.9,7.75,9.88,297.0,2.2,1.26,0.102,0.020,1.48,*,*,正常
