省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
湖北省,长江流域,羊尾,04-01 04:00,Ⅱ,13.7,8.12,9.79,255.3,5.5,1.28,0.110,0.080,1.42,0.060,*,正常
湖北省,长江流域,羊尾,04-01 12:00,Ⅱ,13.4,8.09,9.90,256.0,4.7,1.44,0.100,0.078,1.40,0.059,*,正常
湖北省,长江流域,羊尾,04-01 12:00,Ⅰ,13.4,8.09,9.90,256.0,4.7,1.44,0.100,0.018,1.46,0.059,*,正常
湖北省,长江流域,羊尾,04-01 16:00,Ⅰ,13.4,8.08,10.09,256.2,5.6,1.02,0.100,0.018,1.47,0.058,*,正常
湖北省,长江流域,羊尾,04-01 20:00,Ⅱ,13.4,8.06,10.24,257.7,15.2,1.50,0.290,0.037,1.60,0.063,*,正常
湖北省,长江流域,羊尾,04-01 20:00,Ⅱ,13.4,8.06,10.24,257.7,15.2,1.50,0.290,0.037,1.60,0.063,*,正常
湖北省,长江流域,羊尾,04-02 04:00,Ⅱ,13.2,8.07,9.75,255.6,11.2,1.09,0.200,0.086,1.39,0.060,*,正常
湖北省,长江流域,羊尾,04-02 08:00,Ⅱ,13.2,8.06,9.68,256.0,7.6,1.09,0.140,0.078,1.40,0.057,*,正常
湖北省,长江流域,羊尾,04-02 12:00,Ⅱ,13.7,8.06,7.69,252.8,7.0,1.09,0.130,0.078,1.40,0.057,*,正常
湖北省,长江流域,羊尾,04-02 16:00,Ⅱ,13.1,8.04,9.81,253.3,9.8,1.25,0.180,0.028,1.55,0.059,*,正常
湖北省,长江流域,羊尾,04-02 20:00,Ⅱ,13.0,8.01,9.70,256.0,9.1,1.50,0.170,0.026,1.59,0.060,*,正常
湖北省,长江流域,羊尾,04-02 20:00,Ⅱ,13.0,8.01,9.70,256.0,9.1,1.50,0.170,0.026,1.59,0.060,*,正常
湖北省,长江流域,羊尾,04-03 04:00,Ⅱ,12.9,7.96,9.59,257.0,7.8,1.36,0.150,0.092,1.45,0.057,*,正常
湖北省,长江流域,羊尾,04-03 08:00,Ⅱ,12.9,7.96,9.64,261.6,10.2,1.51,0.180,0.087,1.52,0.055,*,正常
湖北省,长江流域,羊尾,04-03 12:00,Ⅱ,13.0,7.98,9.70,260.9,8.6,1.26,0.170,0.026,1.61,0.055,*,正常
湖北省,长江流域,羊尾,04-03 16:00,Ⅱ,13.0,7.98,9.68,257.7,7.2,1.48,0.140,0.024,1.64,0.057,*,正常
湖北省,长江流域,羊尾,04-03 20:00,Ⅱ,13.0,8.01,9.72,256.1,6.6,1.49,0.120,0.022,1.51,0.058,*,正常
湖北省,长江流域,羊尾,04-03 20:00,Ⅱ,13.0,8.01,9.72,256.1,6.6,1.49,0.120,0.022,1.51,0.058,*,正常
湖北省,长江流域,羊尾,04-04 04:00,*,12.9,8.05,9.75,258.4,6.7,--,--,--,--,0.057,*,维护
湖北省,长江流域,羊尾,04-04 08:00,Ⅱ,12.9,8.05,9.75,258.4,6.7,1.46,0.120,0.042,1.52,0.057,*,正常
湖北省,长江流域,羊尾,04-04 12:00,Ⅱ,13.2,8.07,10.04,254.9,9.0,1.49,0.130,0.042,1.52,0.055,*,正常
湖北省,长江流域,羊尾,04-04 16:00,Ⅱ,13.2,8.10,10.18,254.1,9.1,1.21,0.130,0.025,1.48,0.055,*,正常
湖北省,长江流域,羊尾,04-04 20:00,Ⅱ,13.2,8.10,10.11,254.6,6.6,1.28,0.130,0.022,1.47,0.058,*,正常
湖北省,长江流域,羊尾,04-04 20:00,Ⅱ,13.2,8.10,10.11,254.6,6.6,1.28,0.130,0.022,1.47,0.058,*,正常
