省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
湖北省,长江流域,聂家滩,*,*,--,--,--,--,--,--,--,--,--,*,*,维护
湖北省,长江流域,聂家滩,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
湖北省,长江流域,聂家滩,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
湖北省,长江流域,聂家滩,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
湖北省,长江流域,聂家滩,04-02 12:00,Ⅱ,13.0,7.61,8.64,316.0,7.3,1.53,0.173,0.035,1.76,*,*,正常
湖北省,长江流域,聂家滩,04-02 16:00,Ⅱ,13.1,7.68,9.01,314.5,9.1,1.51,0.173,0.038,1.67,*,*,正常
湖北省,长江流域,聂家滩,04-02 20:00,Ⅱ,13.0,7.70,9.02,315.5,7.7,1.52,0.179,0.037,1.77,*,*,正常
湖北省,长江流域,聂家滩,04-02 20:00,Ⅱ,13.0,7.70,9.02,315.5,7.7,1.52,0.179,0.037,1.77,*,*,正常
湖北省,长江流域,聂家滩,04-03 04:00,Ⅱ,12.8,7.60,8.51,312.6,9.8,1.52,0.171,0.038,1.75,*,*,正常
湖北省,长江流域,聂家滩,04-03 08:00,Ⅱ,12.6,7.56,8.44,310.4,9.2,1.62,0.141,0.034,1.74,*,*,正常
湖北省,长江流域,聂家滩,04-03 12:00,Ⅱ,12.8,7.58,8.73,308.3,7.8,1.54,0.130,0.040,1.79,*,*,正常
湖北省,长江流域,聂家滩,04-03 16:00,Ⅱ,12.9,7.66,9.20,308.1,7.4,1.51,0.082,0.039,1.78,*,*,正常
湖北省,长江流域,聂家滩,04-03 20:00,Ⅱ,12.8,7.72,9.38,307.1,7.8,1.51,0.071,0.038,1.71,*,*,正常
湖北省,长江流域,聂家滩,04-03 20:00,Ⅱ,12.8,7.72,9.38,307.1,7.8,1.51,0.071,0.038,1.71,*,*,正常
