省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
湖北省,长江流域,西梁子湖湖南,04-01 08:00,Ⅱ,17.0,7.68,8.71,149.4,13.6,2.37,0.046,0.019,0.98,0.009,2921116,正常
湖北省,长江流域,西梁子湖湖南,04-01 12:00,Ⅱ,16.8,7.68,8.83,149.3,14.8,2.23,0.047,0.020,0.96,0.008,2959235,正常
湖北省,长江流域,西梁子湖湖南,04-01 16:00,Ⅱ,16.8,7.69,8.86,149.3,14.4,2.23,0.046,0.020,0.96,0.007,2954951,正常
湖北省,长江流域,西梁子湖湖南,04-01 20:00,Ⅱ,16.7,7.68,8.83,149.5,15.1,2.36,0.049,0.020,0.98,0.008,2882239,正常
湖北省,长江流域,西梁子湖湖南,04-02 00:00,Ⅱ,16.6,7.67,8.83,149.5,13.9,2.25,0.050,0.020,0.97,0.007,2835421,正常
湖北省,长江流域,西梁子湖湖南,04-02 00:00,Ⅱ,16.6,7.67,8.83,149.5,13.9,2.25,0.050,0.018,0.97,0.007,2835421,正常
湖北省,长江流域,西梁子湖湖南,04-02 08:00,Ⅱ,16.4,7.68,8.84,149.1,14.2,2.34,0.052,0.019,0.96,0.007,2771714,正常
湖北省,长江流域,西梁子湖湖南,04-02 12:00,Ⅱ,16.2,7.71,8.94,148.1,14.7,2.37,0.053,0.019,0.98,0.006,2783614,正常
湖北省,长江流域,西梁子湖湖南,04-02 16:00,Ⅱ,16.3,7.68,8.97,148.5,15.9,2.26,0.055,0.019,0.98,0.008,2454774,正常
湖北省,长江流域,西梁子湖湖南,04-02 20:00,Ⅱ,16.2,7.73,8.98,148.4,14.4,2.40,0.054,0.020,1.02,0.008,2741389,正常
湖北省,长江流域,西梁子湖湖南,04-03 00:00,Ⅱ,16.2,7.74,8.96,148.3,14.0,2.18,0.057,0.019,0.99,0.008,2642422,正常
湖北省,长江流域,西梁子湖湖南,04-03 00:00,Ⅱ,16.2,7.74,8.96,148.3,14.0,2.18,0.057,0.020,0.97,0.008,2642422,正常
湖北省,长江流域,西梁子湖湖南,04-03 08:00,Ⅱ,15.8,7.70,9.04,148.4,15.2,2.30,0.058,0.020,0.98,0.006,2684400,正常
湖北省,长江流域,西梁子湖湖南,04-03 12:00,Ⅱ,15.7,7.72,9.14,148.3,15.8,2.32,0.057,0.019,0.98,0.007,2754828,正常
湖北省,长江流域,西梁子湖湖南,04-03 16:00,Ⅱ,15.7,7.74,9.25,148.3,17.6,2.14,0.057,0.020,1.03,0.006,2759065,正常
湖北省,长江流域,西梁子湖湖南,04-03 20:00,Ⅱ,15.6,7.75,9.29,148.4,17.5,2.26,0.058,0.020,1.01,0.008,2739568,正常
湖北省,长江流域,西梁子湖湖南,04-04 00:00,Ⅱ,15.4,7.75,9.29,148.6,15.5,2.39,0.057,0.020,1.05,0.007,2551765,正常
湖北省,长江流域,西梁子湖湖南,04-04 00:00,Ⅱ,15.4,7.75,9.29,148.6,15.5,2.39,0.057,0.020,1.02,0.007,2551765,正常
湖北省,长江流域,西梁子湖湖南,04-04 04:00,Ⅱ,15.3,7.75,9.28,148.6,15.5,2.31,0.057,0.019,1.02,0.007,2505174,正常
