省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
湖北省,长江流域,马良龚家湾,04-01 08:00,Ⅳ,15.0,7.46,6.76,1699.6,202.1,7.38,0.933,0.229,2.99,*,*,正常
湖北省,长江流域,马良龚家湾,04-01 12:00,劣Ⅴ,14.7,7.43,6.21,1466.4,168.5,9.22,2.318,0.153,4.58,*,*,正常
湖北省,长江流域,马良龚家湾,04-01 16:00,劣Ⅴ,14.5,7.42,5.17,1290.6,152.8,9.22,2.318,0.153,4.58,*,*,正常
湖北省,长江流域,马良龚家湾,04-01 20:00,劣Ⅴ,14.3,7.41,5.88,1160.3,132.0,7.97,2.093,0.150,4.30,*,*,正常
湖北省,长江流域,马良龚家湾,04-02 00:00,劣Ⅴ,14.2,7.43,6.15,1084.6,136.5,7.81,2.000,0.160,4.22,*,*,正常
湖北省,长江流域,马良龚家湾,04-02 00:00,劣Ⅴ,14.2,7.43,6.15,1084.6,136.5,7.81,2.000,0.160,4.22,*,*,正常
湖北省,长江流域,马良龚家湾,04-02 08:00,Ⅴ,13.9,7.43,6.23,1077.3,142.5,7.52,1.894,0.169,4.20,*,*,正常
湖北省,长江流域,马良龚家湾,04-02 12:00,Ⅴ,14.0,7.41,6.34,1156.0,116.2,7.58,1.888,0.180,4.15,*,*,正常
湖北省,长江流域,马良龚家湾,04-02 16:00,劣Ⅴ,14.0,7.44,6.59,1241.5,114.4,7.61,2.026,0.200,4.37,*,*,正常
湖北省,长江流域,马良龚家湾,04-02 20:00,劣Ⅴ,14.0,7.44,6.85,1245.1,113.6,7.67,2.130,0.218,4.63,*,*,正常
湖北省,长江流域,马良龚家湾,04-03 00:00,Ⅴ,13.8,7.48,8.80,1200.0,114.1,7.90,1.866,0.216,4.38,*,*,正常
湖北省,长江流域,马良龚家湾,04-03 00:00,Ⅴ,13.8,7.48,8.80,1200.0,114.1,7.90,1.866,0.216,4.38,*,*,正常
湖北省,长江流域,马良龚家湾,04-03 08:00,Ⅳ,13.4,7.44,6.99,1387.7,108.1,7.29,1.198,0.177,3.38,*,*,正常
