省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
湖南省,长江流域,凤滩水库,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
湖南省,长江流域,凤滩水库,*,*,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
湖南省,长江流域,凤滩水库,04-01 16:00,*,15.7,7.85,8.56,257.7,16.9,--,--,--,--,*,*,维护
湖南省,长江流域,凤滩水库,04-01 20:00,Ⅱ,15.5,7.82,8.32,258.4,13.3,1.45,0.079,0.049,1.53,*,*,正常
湖南省,长江流域,凤滩水库,04-02 00:00,Ⅱ,15.6,7.83,8.27,268.4,14.0,0.93,0.074,0.036,1.55,*,*,正常
湖南省,长江流域,凤滩水库,04-02 00:00,Ⅱ,15.6,7.83,8.27,268.4,14.0,0.93,0.102,0.036,1.55,*,*,正常
湖南省,长江流域,凤滩水库,04-02 08:00,Ⅱ,15.6,7.84,8.25,263.3,21.2,0.82,0.092,0.033,1.62,*,*,正常
湖南省,长江流域,凤滩水库,04-02 12:00,Ⅱ,15.8,7.86,8.33,262.9,14.4,0.86,0.074,0.035,1.56,*,*,正常
湖南省,长江流域,凤滩水库,04-02 12:00,Ⅱ,15.8,7.86,8.33,262.9,14.4,0.86,0.068,0.033,1.57,*,*,正常
湖南省,长江流域,凤滩水库,04-02 20:00,Ⅱ,15.7,7.84,8.30,267.6,14.9,1.02,0.080,0.033,1.69,*,*,正常
湖南省,长江流域,凤滩水库,04-03 00:00,Ⅱ,15.6,7.83,8.30,267.1,14.3,0.87,0.080,0.032,1.61,*,*,正常
湖南省,长江流域,凤滩水库,04-03 00:00,Ⅱ,15.6,7.83,8.30,267.1,14.3,0.87,0.080,0.032,1.61,*,*,正常
湖南省,长江流域,凤滩水库,04-03 08:00,Ⅱ,15.5,7.84,8.32,269.8,14.5,0.87,0.079,0.032,1.65,*,*,正常
