省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
湖南省,长江流域,南渡,04-01 08:00,Ⅱ,17.5,6.45,7.83,94.4,9.3,3.01,0.396,0.096,1.90,*,*,正常
湖南省,长江流域,南渡,04-01 12:00,Ⅲ,17.5,6.42,7.88,96.5,10.8,3.21,0.418,0.105,1.88,*,*,正常
湖南省,长江流域,南渡,04-01 16:00,Ⅲ,17.4,6.44,7.94,91.6,8.7,3.21,0.418,0.105,1.88,*,*,正常
湖南省,长江流域,南渡,04-01 20:00,Ⅱ,17.2,6.44,7.90,91.6,7.7,2.74,0.313,0.094,1.84,*,*,正常
湖南省,长江流域,南渡,04-02 00:00,Ⅱ,17.2,6.42,7.99,91.5,8.2,2.72,0.290,0.094,1.83,*,*,正常
湖南省,长江流域,南渡,04-02 00:00,Ⅱ,17.2,6.42,7.99,91.5,8.2,2.72,0.301,0.094,1.83,*,*,正常
湖南省,长江流域,南渡,04-02 08:00,Ⅱ,17.0,6.44,7.98,95.7,20.0,2.75,0.382,0.094,1.84,*,*,正常
湖南省,长江流域,南渡,04-02 12:00,Ⅱ,17.0,6.44,8.04,98.8,21.6,2.78,0.433,0.088,1.81,*,*,正常
湖南省,长江流域,南渡,04-02 16:00,Ⅱ,16.7,6.42,7.80,105.3,33.5,2.99,0.486,0.092,1.88,*,*,正常
湖南省,长江流域,南渡,04-02 20:00,Ⅲ,16.4,6.40,7.90,101.8,32.5,3.72,0.802,0.120,2.21,*,*,正常
湖南省,长江流域,南渡,04-03 00:00,Ⅲ,16.3,6.39,8.06,101.0,41.1,3.97,0.754,0.123,2.24,*,*,正常
湖南省,长江流域,南渡,04-03 00:00,Ⅲ,16.3,6.39,8.06,101.0,41.1,3.97,0.754,0.123,2.24,*,*,正常
湖南省,长江流域,南渡,04-03 08:00,Ⅲ,16.1,6.35,8.46,90.9,37.6,3.96,0.816,0.128,2.21,*,*,正常
湖南省,长江流域,南渡,04-03 12:00,Ⅲ,16.5,6.36,8.63,93.0,31.8,3.76,0.778,0.128,2.13,*,*,正常
湖南省,长江流域,南渡,04-03 16:00,Ⅲ,16.9,6.39,8.71,95.1,24.4,3.75,0.772,0.124,2.21,*,*,正常
湖南省,长江流域,南渡,04-03 20:00,Ⅲ,16.7,6.36,8.63,95.8,19.8,3.49,0.653,0.116,2.06,*,*,正常
湖南省,长江流域,南渡,04-04 00:00,Ⅲ,16.5,6.36,8.68,98.9,18.5,3.26,0.570,0.112,2.04,*,*,正常
湖南省,长江流域,南渡,04-04 00:00,Ⅲ,16.5,6.36,8.68,98.9,18.5,3.26,0.574,0.112,2.04,*,*,正常
湖南省,长江流域,南渡,04-04 04:00,Ⅲ,16.3,6.37,8.76,97.3,19.5,3.73,0.546,0.109,2.01,*,*,正常
湖南省,长江流域,南渡,04-04 08:00,Ⅲ,16.1,6.40,8.94,95.1,25.5,3.73,0.574,0.109,1.94,*,*,正常
湖南省,长江流域,南渡,04-04 12:00,Ⅲ,16.5,6.40,9.08,90.9,21.2,3.74,0.535,0.100,1.94,*,*,正常
湖南省,长江流域,南渡,04-04 16:00,Ⅲ,16.1,6.39,9.05,88.8,22.1,3.53,0.542,0.100,1.91,*,*,正常
湖南省,长江流域,南渡,04-04 20:00,Ⅲ,15.9,6.36,9.06,86.7,19.8,3.48,0.513,0.100,1.92,*,*,正常
